actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,value,stealPlayerName,stealPersonId
178,PT09M29.00S,2021-02-24T01:19:37.5Z,2,REGULAR,3pt,Jump Shot,[],1628400,6.652431011826544,4.725796568627451,1610612738,38,36,2021-02-24T01:19:42Z,1760000,226.0,10.0,1,left,MISS S. Ojeleye 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,22.66,Missed,,,,,,,,,,,,,,,,,,,
179,PT09M26.00S,2021-02-24T01:19:40.5Z,2,REGULAR,rebound,defensive,[],1626161,,,1610612742,38,36,2021-02-24T01:19:42Z,1770000,,,0,,W. Cauley-Stein REBOUND (Off:0 Def:1),[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,178.0,1.0,1.0,0.0,,,,,,,,,,,,,,
180,PT09M09.00S,2021-02-24T01:19:58.0Z,2,REGULAR,turnover,bad pass,[],203504,,,1610612742,38,36,2021-02-24T01:20:02Z,1780000,,,0,,T. Burke bad pass TURNOVER (2 TO),"[203504, 1628400]",1610612742.0,DAL,,,,Burke,T. Burke,,,,,,,,,,,,,,,,,,,,2.0,,,,Ojeleye,1628400.0
181,PT09M09.00S,2021-02-24T01:19:58.0Z,2,REGULAR,steal,,[],1628400,,,1610612738,38,36,2021-02-24T01:20:00Z,1790000,,,0,,S. Ojeleye STEAL (1 STL),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT09M05.00S,2021-02-24T01:20:02.2Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630202,24.129434954007884,11.833639705882353,1610612738,38,39,2021-02-24T01:20:07Z,1800000,191.0,174.0,1,left,P. Pritchard 25' 3PT  (5 PTS) (K. Walker 1 AST),"[1630202, 202689]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,25.84,Made,5.0,,,,,K. Walker,202689.0,1.0,,,,,,,,,,,
184,PT09M03.00S,2021-02-24T01:20:15.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,38,39,2021-02-24T01:20:15Z,1820000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT09M03.00S,2021-02-24T01:22:52.2Z,2,REGULAR,substitution,out,[],203504,,,1610612742,38,39,2021-02-24T01:23:30Z,1830000,,,0,,SUB out: T. Burke,[203504],1610612742.0,DAL,,,,Burke,T. Burke,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT09M03.00S,2021-02-24T01:22:52.2Z,2,REGULAR,substitution,in,[],201949,,,1610612742,38,39,2021-02-24T01:23:30Z,1840000,,,0,,SUB in: J. Johnson,[201949],1610612742.0,DAL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT08M44.00S,2021-02-24T01:23:49.0Z,2,REGULAR,2pt,Jump Shot,[],1628973,85.62746386333771,23.84344362745098,1610612742,38,39,2021-02-24T01:23:53Z,1850000,-131.0,83.0,1,right,MISS J. Brunson 15' pullup Shot,[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,15.47,Missed,,,,,,,,,,,,,,,,,,,
188,PT08M40.00S,2021-02-24T01:23:53.0Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612738,38,39,2021-02-24T01:23:53Z,1860000,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,187.0,2.0,2.0,0.0,,,,,,,,,,,,,,
189,PT08M20.00S,2021-02-24T01:24:12.4Z,2,REGULAR,3pt,Jump Shot,[],1630202,34.247700394218136,46.14736519607843,1610612738,38,39,2021-02-24T01:24:23Z,1870000,19.0,269.0,1,left,MISS P. Pritchard 27' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,27.01,Missed,,,,,,,,,,,,,,,,,,,
190,PT08M15.00S,2021-02-24T01:24:17.4Z,2,REGULAR,rebound,offensive,[],1630174,,,1610612738,38,39,2021-02-24T01:24:23Z,1880000,,,0,,A. Nesmith REBOUND (Off:1 Def:2),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,189.0,3.0,2.0,1.0,,,,,,,,,,,,,,
191,PT08M11.00S,2021-02-24T01:24:21.8Z,2,REGULAR,turnover,bad pass,[],1630174,,,1610612738,38,39,2021-02-24T01:24:26Z,1890000,,,0,,A. Nesmith bad pass TURNOVER (1 TO),"[1630174, 201949]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,1.0,,,,Johnson,201949.0
192,PT08M11.00S,2021-02-24T01:24:21.8Z,2,REGULAR,steal,,[],201949,,,1610612742,38,39,2021-02-24T01:24:23Z,1900000,,,0,,J. Johnson STEAL (1 STL),[201949],1610612742.0,DAL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT07M53.00S,2021-02-24T01:24:39.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1626196,71.82982917214193,14.529718137254902,1610612742,41,39,2021-02-24T01:24:44Z,1910000,-177.0,212.0,1,right,J. Richardson 27' 3PT  (7 PTS) (J. Brunson 2 AST),"[1626196, 1628973]",1610612742.0,DAL,,,,Richardson,J. Richardson,,,,,27.67,Made,7.0,,,,,J. Brunson,1628973.0,2.0,,,,,,,,,,,
195,PT07M25.00S,2021-02-24T01:25:09.7Z,2,REGULAR,turnover,out-of-bounds,[],1630202,,,1610612738,41,39,2021-02-24T01:25:15Z,1930000,,,0,,P. Pritchard bad pass out-of-bounds TURNOVER (1 TO),[1630202],1610612738.0,BOS,bad pass,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,101284.0,,,,,1.0,,,,,
196,PT07M25.00S,2021-02-24T01:25:12.6Z,2,REGULAR,substitution,out,[],1630202,,,1610612742,41,39,2021-02-24T01:25:26Z,1940000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT07M25.00S,2021-02-24T01:25:12.6Z,2,REGULAR,substitution,in,[],1628369,,,1610612742,41,39,2021-02-24T01:25:26Z,1950000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT07M07.00S,2021-02-24T01:25:44.8Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203501,94.03745072273325,50.314031862745104,1610612742,43,39,2021-02-24T01:25:50Z,1960000,2.0,4.0,1,right,T. Hardaway Jr. driving DUNK (6 PTS),[203501],1610612742.0,DAL,driving,,,Hardaway Jr.,T. Hardaway Jr.,,,,,0.38,Made,6.0,,,,,,,,,,,,,,,,,,
199,PT06M39.00S,2021-02-24T01:26:12.6Z,2,REGULAR,3pt,Jump Shot,[],1628369,26.174441524310115,7.689950980392157,1610612738,43,39,2021-02-24T01:26:28Z,1970000,212.0,194.0,1,left,MISS J. Tatum 28' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,28.67,Missed,,,,,,,,,,,,,,,,,,,
200,PT06M38.00S,2021-02-24T01:26:13.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,43,39,2021-02-24T01:26:28Z,1980000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,199.0,,,,,,,,,,,,,,,,,
201,PT06M38.00S,2021-02-24T01:26:19.5Z,2,REGULAR,foul,personal,[],203501,,,1610612738,43,39,2021-02-24T01:26:22Z,1990000,,,0,,T. Hardaway Jr. personal FOUL (3 PF),"[203501, 1630174]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,2882.0,3.0,0.0,Nesmith,1630174.0,,,,,,
203,PT06M38.00S,2021-02-24T01:26:27.7Z,2,REGULAR,substitution,out,[],203501,,,1610612738,43,39,2021-02-24T01:26:51Z,2010000,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT06M38.00S,2021-02-24T01:26:27.7Z,2,REGULAR,substitution,out,[],1628973,,,1610612738,43,39,2021-02-24T01:26:51Z,2020000,,,0,,SUB out: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT06M38.00S,2021-02-24T01:26:27.7Z,2,REGULAR,substitution,out,[],1628400,,,1610612738,43,39,2021-02-24T01:26:51Z,2030000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT06M38.00S,2021-02-24T01:26:27.7Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,43,39,2021-02-24T01:26:51Z,2040000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT06M38.00S,2021-02-24T01:26:27.7Z,2,REGULAR,substitution,in,[],1627827,,,1610612738,43,39,2021-02-24T01:26:51Z,2050000,,,0,,SUB in: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT06M38.00S,2021-02-24T01:26:27.7Z,2,REGULAR,substitution,in,[],1629029,,,1610612738,43,39,2021-02-24T01:26:51Z,2060000,,,0,,SUB in: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT06M38.00S,2021-02-24T01:26:27.7Z,2,REGULAR,substitution,in,[],1629684,,,1610612738,43,39,2021-02-24T01:26:51Z,2070000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT06M38.00S,2021-02-24T01:26:27.7Z,2,REGULAR,substitution,in,[],202684,,,1610612738,43,39,2021-02-24T01:26:51Z,2080000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT06M33.00S,2021-02-24T01:26:57.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],202689,27.283180026281208,78.99050245098039,1610612738,43,39,2021-02-24T01:27:02Z,2090000,-145.0,204.0,1,left,MISS K. Walker 25' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.03,Missed,,,,,,,,,,,,,,,,,,,
212,PT06M29.00S,2021-02-24T01:27:01.7Z,2,REGULAR,rebound,defensive,[],1627827,,,1610612742,43,39,2021-02-24T01:27:02Z,2100000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,211.0,1.0,1.0,0.0,,,,,,,,,,,,,,
213,PT06M21.00S,2021-02-24T01:27:08.7Z,2,REGULAR,3pt,Jump Shot,[],1627827,91.40932982917214,3.7454044117647056,1610612742,43,39,2021-02-24T01:27:13Z,2110000,-231.0,28.0,1,right,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.3,Missed,,,,,,,,,,,,,,,,,,,
214,PT06M18.00S,2021-02-24T01:27:11.7Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,43,39,2021-02-24T01:27:13Z,2120000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,213.0,2.0,2.0,0.0,,,,,,,,,,,,,,
215,PT06M12.00S,2021-02-24T01:27:18.5Z,2,REGULAR,3pt,Jump Shot,[],1628369,26.888961892247043,18.696384803921568,1610612738,43,42,2021-02-24T01:27:24Z,2130000,157.0,200.0,1,left,J. Tatum 25' 3PT pullup (12 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.42,Made,12.0,,,,,,,,,,,,,,,,,,
216,PT05M58.00S,2021-02-24T01:27:32.2Z,2,REGULAR,3pt,Jump Shot,[],1626196,72.22404730617609,20.412071078431374,1610612742,46,42,2021-02-24T01:27:38Z,2140000,-148.0,209.0,1,right,J. Richardson 25' 3PT  (10 PTS) (L. Doncic 4 AST),"[1626196, 1629029]",1610612742.0,DAL,,,,Richardson,J. Richardson,,,,,25.57,Made,10.0,,,,,L. Doncic,1629029.0,4.0,,,,,,,,,,,
218,PT05M39.00S,2021-02-24T01:27:53.2Z,2,REGULAR,foul,personal,['2freethrow'],1626161,,,1610612738,46,42,2021-02-24T01:28:03Z,2160000,,,0,,W. Cauley-Stein shooting personal FOUL (1 PF) (Tatum 2 FT),"[1626161, 1628369]",1610612742.0,DAL,shooting,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Tatum,1628369.0,,,,,,
220,PT05M39.00S,2021-02-24T01:28:24.5Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,46,42,2021-02-24T01:28:24Z,2180000,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
221,PT05M39.00S,2021-02-24T01:28:24.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,46,42,2021-02-24T01:28:24Z,2190000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,
222,PT05M39.00S,2021-02-24T01:28:25.2Z,2,REGULAR,substitution,out,[],1630174,,,1610612738,46,42,2021-02-24T01:28:41Z,2200000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT05M39.00S,2021-02-24T01:28:25.2Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,46,42,2021-02-24T01:28:41Z,2210000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT05M39.00S,2021-02-24T01:28:44.4Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,46,43,2021-02-24T01:28:44Z,2220000,,,0,,J. Tatum Free Throw 2 of 2 (13 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,13.0,,,,,,,,,,,,,,,,,,
225,PT05M22.00S,2021-02-24T01:29:05.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1626161,93.64323258869908,48.84344362745098,1610612742,48,43,2021-02-24T01:29:11Z,2230000,-6.0,7.0,1,right,W. Cauley-Stein cutting DUNK (2 PTS) (L. Doncic 5 AST),"[1626161, 1629029]",1610612742.0,DAL,cutting,,,Cauley-Stein,W. Cauley-Stein,,,,,0.93,Made,2.0,,,,,L. Doncic,1629029.0,5.0,,,,,,,,,,,
227,PT05M03.00S,2021-02-24T01:29:24.1Z,2,REGULAR,2pt,Jump Shot,[],1627759,24.26084099868594,45.90226715686275,1610612738,48,45,2021-02-24T01:29:29Z,2250000,20.0,176.0,1,left,J. Brown 17' pullup Jump Shot (11 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,17.68,Made,11.0,,,,,,,,,,,,,,,,,,
228,PT04M51.00S,2021-02-24T01:29:36.0Z,2,REGULAR,3pt,Jump Shot,[],201949,93.64323258869908,95.41207107843137,1610612742,48,45,2021-02-24T01:29:42Z,2260000,227.0,7.0,1,right,MISS J. Johnson 3PT,[201949],1610612742.0,DAL,,,,Johnson,J. Johnson,,,,,22.72,Missed,,,,,,,,,,,,,,,,,,,
229,PT04M46.00S,2021-02-24T01:29:41.0Z,2,REGULAR,rebound,defensive,[],202684,,,1610612738,48,45,2021-02-24T01:29:42Z,2270000,,,0,,T. Thompson REBOUND (Off:1 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,228.0,3.0,2.0,1.0,,,,,,,,,,,,,,
230,PT04M45.00S,2021-02-24T01:29:44.9Z,2,REGULAR,violation,kicked ball,[],1627827,,,1610612738,48,45,2021-02-24T01:29:49Z,2280000,,,0,,D. Finney-Smith kicked ball VIOLATION,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,2882.0,,,,,,,,,,
231,PT04M40.00S,2021-02-24T01:30:02.8Z,2,REGULAR,3pt,Jump Shot,[],202689,32.670827858081466,35.11795343137255,1610612738,48,45,2021-02-24T01:30:07Z,2290000,74.0,255.0,1,left,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
232,PT04M37.00S,2021-02-24T01:30:05.8Z,2,REGULAR,rebound,defensive,[],1626161,,,1610612742,48,45,2021-02-24T01:30:07Z,2300000,,,0,,W. Cauley-Stein REBOUND (Off:0 Def:2),[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,231.0,2.0,2.0,0.0,,,,,,,,,,,,,,
233,PT04M29.00S,2021-02-24T01:30:14.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,82.34231274638634,41.490502450980394,1610612742,48,45,2021-02-24T01:30:19Z,2310000,-43.0,113.0,1,right,MISS L. Doncic 12' driving floating Shot,[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,12.12,Missed,,,,,,,,,,,,,,,,,,,
234,PT04M27.00S,2021-02-24T01:30:16.1Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,48,45,2021-02-24T01:30:19Z,2320000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,233.0,3.0,2.0,1.0,,,,,,,,,,,,,,
235,PT04M23.00S,2021-02-24T01:30:22.0Z,2,REGULAR,foul,personal,[],201949,,,1610612738,48,45,2021-02-24T01:30:34Z,2330000,,,0,,J. Johnson personal FOUL (2 PF),"[201949, 1629684]",1610612742.0,DAL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,2882.0,2.0,0.0,Williams,1629684.0,,,,,,
237,PT04M06.00S,2021-02-24T01:31:05.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202684,8.886333771353483,55.951286764705884,1610612738,48,47,2021-02-24T01:31:11Z,2350000,-30.0,31.0,1,left,T. Thompson Hook (2 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,4.3,Made,2.0,,,,,,,,,,,,,,,,,,
239,PT03M52.00S,2021-02-24T01:31:18.5Z,2,REGULAR,3pt,Jump Shot,[],1629029,67.62483574244416,24.088541666666664,1610612742,51,47,2021-02-24T01:31:26Z,2370000,-130.0,252.0,1,right,L. Doncic 28' 3PT step back (14 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,28.32,Made,14.0,,,,,,,,,,,,,,,,,,
240,PT03M37.00S,2021-02-24T01:31:33.6Z,2,REGULAR,3pt,Jump Shot,[],1628369,24.655059132720105,14.529718137254902,1610612738,51,47,2021-02-24T01:31:41Z,2380000,177.0,179.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.22,Missed,,,,,,,,,,,,,,,,,,,
241,PT03M35.00S,2021-02-24T01:31:35.6Z,2,REGULAR,rebound,offensive,[],1629684,,,1610612738,51,47,2021-02-24T01:31:41Z,2390000,,,0,,G. Williams REBOUND (Off:1 Def:0),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,240.0,1.0,0.0,1.0,,,,,,,,,,,,,,
242,PT03M33.00S,2021-02-24T01:31:38.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,16.63929040735874,95.16697303921569,1610612738,51,50,2021-02-24T01:31:44Z,2400000,-226.0,104.0,1,left,J. Brown 24' 3PT  (14 PTS) (G. Williams 1 AST),"[1627759, 1629684]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.86,Made,14.0,,,,,G. Williams,1629684.0,1.0,,,,,,,,,,,
244,PT03M11.00S,2021-02-24T01:32:01.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626196,93.77463863337714,49.08854166666667,1610612742,53,50,2021-02-24T01:32:06Z,2420000,-5.0,6.0,1,right,J. Richardson driving Layup (12 PTS),[1626196],1610612742.0,DAL,driving,,,Richardson,J. Richardson,,,,,0.76,Made,12.0,,,,,,,,,,,,,,,,,,
245,PT03M08.00S,2021-02-24T01:32:09.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,53,50,2021-02-24T01:32:09Z,2430000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT03M08.00S,2021-02-24T01:32:18.3Z,2,REGULAR,substitution,out,[],1626161,,,1610612738,53,50,2021-02-24T01:35:30Z,2440000,,,0,,SUB out: W. Cauley-Stein,[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT03M08.00S,2021-02-24T01:32:18.3Z,2,REGULAR,substitution,out,[],202689,,,1610612738,53,50,2021-02-24T01:35:30Z,2450000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT03M08.00S,2021-02-24T01:32:18.3Z,2,REGULAR,substitution,in,[],203939,,,1610612738,53,50,2021-02-24T01:35:30Z,2460000,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT03M08.00S,2021-02-24T01:32:18.3Z,2,REGULAR,substitution,in,[],1630202,,,1610612738,53,50,2021-02-24T01:35:30Z,2470000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT02M47.00S,2021-02-24T01:35:51.0Z,2,REGULAR,3pt,Jump Shot,[],1627759,30.56833114323259,70.41207107843137,1610612738,53,50,2021-02-24T01:35:59Z,2480000,-102.0,235.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.6,Missed,,,,,,,,,,,,,,,,,,,
251,PT02M45.00S,2021-02-24T01:35:53.0Z,2,REGULAR,rebound,offensive,[],1630202,,,1610612738,53,50,2021-02-24T01:35:59Z,2490000,,,0,,P. Pritchard REBOUND (Off:1 Def:0),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,250.0,1.0,0.0,1.0,,,,,,,,,,,,,,
252,PT02M45.00S,2021-02-24T01:35:57.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201949,,,1610612738,53,50,2021-02-24T01:36:06Z,2500000,,,0,,J. Johnson personal FOUL (3 PF) (Pritchard 2 FT),"[201949, 1630202]",1610612742.0,DAL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,2882.0,3.0,0.0,Pritchard,1630202.0,,,,,,
254,PT02M45.00S,2021-02-24T01:36:21.4Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630202,,,1610612738,53,51,2021-02-24T01:36:21Z,2520000,,,0,,P. Pritchard Free Throw 1 of 2 (6 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
255,PT02M45.00S,2021-02-24T01:36:22.9Z,2,REGULAR,substitution,out,[],201949,,,1610612738,53,51,2021-02-24T01:36:42Z,2530000,,,0,,SUB out: J. Johnson,[201949],1610612742.0,DAL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT02M45.00S,2021-02-24T01:36:22.9Z,2,REGULAR,substitution,in,[],1628973,,,1610612738,53,51,2021-02-24T01:36:42Z,2540000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT02M45.00S,2021-02-24T01:36:43.2Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630202,,,1610612738,53,52,2021-02-24T01:36:43Z,2550000,,,0,,P. Pritchard Free Throw 2 of 2 (7 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
258,PT02M29.00S,2021-02-24T01:36:59.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,79.97700394218134,55.70618872549019,1610612742,53,52,2021-02-24T01:37:06Z,2560000,29.0,136.0,1,right,MISS J. Richardson 13' pullup Shot,[1626196],1610612742.0,DAL,pullup,,,Richardson,J. Richardson,,,,,13.87,Missed,,,,,,,,,,,,,,,,,,,
259,PT02M26.00S,2021-02-24T01:37:02.8Z,2,REGULAR,rebound,offensive,[],1629029,,,1610612742,53,52,2021-02-24T01:37:31Z,2570000,,,0,,L. Doncic REBOUND (Off:1 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,258.0,3.0,2.0,1.0,,,,,,,,,,,,,,
260,PT02M26.00S,2021-02-24T01:37:05.1Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629029,94.40999984741211,50.0,1610612742,53,52,2021-02-24T01:37:20Z,2580000,0.0,0.0,1,right,MISS L. Doncic tip Layup,[1629029],1610612742.0,DAL,tip,,,Doncic,L. Doncic,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
261,PT02M25.00S,2021-02-24T01:37:06.1Z,2,REGULAR,rebound,defensive,[],202684,,,1610612738,53,52,2021-02-24T01:37:20Z,2590000,,,0,,T. Thompson REBOUND (Off:1 Def:3),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,260.0,4.0,3.0,1.0,,,,,,,,,,,,,,
262,PT02M13.00S,2021-02-24T01:37:16.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,12.302890932982917,36.34344362745098,1610612738,53,54,2021-02-24T01:37:23Z,2600000,68.0,63.0,1,left,J. Tatum 9' driving floating Jump Shot (15 PTS) (J. Brown 3 AST),"[1628369, 1627759]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,9.3,Made,15.0,,,,,J. Brown,1627759.0,3.0,,,,,,,,,,,
