actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
72,PT05M27.00S,2021-04-18T00:53:52.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,13,17,2021-04-18T00:53:58Z,720000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,
73,PT05M27.00S,2021-04-18T00:53:58.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,13,17,2021-04-18T00:53:58Z,730000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M18.00S,2021-04-18T00:54:22.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203110,31.488173455978973,39.03952205882353,1610612744,13,20,2021-04-18T00:54:26Z,740000,55.0,243.0,1,left,D. Green 24' 3PT  (3 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,,,,Green,D. Green,,,,,24.96,Made,,,,,3.0,,,,,,S. Curry,201939.0,1.0,,,,,,
76,PT05M00.00S,2021-04-18T00:54:39.5Z,1,REGULAR,3pt,Jump Shot,[],202689,65.65374507227332,40.510110294117645,1610612738,13,20,2021-04-18T00:55:10Z,760000,-47.0,270.0,1,right,MISS K. Walker 27' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,27.45,Missed,,,,,,,,,,,,,,,,,,,
77,PT04M57.00S,2021-04-18T00:54:42.5Z,1,REGULAR,rebound,defensive,[],1629308,,,1610612744,13,20,2021-04-18T00:54:47Z,770000,,,0,,J. Toscano-Anderson REBOUND (Off:0 Def:1),[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
78,PT04M50.00S,2021-04-18T00:54:50.9Z,1,REGULAR,foul,offensive,[],203145,,,1610612744,13,20,2021-04-18T00:55:02Z,780000,,,0,,K. Bazemore offensive FOUL (1 PF),"[203145, 202689]",1610612744.0,GSW,,,,Bazemore,K. Bazemore,,,,,,,,,,,,1148.0,1.0,0.0,Walker,202689.0,,,,,,,,,
80,PT04M50.00S,2021-04-18T00:54:50.9Z,1,REGULAR,turnover,offensive foul,[],203145,,,1610612744,13,20,2021-04-18T00:54:50Z,800000,,,0,,K. Bazemore offensive foul TURNOVER (1 TO),[203145],1610612744.0,GSW,,,,Bazemore,K. Bazemore,,,,,,,,,,,,1148.0,,,,,,,,1.0,,,,,
81,PT04M50.00S,2021-04-18T00:55:01.0Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,13,20,2021-04-18T00:55:36Z,810000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M50.00S,2021-04-18T00:55:01.0Z,1,REGULAR,substitution,out,[],202684,,,1610612738,13,20,2021-04-18T00:55:36Z,820000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M50.00S,2021-04-18T00:55:01.0Z,1,REGULAR,substitution,out,[],203145,,,1610612738,13,20,2021-04-18T00:55:36Z,830000,,,0,,SUB out: K. Bazemore,[203145],1610612744.0,GSW,,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,,,,,,,,,,,,
