actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
55,PT07M23.00S,2021-02-13T01:21:25.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628464,88.64980289093299,48.353247549019606,1610612738,14,5,2021-02-13T01:21:34Z,550000,-8.0,54.0,1,right,MISS D. Theis driving DUNK - blocked,"[1628464, 203924]",1610612738.0,BOS,driving,,,Theis,D. Theis,,,,,5.48,Missed,,,,,,,,,,,,,,Grant,203924.0,,,
56,PT07M23.00S,2021-02-13T01:21:25.9Z,1,REGULAR,block,,[],203924,,,1610612738,14,5,2021-02-13T01:21:29Z,560000,,,0,,J. Grant BLOCK (1 BLK),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M21.00S,2021-02-13T01:21:27.9Z,1,REGULAR,rebound,defensive,[],201961,,,1610612765,14,5,2021-02-13T01:21:34Z,570000,,,0,,W. Ellington REBOUND (Off:0 Def:2),[201961],1610612765.0,DET,,,,Ellington,W. Ellington,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,
58,PT07M17.00S,2021-02-13T01:21:32.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628367,9.149145860709593,95.16697303921569,1610612765,14,5,2021-02-13T01:21:43Z,580000,-226.0,34.0,1,left,MISS J. Jackson 3PT,[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,22.83,Missed,,,,,,,,,,,,,,,,,,
59,PT07M15.00S,2021-02-13T01:21:34.6Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,14,5,2021-02-13T01:21:43Z,590000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,,,
60,PT07M07.00S,2021-02-13T01:21:42.3Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,14,5,2021-02-13T01:21:48Z,600000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1626153]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,1.0,Wright,1626153.0
61,PT07M07.00S,2021-02-13T01:21:42.3Z,1,REGULAR,steal,,[],1626153,,,1610612765,14,5,2021-02-13T01:21:44Z,610000,,,0,,D. Wright STEAL (1 STL),[1626153],1610612765.0,DET,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M01.00S,2021-02-13T01:21:48.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203924,28.991458607095925,27.029718137254903,1610612765,14,5,2021-02-13T01:21:57Z,620000,115.0,220.0,1,left,MISS J. Grant 24' 3PT,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,24.82,Missed,,,,,,,,,,,,,,,,,,
63,PT06M58.00S,2021-02-13T01:21:51.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,14,5,2021-02-13T01:21:57Z,630000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,
64,PT06M45.00S,2021-02-13T01:22:03.7Z,1,REGULAR,3pt,Jump Shot,[],1630202,67.62483574244416,65.26501225490196,1610612738,14,5,2021-02-13T01:22:09Z,640000,76.0,252.0,1,right,MISS P. Pritchard 26' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,26.31,Missed,,,,,,,,,,,,,,,,,,
65,PT06M43.00S,2021-02-13T01:22:05.7Z,1,REGULAR,rebound,defensive,[],1626153,,,1610612765,14,5,2021-02-13T01:22:09Z,650000,,,0,,D. Wright REBOUND (Off:0 Def:1),[1626153],1610612765.0,DET,,,,Wright,D. Wright,,,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,
67,PT06M31.00S,2021-02-13T01:22:18.3Z,1,REGULAR,3pt,Jump Shot,[],201961,13.485545335085414,96.14736519607843,1610612765,14,5,2021-02-13T01:22:28Z,660000,-231.0,74.0,1,left,MISS W. Ellington 24' 3PT,[201961],1610612765.0,DET,,,,Ellington,W. Ellington,,,,,24.24,Missed,,,,,,,,,,,,,,,,,,
