actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
43,PT08M28.00S,2021-03-16T23:49:54.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,5.732588699080158,49.82383578431372,1610612738,10,5,2021-03-16T23:52:38Z,430000,1.0,1.0,1,left,J. Tatum running Layup (2 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,0.17,Made,,,,,2.0,,,,,,,,,,,,,,
44,PT08M16.00S,2021-03-16T23:50:08.9Z,1,REGULAR,turnover,traveling,[],203497,,,1610612762,10,5,2021-03-16T23:50:14Z,440000,,,0,,R. Gobert traveling TURNOVER (1 TO),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,1.0,,,201246.0,,,,,,,
45,PT08M09.00S,2021-03-16T23:50:29.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202689,29.25427069645204,25.80422794117647,1610612738,10,5,2021-03-16T23:50:39Z,450000,121.0,222.0,1,left,MISS K. Walker 25' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.33,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M06.00S,2021-03-16T23:50:32.9Z,1,REGULAR,rebound,offensive,[],1628400,,,1610612738,10,5,2021-03-16T23:50:39Z,460000,,,0,,S. Ojeleye REBOUND (Off:1 Def:0),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,45.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
47,PT07M59.00S,2021-03-16T23:50:40.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627759,12.040078843626807,41.490502450980394,1610612738,12,5,2021-03-16T23:50:45Z,470000,43.0,61.0,1,left,J. Brown 7' floating Jump Shot (6 PTS),[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,7.41,Made,,,,,6.0,,,,,,,,,,,,,,
48,PT07M32.00S,2021-03-16T23:51:09.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612762,12,5,2021-03-16T23:51:20Z,480000,,,0,,UTA shot clock Team TURNOVER,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M23.00S,2021-03-16T23:51:28.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,26.10052562417871,80.95128676470588,1610612738,12,5,2021-03-16T23:51:35Z,490000,-155.0,193.0,1,left,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M18.00S,2021-03-16T23:51:33.3Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,12,5,2021-03-16T23:51:35Z,500000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
51,PT07M01.00S,2021-03-16T23:51:49.3Z,1,REGULAR,2pt,Jump Shot,[],1628378,89.96386333771353,74.08854166666666,1610612762,12,5,2021-03-16T23:51:56Z,510000,120.0,42.0,1,right,MISS D. Mitchell 12' fadeaway Shot,[1628378],1610612762.0,UTA,fadeaway,,,Mitchell,D. Mitchell,,,,,12.74,Missed,,,,,,,,,,,,,,,,,,,
52,PT06M58.00S,2021-03-16T23:51:52.3Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,12,5,2021-03-16T23:51:56Z,520000,,,0,,D. Theis REBOUND (Off:0 Def:4),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,51.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
53,PT06M46.00S,2021-03-16T23:52:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,19.136005256241788,57.176776960784316,1610612738,14,5,2021-03-16T23:52:09Z,530000,-36.0,127.0,1,left,K. Walker 13' pullup Jump Shot (4 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,13.24,Made,,,,,4.0,,,,,,,,,,,,,,
54,PT06M45.00S,2021-03-16T23:52:10.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,14,5,2021-03-16T23:52:10Z,540000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M45.00S,2021-03-16T23:54:34.3Z,1,REGULAR,substitution,out,[],203497,,,1610612762,14,5,2021-03-16T23:55:20Z,550000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M45.00S,2021-03-16T23:54:34.3Z,1,REGULAR,substitution,out,[],201144,,,1610612762,14,5,2021-03-16T23:55:20Z,560000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M45.00S,2021-03-16T23:54:34.3Z,1,REGULAR,substitution,in,[],202324,,,1610612762,14,5,2021-03-16T23:55:20Z,570000,,,0,,SUB in: D. Favors,[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M45.00S,2021-03-16T23:54:34.3Z,1,REGULAR,substitution,in,[],204060,,,1610612762,14,5,2021-03-16T23:55:20Z,580000,,,0,,SUB in: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M31.00S,2021-03-16T23:55:45.2Z,1,REGULAR,turnover,bad pass,[],202711,,,1610612762,14,5,2021-03-16T23:55:52Z,590000,,,0,,B. Bogdanovic bad pass TURNOVER (3 TO),"[202711, 1628369]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,3.0,Tatum,1628369.0,,,,,,,,
60,PT06M31.00S,2021-03-16T23:55:45.2Z,1,REGULAR,steal,,[],1628369,,,1610612738,14,5,2021-03-16T23:55:46Z,600000,,,0,,J. Tatum STEAL (2 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M29.00S,2021-03-16T23:55:51.7Z,1,REGULAR,foul,personal,[],1628378,,,1610612738,14,5,2021-03-16T23:58:23Z,610000,,,0,,D. Mitchell take personal FOUL (1 PF),"[1628378, 1628369]",1610612762.0,UTA,take,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,1155.0,,,1.0,0.0,Tatum,1628369.0,
63,PT06M29.00S,2021-03-16T23:55:57.6Z,1,REGULAR,substitution,out,[],202689,,,1610612738,14,5,2021-03-16T23:56:16Z,630000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M29.00S,2021-03-16T23:55:57.6Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,14,5,2021-03-16T23:56:16Z,640000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M29.00S,2021-03-16T23:55:57.6Z,1,REGULAR,substitution,out,[],202711,,,1610612738,14,5,2021-03-16T23:56:16Z,650000,,,0,,SUB out: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M29.00S,2021-03-16T23:55:57.6Z,1,REGULAR,substitution,in,[],203935,,,1610612738,14,5,2021-03-16T23:56:16Z,660000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M29.00S,2021-03-16T23:55:57.6Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,14,5,2021-03-16T23:56:16Z,670000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M29.00S,2021-03-16T23:55:57.6Z,1,REGULAR,substitution,in,[],203903,,,1610612738,14,5,2021-03-16T23:56:16Z,680000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M16.00S,2021-03-16T23:56:35.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628369,9.411957950065702,46.88265931372549,1610612738,14,5,2021-03-16T23:56:43Z,690000,16.0,36.0,1,left,MISS J. Tatum driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,3.92,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M14.00S,2021-03-16T23:56:37.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,14,5,2021-03-16T23:56:43Z,700000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,
71,PT06M14.00S,2021-03-16T23:56:42.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,14,5,2021-03-16T23:56:42Z,710000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M02.00S,2021-03-16T23:56:57.6Z,1,REGULAR,2pt,Jump Shot,[],202324,77.61169513797634,53.990502450980394,1610612762,14,5,2021-03-16T23:57:03Z,720000,20.0,158.0,1,right,MISS D. Favors 15' Jump Shot,[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,15.93,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M59.00S,2021-03-16T23:57:00.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,14,5,2021-03-16T23:57:03Z,730000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
74,PT05M48.00S,2021-03-16T23:57:11.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,13.61695137976347,44.43167892156863,1610612738,16,5,2021-03-16T23:57:15Z,740000,28.0,75.0,1,left,J. Brown 8' Jump Shot (8 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,8.05,Made,,,,,8.0,,,,,,,,,,,,,,
75,PT05M28.00S,2021-03-16T23:57:31.7Z,1,REGULAR,3pt,Jump Shot,[],203903,92.19776609724047,3.2552083333333335,1610612762,16,5,2021-03-16T23:57:36Z,750000,-234.0,21.0,1,right,MISS J. Clarkson 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,23.46,Missed,,,,,,,,,,,,,,,,,,,
76,PT05M25.00S,2021-03-16T23:57:34.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,16,5,2021-03-16T23:57:36Z,760000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
77,PT05M15.00S,2021-03-16T23:57:44.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,5.995400788436268,56.68658088235294,1610612738,16,5,2021-03-16T23:58:04Z,770000,-33.0,4.0,1,left,MISS J. Tatum driving finger roll Layup - blocked,"[1628369, 202324]",1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,3.36,Missed,,,,,,,,,,,,,Favors,202324.0,,,,,
78,PT05M15.00S,2021-03-16T23:57:44.2Z,1,REGULAR,block,,[],202324,,,1610612738,16,5,2021-03-16T23:57:46Z,780000,,,0,,D. Favors BLOCK (1 BLK),[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M09.00S,2021-03-16T23:57:50.2Z,1,REGULAR,rebound,defensive,[],204060,,,1610612762,16,5,2021-03-16T23:58:04Z,790000,,,0,,J. Ingles REBOUND (Off:0 Def:1),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
80,PT04M57.00S,2021-03-16T23:58:02.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202324,91.14651773981603,49.82383578431372,1610612762,16,7,2021-03-16T23:58:09Z,800000,-1.0,31.0,1,right,D. Favors cutting DUNK (2 PTS) (D. Mitchell 2 AST),"[202324, 1628378]",1610612762.0,UTA,cutting,,,Favors,D. Favors,,,,,3.07,Made,,,,,2.0,D. Mitchell,1628378.0,2.0,,,,,,,,,,,
