actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
65,PT06M32.00S,2021-04-23T23:53:42.1Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,12,12,2021-04-23T23:56:26Z,650000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M32.00S,2021-04-23T23:53:42.1Z,1,REGULAR,substitution,in,[],1628971,,,1610612738,12,12,2021-04-23T23:56:26Z,660000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M32.00S,2021-04-23T23:53:42.1Z,1,REGULAR,substitution,in,[],203095,,,1610612738,12,12,2021-04-23T23:56:26Z,670000,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M20.00S,2021-04-23T23:57:10.7Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612738,12,12,2021-04-23T23:57:22Z,680000,,,0,,B. Brown shooting personal FOUL (1 PF) (Thompson 2 FT),"[1628971, 202684]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Thompson,202684.0,
70,PT06M20.00S,2021-04-23T23:57:38.2Z,1,REGULAR,freethrow,1 of 2,[],202684,,,1610612738,12,13,2021-04-23T23:57:38Z,700000,,,0,,T. Thompson Free Throw 1 of 2 (1 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
71,PT06M20.00S,2021-04-23T23:57:38.2Z,1,REGULAR,freethrow,2 of 2,[],202684,,,1610612738,12,13,2021-04-23T23:57:59Z,710000,,,0,,MISS T. Thompson Free Throw 2 of 2,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,Missed,,,,,,,,,,,,,,,,
72,PT06M17.00S,2021-04-23T23:57:41.2Z,1,REGULAR,rebound,defensive,[],201599,,,1610612751,12,13,2021-04-23T23:57:59Z,720000,,,0,,D. Jordan REBOUND (Off:0 Def:4),[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,71.0,4.0,4.0,0.0,,,,,,,,
73,PT06M02.00S,2021-04-23T23:58:14.1Z,1,REGULAR,foul,personal,['2freethrow'],1628400,,,1610612751,12,13,2021-04-23T23:58:27Z,730000,,,0,,S. Ojeleye shooting personal FOUL (1 PF) (Green 2 FT),"[1628400, 201145]",1610612738.0,BOS,shooting,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Green,201145.0,
75,PT06M02.00S,2021-04-23T23:58:39.3Z,1,REGULAR,freethrow,1 of 2,[],201145,,,1610612751,13,13,2021-04-23T23:58:39Z,750000,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
76,PT06M02.00S,2021-04-23T23:58:55.7Z,1,REGULAR,freethrow,2 of 2,[],201145,,,1610612751,14,13,2021-04-23T23:58:55Z,760000,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
77,PT05M46.00S,2021-04-23T23:59:14.1Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612738,14,13,2021-04-23T23:59:25Z,770000,,,0,,B. Brown shooting personal FOUL (2 PF) (Fournier 2 FT),"[1628971, 203095]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,2148.0,2.0,0.0,Fournier,203095.0,
79,PT05M46.00S,2021-04-23T23:59:41.9Z,1,REGULAR,freethrow,1 of 2,[],203095,,,1610612738,14,14,2021-04-23T23:59:41Z,790000,,,0,,E. Fournier Free Throw 1 of 2 (1 PTS),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
80,PT05M46.00S,2021-04-23T23:59:42.9Z,1,REGULAR,substitution,out,[],201145,,,1610612738,14,14,2021-04-24T00:00:01Z,800000,,,0,,SUB out: J. Green,[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M46.00S,2021-04-23T23:59:42.9Z,1,REGULAR,substitution,out,[],1628400,,,1610612738,14,14,2021-04-24T00:00:01Z,810000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M46.00S,2021-04-23T23:59:42.9Z,1,REGULAR,substitution,in,[],1627789,,,1610612738,14,14,2021-04-24T00:00:01Z,820000,,,0,,SUB in: T. Luwawu-Cabarrot,[1627789],1610612751.0,BKN,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,,,,,,
