actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
45,PT08M00.00S,2021-05-07T23:50:48.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,32.802233902759525,45.90226715686275,1610612738,7,9,2021-05-07T23:54:09Z,440000,20.0,256.0,1,left,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,25.66,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M57.00S,2021-05-07T23:50:51.6Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,7,9,2021-05-07T23:50:53Z,450000,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
47,PT07M44.00S,2021-05-07T23:51:08.1Z,1,REGULAR,foul,personal,['2freethrow'],202684,,,1610612741,7,9,2021-05-07T23:51:16Z,460000,,,0,,T. Thompson shooting personal FOUL (1 PF) (Vucevic 2 FT),"[202684, 202696]",1610612738.0,BOS,shooting,,,Thompson,T. Thompson,,,,,,,,,,,,,,,1193.0,1.0,0.0,Vucevic,202696.0,,,,,,
49,PT07M44.00S,2021-05-07T23:51:30.1Z,1,REGULAR,freethrow,1 of 2,[],202696,,,1610612741,8,9,2021-05-07T23:51:30Z,480000,,,0,,N. Vucevic Free Throw 1 of 2 (4 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
50,PT07M44.00S,2021-05-07T23:51:43.7Z,1,REGULAR,freethrow,2 of 2,[],202696,,,1610612741,9,9,2021-05-07T23:51:43Z,490000,,,0,,N. Vucevic Free Throw 2 of 2 (5 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
51,PT07M34.00S,2021-05-07T23:51:58.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,14.011169513797633,51.294424019607845,1610612738,9,11,2021-05-07T23:55:24Z,500000,-6.0,79.0,1,left,E. Fournier 7' driving floating Jump Shot (7 PTS),[203095],1610612738.0,BOS,driving floating,,,Fournier,E. Fournier,,,,,7.95,Made,,,,,7.0,,,,,,,,,,,,,,
52,PT07M17.00S,2021-05-07T23:52:15.0Z,1,REGULAR,3pt,Jump Shot,[],1628464,71.69842312746385,78.25520833333334,1610612741,12,11,2021-05-07T23:52:20Z,510000,141.0,214.0,1,right,D. Theis 25' 3PT  (3 PTS) (C. White 2 AST),"[1628464, 1629632]",1610612741.0,CHI,,,,Theis,D. Theis,,,,,25.6,Made,,,,,3.0,C. White,1629632.0,2.0,,,,,,,,,,,
54,PT07M02.00S,2021-05-07T23:52:29.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,12.302890932982917,45.90226715686275,1610612738,12,11,2021-05-07T23:52:36Z,530000,20.0,63.0,1,left,MISS T. Thompson 6' turnaround Hook,[202684],1610612738.0,BOS,turnaround,,,Thompson,T. Thompson,,,,,6.63,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M01.00S,2021-05-07T23:52:30.9Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612741,12,11,2021-05-07T23:52:36Z,540000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612741.0,CHI,,,,Theis,D. Theis,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
56,PT07M01.00S,2021-05-07T23:52:35.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,12,11,2021-05-07T23:52:35Z,550000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M48.00S,2021-05-07T23:56:10.7Z,1,REGULAR,3pt,Jump Shot,[],1630172,95.74572930354796,3.5003063725490198,1610612741,12,11,2021-05-07T23:56:16Z,560000,-232.0,-13.0,1,right,MISS P. Williams 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,23.28,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M45.00S,2021-05-07T23:56:13.7Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,12,11,2021-05-07T23:56:16Z,570000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
59,PT06M35.00S,2021-05-07T23:56:23.5Z,1,REGULAR,3pt,Jump Shot,[],202689,31.488173455978973,69.921875,1610612738,12,14,2021-05-07T23:56:28Z,580000,-100.0,243.0,1,left,K. Walker 26' 3PT  (7 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.31,Made,,,,,7.0,,,,,,,,,,,,,,
60,PT06M15.00S,2021-05-07T23:56:42.7Z,1,REGULAR,2pt,Jump Shot,[],1628464,93.64323258869908,33.64736519607843,1610612741,14,14,2021-05-07T23:56:49Z,590000,-82.0,7.0,1,right,D. Theis 8' pullup Jump Shot (5 PTS) (N. Vucevic 3 AST),"[1628464, 202696]",1610612741.0,CHI,pullup,,,Theis,D. Theis,,,,,8.21,Made,,,,,5.0,N. Vucevic,202696.0,3.0,,,,,,,,,,,
62,PT06M04.00S,2021-05-07T23:56:54.0Z,1,REGULAR,3pt,Jump Shot,[],202689,30.699737187910642,69.921875,1610612738,14,14,2021-05-07T23:56:58Z,610000,-100.0,236.0,1,left,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M02.00S,2021-05-07T23:56:56.0Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,14,14,2021-05-07T23:56:58Z,620000,,,0,,C. White REBOUND (Off:1 Def:2),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,62.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
64,PT05M56.00S,2021-05-07T23:57:03.1Z,1,REGULAR,3pt,Jump Shot,[],202696,67.36202365308804,45.90226715686275,1610612741,14,14,2021-05-07T23:57:11Z,630000,-20.0,254.0,1,right,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,25.51,Missed,,,,,,,,,,,,,,,,,,,
65,PT05M48.00S,2021-05-07T23:57:11.1Z,1,REGULAR,rebound,offensive,[],203897,,,1610612741,14,14,2021-05-07T23:57:11Z,640000,,,0,,Z. LaVine REBOUND (Off:1 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,64.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
66,PT05M48.00S,2021-05-07T23:57:10.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203897,94.40999984741211,50.0,1610612741,14,14,2021-05-07T23:57:13Z,650000,0.0,0.0,1,right,MISS Z. LaVine putback Layup,[203897],1610612741.0,CHI,putback,,,LaVine,Z. LaVine,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
67,PT05M48.00S,2021-05-07T23:57:10.8Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,14,14,2021-05-07T23:57:13Z,660000,,,0,,M. Smart REBOUND (Off:1 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,66.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
68,PT05M35.00S,2021-05-07T23:57:22.8Z,1,REGULAR,turnover,bad pass,[],203095,,,1610612738,14,14,2021-05-07T23:57:27Z,670000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 1628464]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,1.0,Theis,1628464.0,,,
69,PT05M35.00S,2021-05-07T23:57:22.8Z,1,REGULAR,steal,,[],1628464,,,1610612741,14,14,2021-05-07T23:57:25Z,680000,,,0,,D. Theis STEAL (1 STL),[1628464],1610612741.0,CHI,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M28.00S,2021-05-07T23:57:30.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630172,93.24901445466492,53.01011029411765,1610612741,14,14,2021-05-07T23:57:36Z,690000,15.0,11.0,1,right,MISS P. Williams driving Layup,[1630172],1610612741.0,CHI,driving,,,Williams,P. Williams,,,,,1.87,Missed,,,,,,,,,,,,,,,,,,,
71,PT05M22.00S,2021-05-07T23:57:35.4Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,14,14,2021-05-07T23:57:35Z,700000,,,0,,N. Vucevic REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,70.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
72,PT05M22.00S,2021-05-07T23:57:35.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",202696,94.40999984741211,50.0,1610612741,14,14,2021-05-07T23:57:39Z,710000,0.0,0.0,1,right,MISS N. Vucevic tip Layup,[202696],1610612741.0,CHI,tip,,,Vucevic,N. Vucevic,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M22.00S,2021-05-07T23:57:35.4Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,14,14,2021-05-07T23:57:39Z,720000,,,0,,N. Vucevic REBOUND (Off:2 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,72.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
85,PT05M21.00S,2021-05-07T23:57:43.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",202696,94.30026281208936,51.78462009803921,1610612741,16,14,2021-05-08T00:14:29Z,730000,9.0,1.0,1,right,N. Vucevic tip Layup (7 PTS),[202696],1610612741.0,CHI,tip,,,Vucevic,N. Vucevic,,,,,0.9,Made,,,,,7.0,,,,,,,,,,,,,,
75,PT05M06.00S,2021-05-07T23:57:52.3Z,1,REGULAR,3pt,Jump Shot,[],203095,9.806176084099869,96.6375612745098,1610612738,16,17,2021-05-07T23:58:07Z,740000,-233.0,40.0,1,left,E. Fournier 3PT  (10 PTS) (J. Tatum 3 AST),"[203095, 1628369]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,23.66,Made,,,,,10.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,
77,PT04M55.00S,2021-05-07T23:58:02.8Z,1,REGULAR,turnover,bad pass,[],1630172,,,1610612741,16,17,2021-05-07T23:58:10Z,760000,,,0,,P. Williams bad pass TURNOVER (1 TO),"[1630172, 203095]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,1.0,Fournier,203095.0,,,
78,PT04M55.00S,2021-05-07T23:58:02.8Z,1,REGULAR,steal,,[],203095,,,1610612738,16,17,2021-05-08T00:03:08Z,770000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M48.00S,2021-05-07T23:58:09.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202689,7.30946123521682,49.82383578431372,1610612738,16,17,2021-05-07T23:58:16Z,780000,1.0,16.0,1,left,MISS K. Walker Layup - blocked,"[202689, 1629632]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,1.62,Missed,,,,,,,,,,,,,,,,,White,1629632.0,
119,PT04M48.00S,2021-05-07T23:58:09.4Z,1,REGULAR,block,,[],1629632,,,1610612738,16,17,2021-05-08T00:04:48Z,785000,,,0,,C. White BLOCK (1 BLK),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M45.00S,2021-05-07T23:58:12.4Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,16,17,2021-05-08T00:04:48Z,790000,,,0,,T. Thompson REBOUND (Off:1 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,79.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
81,PT04M45.00S,2021-05-07T23:58:12.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",202684,5.590000152587891,50.0,1610612738,16,19,2021-05-07T23:58:12Z,800000,0.0,0.0,1,left,T. Thompson tip Layup (2 PTS),[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
