actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
187,PT11M45.00S,2021-04-14T02:48:23.9Z,2,REGULAR,2pt,Jump Shot,[],2546,21.50131406044678,47.372855392156865,1610612757,38,30,2021-04-14T02:48:28Z,1860000,13.0,150.0,1,left,MISS C. Anthony 15' pullup Shot,[2546],1610612757.0,POR,pullup,,,Anthony,C. Anthony,,,,,15.02,Missed,,,,,,,,,,,,,,,,,,,
188,PT11M42.00S,2021-04-14T02:48:26.9Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,38,30,2021-04-14T02:48:28Z,1870000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,187.0,2.0,2.0,0.0,,,,,
189,PT11M27.00S,2021-04-14T02:48:42.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.9862023653088,50.80422794117647,1610612738,38,32,2021-04-14T02:48:45Z,1880000,4.0,13.0,1,right,R. Williams III alley-oop DUNK (10 PTS) (P. Pritchard 1 AST),"[1629057, 1630202]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,1.4,Made,10.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,,,,,
191,PT11M05.00S,2021-04-14T02:49:03.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,18.347568988173457,41.73560049019608,1610612757,38,32,2021-04-14T02:49:08Z,1900000,41.0,120.0,1,left,MISS C. McCollum 12' pullup Shot,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,12.69,Missed,,,,,,,,,,,,,,,,,,,
192,PT11M03.00S,2021-04-14T02:49:05.8Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,38,32,2021-04-14T02:49:08Z,1910000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,191.0,3.0,3.0,0.0,,,,,
193,PT10M59.00S,2021-04-14T02:49:11.7Z,2,REGULAR,foul,personal,['2freethrow'],203468,,,1610612738,38,32,2021-04-14T02:49:19Z,1920000,,,0,,C. McCollum shooting personal FOUL (1 PF) (Tatum 2 FT),"[203468, 1628369]",1610612757.0,POR,shooting,,,McCollum,C. McCollum,,,,,,,,,,,2002.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,
195,PT10M59.00S,2021-04-14T02:49:42.5Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1628369,,,1610612738,38,33,2021-04-14T02:49:42Z,1940000,,,0,,J. Tatum Free Throw 1 of 2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
196,PT10M59.00S,2021-04-14T02:49:57.3Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1628369,,,1610612738,38,34,2021-04-14T02:49:57Z,1950000,,,0,,J. Tatum Free Throw 2 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
197,PT10M46.00S,2021-04-14T02:50:11.9Z,2,REGULAR,3pt,Jump Shot,[],2546,31.882391590013142,49.82383578431372,1610612757,41,34,2021-04-14T02:50:15Z,1960000,1.0,247.0,1,left,C. Anthony 24' 3PT pullup (8 PTS) (C. McCollum 2 AST),"[2546, 203468]",1610612757.0,POR,pullup,,,Anthony,C. Anthony,,,,,24.72,Made,8.0,C. McCollum,203468.0,2.0,,,,,,,,,,,,,,,
199,PT10M39.00S,2021-04-14T02:50:19.2Z,2,REGULAR,3pt,Jump Shot,[],1627759,86.41590013140605,95.16697303921569,1610612738,41,34,2021-04-14T02:50:25Z,1980000,226.0,75.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.8,Missed,,,,,,,,,,,,,,,,,,,
200,PT10M38.00S,2021-04-14T02:50:24.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,41,34,2021-04-14T02:50:24Z,1990000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,199.0,,,,,,,,
201,PT10M38.00S,2021-04-14T02:50:26.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,41,34,2021-04-14T02:50:26Z,2000000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT10M38.00S,2021-04-14T02:50:31.7Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,41,34,2021-04-14T02:50:36Z,2010000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT10M38.00S,2021-04-14T02:50:31.7Z,2,REGULAR,substitution,in,[],202684,,,1610612738,41,34,2021-04-14T02:50:36Z,2020000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT10M32.00S,2021-04-14T02:50:50.9Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1627759,78.13731931668858,60.36305147058824,1610612738,41,34,2021-04-14T02:50:54Z,2030000,52.0,153.0,1,right,MISS J. Brown 16' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,16.15,Missed,,,,,,,,,,,,,,,,,,,
205,PT10M30.00S,2021-04-14T02:50:52.9Z,2,REGULAR,rebound,offensive,[],202684,,,1610612738,41,34,2021-04-14T02:50:54Z,2040000,,,0,,T. Thompson REBOUND (Off:3 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,204.0,4.0,1.0,3.0,,,,,
206,PT10M28.00S,2021-04-14T02:50:56.7Z,2,REGULAR,foul,personal,['2freethrow'],203994,,,1610612738,41,34,2021-04-14T02:51:06Z,2050000,,,0,,J. Nurkic shooting personal FOUL (2 PF) (Thompson 2 FT),"[203994, 202684]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,,,,,,,2715.0,2.0,0.0,Thompson,202684.0,,,,,,,,,,
208,PT10M28.00S,2021-04-14T02:51:29.1Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],202684,,,1610612738,41,35,2021-04-14T02:51:58Z,2070000,,,0,,T. Thompson Free Throw 1 of 2 (3 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
209,PT10M28.00S,2021-04-14T02:51:29.6Z,2,REGULAR,substitution,out,[],1629684,,,1610612738,41,35,2021-04-14T02:51:34Z,2080000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT10M28.00S,2021-04-14T02:51:29.6Z,2,REGULAR,substitution,in,[],1628400,,,1610612738,41,35,2021-04-14T02:51:34Z,2090000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT10M28.00S,2021-04-14T02:51:29.1Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],202684,,,1610612738,41,35,2021-04-14T02:51:58Z,2100000,,,0,,MISS T. Thompson Free Throw 2 of 2,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
212,PT10M26.00S,2021-04-14T02:51:31.1Z,2,REGULAR,rebound,defensive,[],203994,,,1610612757,41,35,2021-04-14T02:51:58Z,2110000,,,0,,J. Nurkic REBOUND (Off:0 Def:3),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,211.0,3.0,3.0,0.0,,,,,
213,PT10M18.00S,2021-04-14T02:52:08.6Z,2,REGULAR,foul,personal,[],1627759,,,1610612757,41,35,2021-04-14T02:52:13Z,2120000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 2546]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,1626300.0,1.0,0.0,Anthony,2546.0,,,,,,,,,,
215,PT10M09.00S,2021-04-14T02:52:34.3Z,2,REGULAR,3pt,Jump Shot,[],203994,31.61957950065703,50.06893382352941,1610612757,41,35,2021-04-14T02:52:38Z,2140000,0.0,245.0,1,left,MISS J. Nurkic 24' 3PT,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,24.47,Missed,,,,,,,,,,,,,,,,,,,
216,PT10M07.00S,2021-04-14T02:52:36.3Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,41,35,2021-04-14T02:52:38Z,2150000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,215.0,1.0,1.0,0.0,,,,,
217,PT09M49.00S,2021-04-14T02:52:54.6Z,2,REGULAR,3pt,Jump Shot,[],1630202,66.3107752956636,74.33363970588235,1610612738,41,35,2021-04-14T02:52:58Z,2160000,122.0,264.0,1,right,MISS P. Pritchard 29' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,29.09,Missed,,,,,,,,,,,,,,,,,,,
218,PT09M46.00S,2021-04-14T02:52:57.6Z,2,REGULAR,rebound,defensive,[],203468,,,1610612757,41,35,2021-04-14T02:52:58Z,2170000,,,0,,C. McCollum REBOUND (Off:1 Def:2),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,217.0,3.0,2.0,1.0,,,,,
219,PT09M40.00S,2021-04-14T02:53:02.6Z,2,REGULAR,3pt,Jump Shot,[],1626181,30.699737187910642,69.921875,1610612757,41,35,2021-04-14T02:53:06Z,2180000,-100.0,236.0,1,left,MISS N. Powell 25' pullup 3PT,[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
220,PT09M37.00S,2021-04-14T02:53:05.6Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,41,35,2021-04-14T02:53:06Z,2190000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,219.0,4.0,4.0,0.0,,,,,
221,PT09M26.00S,2021-04-14T02:53:16.6Z,2,REGULAR,3pt,Jump Shot,[],1627759,91.01511169513797,94.67677696078431,1610612738,41,35,2021-04-14T02:53:20Z,2200000,223.0,32.0,1,right,MISS J. Brown pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,22.57,Missed,,,,,,,,,,,,,,,,,,,
222,PT09M24.00S,2021-04-14T02:53:18.6Z,2,REGULAR,rebound,defensive,[],2546,,,1610612757,41,35,2021-04-14T02:53:20Z,2210000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,221.0,1.0,1.0,0.0,,,,,
223,PT09M20.00S,2021-04-14T02:53:25.9Z,2,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612757,41,35,2021-04-14T02:53:32Z,2220000,,,0,,J. Tatum shooting personal FOUL (2 PF) (Jones Jr. 2 FT),"[1628369, 1627884]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,2715.0,2.0,0.0,Jones Jr.,1627884.0,,,,,,,,,,
225,PT09M20.00S,2021-04-14T02:53:53.1Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1627884,,,1610612757,41,35,2021-04-14T02:54:11Z,2240000,,,0,,MISS D. Jones Jr. Free Throw 1 of 2,[1627884],1610612757.0,POR,,,,Jones Jr.,D. Jones Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
226,PT09M20.00S,2021-04-14T02:53:53.1Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612757,41,35,2021-04-14T02:54:11Z,2250000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,225.0,,,,,,,,
227,PT09M20.00S,2021-04-14T02:53:53.1Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1627884,,,1610612757,41,35,2021-04-14T02:54:11Z,2260000,,,0,,MISS D. Jones Jr. Free Throw 2 of 2,[1627884],1610612757.0,POR,,,,Jones Jr.,D. Jones Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
228,PT09M18.00S,2021-04-14T02:53:55.1Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612738,41,35,2021-04-14T02:54:11Z,2270000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,227.0,1.0,1.0,0.0,,,,,
229,PT08M55.00S,2021-04-14T02:54:31.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,81.02825229960578,38.05912990196079,1610612738,41,35,2021-04-14T02:54:35Z,2280000,-60.0,126.0,1,right,MISS J. Brown 13' pullup bank Shot,[1627759],1610612738.0,BOS,pullup bank,,,Brown,J. Brown,,,,,13.92,Missed,,,,,,,,,,,,,,,,,,,
230,PT08M53.00S,2021-04-14T02:54:33.6Z,2,REGULAR,rebound,offensive,[],1627759,,,1610612738,41,35,2021-04-14T02:54:35Z,2290000,,,0,,J. Brown REBOUND (Off:2 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,229.0,3.0,1.0,2.0,,,,,
231,PT08M53.00S,2021-04-14T02:54:34.5Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627759,94.40999984741211,50.0,1610612738,41,37,2021-04-14T02:55:32Z,2300000,0.0,0.0,1,right,J. Brown tip Layup (6 PTS),[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,0.0,Made,6.0,,,,,,,,,,,,,,,,,,
232,PT08M43.00S,2021-04-14T02:54:48.0Z,2,REGULAR,foul,personal,['2freethrow'],1628400,,,1610612757,41,37,2021-04-14T02:54:55Z,2310000,,,0,,S. Ojeleye shooting personal FOUL (1 PF) (Anthony 2 FT),"[1628400, 2546]",1610612738.0,BOS,shooting,,,Ojeleye,S. Ojeleye,,,,,,,,,,,1626300.0,1.0,0.0,Anthony,2546.0,,,,,,,,,,
234,PT08M43.00S,2021-04-14T02:55:10.9Z,2,REGULAR,freethrow,1 of 2,[],2546,,,1610612757,42,37,2021-04-14T02:55:10Z,2330000,,,0,,C. Anthony Free Throw 1 of 2 (9 PTS),[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
235,PT08M43.00S,2021-04-14T02:55:11.4Z,2,REGULAR,substitution,out,[],1627884,,,1610612757,42,37,2021-04-14T02:55:30Z,2340000,,,0,,SUB out: D. Jones Jr.,[1627884],1610612757.0,POR,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT08M43.00S,2021-04-14T02:55:11.4Z,2,REGULAR,substitution,out,[],1626181,,,1610612757,42,37,2021-04-14T02:55:30Z,2350000,,,0,,SUB out: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT08M43.00S,2021-04-14T02:55:11.4Z,2,REGULAR,substitution,in,[],203496,,,1610612757,42,37,2021-04-14T02:55:30Z,2360000,,,0,,SUB in: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT08M43.00S,2021-04-14T02:55:11.4Z,2,REGULAR,substitution,in,[],1629642,,,1610612757,42,37,2021-04-14T02:55:30Z,2370000,,,0,,SUB in: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT08M43.00S,2021-04-14T02:55:47.0Z,2,REGULAR,freethrow,2 of 2,[],2546,,,1610612757,43,37,2021-04-14T02:55:47Z,2380000,,,0,,C. Anthony Free Throw 2 of 2 (10 PTS),[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
240,PT08M26.00S,2021-04-14T02:56:06.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,83.26215505913272,41.00030637254902,1610612738,43,37,2021-04-14T02:56:11Z,2390000,-45.0,105.0,1,right,MISS P. Pritchard 11' driving floating Shot,[1630202],1610612738.0,BOS,driving floating,,,Pritchard,P. Pritchard,,,,,11.41,Missed,,,,,,,,,,,,,,,,,,,
241,PT08M24.00S,2021-04-14T02:56:08.7Z,2,REGULAR,rebound,defensive,[],203468,,,1610612757,43,37,2021-04-14T02:56:11Z,2400000,,,0,,C. McCollum REBOUND (Off:1 Def:3),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,240.0,4.0,3.0,1.0,,,,,
242,PT08M18.00S,2021-04-14T02:56:15.6Z,2,REGULAR,2pt,Jump Shot,[],203468,17.821944809461236,73.84344362745098,1610612757,43,37,2021-04-14T02:56:18Z,2410000,-119.0,115.0,1,left,MISS C. McCollum 16' pullup Shot - blocked,"[203468, 1628369]",1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,16.56,Missed,,,,,,,,,,,,,,,,,Tatum,1628369.0,
243,PT08M18.00S,2021-04-14T02:56:15.6Z,2,REGULAR,block,,[],1628369,,,1610612757,43,37,2021-04-14T02:56:17Z,2420000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT08M18.00S,2021-04-14T02:56:15.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612757,43,37,2021-04-14T02:56:18Z,2430000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,242.0,,,,,,,,
245,PT08M18.00S,2021-04-14T02:56:19.1Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,43,37,2021-04-14T02:56:19Z,2440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT08M11.00S,2021-04-14T02:56:37.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203496,17.95335085413929,94.67677696078431,1610612757,43,37,2021-04-14T02:56:41Z,2450000,-223.0,116.0,1,left,MISS R. Covington 25' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,25.19,Missed,,,,,,,,,,,,,,,,,,,
247,PT08M08.00S,2021-04-14T02:56:40.6Z,2,REGULAR,rebound,defensive,[],202684,,,1610612738,43,37,2021-04-14T02:56:41Z,2460000,,,0,,T. Thompson REBOUND (Off:3 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,246.0,5.0,2.0,3.0,,,,,
248,PT07M56.00S,2021-04-14T02:56:51.3Z,2,REGULAR,2pt,Jump Shot,[],1628369,90.22667542706965,68.69638480392157,1610612738,43,37,2021-04-14T02:57:01Z,2470000,93.0,39.0,1,right,MISS J. Tatum 10' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,10.15,Missed,,,,,,,,,,,,,,,,,,,
249,PT07M54.00S,2021-04-14T02:56:53.3Z,2,REGULAR,rebound,defensive,[],203994,,,1610612757,43,37,2021-04-14T02:56:56Z,2480000,,,0,,J. Nurkic REBOUND (Off:0 Def:4),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,248.0,4.0,4.0,0.0,,,,,
250,PT07M44.00S,2021-04-14T02:57:04.0Z,2,REGULAR,2pt,Jump Shot,[],2546,5.469776609724048,21.39246323529412,1610612757,45,37,2021-04-14T02:58:23Z,2490000,143.0,-1.0,1,left,C. Anthony 14' turnaround Jump Shot (12 PTS),[2546],1610612757.0,POR,turnaround,,,Anthony,C. Anthony,,,,,14.3,Made,12.0,,,,,,,,,,,,,,,,,,
251,PT07M33.00S,2021-04-14T02:57:14.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202684,80.50262812089356,44.921875,1610612738,45,39,2021-04-14T02:57:21Z,2500000,-25.0,131.0,1,right,T. Thompson 13' floating Jump Shot (5 PTS) (J. Brown 2 AST),"[202684, 1627759]",1610612738.0,BOS,floating,,,Thompson,T. Thompson,,,,,13.32,Made,5.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,,,,
253,PT07M09.00S,2021-04-14T02:57:38.8Z,2,REGULAR,3pt,Jump Shot,[],203468,24.129434954007884,15.265012254901961,1610612757,45,39,2021-04-14T02:57:42Z,2520000,174.0,174.0,1,left,MISS C. McCollum 24' pullup 3PT,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,24.61,Missed,,,,,,,,,,,,,,,,,,,
254,PT07M07.00S,2021-04-14T02:57:40.8Z,2,REGULAR,rebound,defensive,[],202684,,,1610612738,45,39,2021-04-14T02:57:42Z,2530000,,,0,,T. Thompson REBOUND (Off:3 Def:3),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,253.0,6.0,3.0,3.0,,,,,
255,PT06M58.00S,2021-04-14T02:57:51.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,94.03745072273325,52.029718137254896,1610612738,45,39,2021-04-14T02:57:56Z,2540000,10.0,4.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 203496]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.07,Missed,,,,,,,,,,,,,,,,,Covington,203496.0,
256,PT06M58.00S,2021-04-14T02:57:51.1Z,2,REGULAR,block,,[],203496,,,1610612738,45,39,2021-04-14T02:57:55Z,2550000,,,0,,R. Covington BLOCK (2 BLK),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT06M58.00S,2021-04-14T02:57:51.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612757,45,39,2021-04-14T02:57:56Z,2560000,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,255.0,,,,,,,,
258,PT06M58.00S,2021-04-14T02:57:59.8Z,2,REGULAR,foul,personal,[],202684,,,1610612757,45,39,2021-04-14T02:58:05Z,2570000,,,0,,T. Thompson loose ball personal FOUL (1 PF),"[202684, 203994]",1610612738.0,BOS,loose ball,,,Thompson,T. Thompson,,,,,,,,,,,1626300.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,
260,PT06M58.00S,2021-04-14T02:58:07.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,45,39,2021-04-14T02:58:07Z,2590000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT06M58.00S,2021-04-14T03:00:00.1Z,2,REGULAR,substitution,out,[],203994,,,1610612757,45,39,2021-04-14T03:01:21Z,2600000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT06M58.00S,2021-04-14T03:00:00.1Z,2,REGULAR,substitution,out,[],1630202,,,1610612757,45,39,2021-04-14T03:01:21Z,2610000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT06M58.00S,2021-04-14T03:00:00.1Z,2,REGULAR,substitution,out,[],1628400,,,1610612757,45,39,2021-04-14T03:01:21Z,2620000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT06M58.00S,2021-04-14T03:00:00.1Z,2,REGULAR,substitution,in,[],202683,,,1610612757,45,39,2021-04-14T03:01:21Z,2630000,,,0,,SUB in: E. Kanter,[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT06M58.00S,2021-04-14T03:00:00.1Z,2,REGULAR,substitution,in,[],203935,,,1610612757,45,39,2021-04-14T03:01:21Z,2640000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT06M58.00S,2021-04-14T03:00:00.1Z,2,REGULAR,substitution,in,[],202689,,,1610612757,45,39,2021-04-14T03:01:21Z,2650000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT06M42.00S,2021-04-14T03:01:42.2Z,2,REGULAR,3pt,Jump Shot,[],203496,31.750985545335087,46.392463235294116,1610612757,45,39,2021-04-14T03:01:46Z,2660000,18.0,246.0,1,left,MISS R. Covington 24' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,24.67,Missed,,,,,,,,,,,,,,,,,,,
268,PT06M39.00S,2021-04-14T03:01:45.2Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,45,39,2021-04-14T03:01:46Z,2670000,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,267.0,5.0,5.0,0.0,,,,,
269,PT06M26.00S,2021-04-14T03:01:58.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202684,92.9862023653088,56.196384803921575,1610612738,45,39,2021-04-14T03:02:08Z,2680000,31.0,13.0,1,right,MISS T. Thompson driving bank Hook,[202684],1610612738.0,BOS,driving bank,,,Thompson,T. Thompson,,,,,3.38,Missed,,,,,,,,,,,,,,,,,,,
270,PT06M24.00S,2021-04-14T03:02:00.5Z,2,REGULAR,rebound,defensive,[],202683,,,1610612757,45,39,2021-04-14T03:02:08Z,2690000,,,0,,E. Kanter REBOUND (Off:1 Def:3),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,269.0,4.0,3.0,1.0,,,,,
271,PT06M16.00S,2021-04-14T03:02:12.8Z,2,REGULAR,violation,kicked ball,[],1628369,,,1610612757,45,39,2021-04-14T03:04:10Z,2700000,,,0,,J. Tatum kicked ball VIOLATION,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,2715.0,,,,,,,,,,,,,,
272,PT06M02.00S,2021-04-14T03:02:42.4Z,2,REGULAR,2pt,Jump Shot,[],2546,24.26084099868594,20.657169117647058,1610612757,45,39,2021-04-14T03:02:46Z,2710000,147.0,176.0,1,left,MISS C. Anthony 22' pullup Shot,[2546],1610612757.0,POR,pullup,,,Anthony,C. Anthony,,,,,22.88,Missed,,,,,,,,,,,,,,,,,,,
