actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
30,PT09M43.00S,2021-03-26T23:49:10.3Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,6,9,2021-03-26T23:49:20Z,300000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 203114]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,1.0,Middleton,203114.0,,,,,,,,,,
31,PT09M43.00S,2021-03-26T23:49:10.3Z,1,REGULAR,steal,,[],203114,,,1610612749,6,9,2021-03-26T23:49:15Z,310000,,,0,,K. Middleton STEAL (1 STL),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M35.00S,2021-03-26T23:49:18.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201572,69.99014454664915,16.00030637254902,1610612749,6,9,2021-03-26T23:49:23Z,320000,-170.0,230.0,1,right,MISS B. Lopez 28' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,Missed,,,,,28.57,,,,,,,,,
33,PT09M32.00S,2021-03-26T23:49:21.1Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,6,9,2021-03-26T23:49:23Z,330000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,32.0,2.0,2.0,0.0,,
34,PT09M24.00S,2021-03-26T23:49:33.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,6,9,2021-03-26T23:49:33Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M18.00S,2021-03-26T23:49:48.0Z,1,REGULAR,3pt,Jump Shot,[],202689,32.670827858081466,47.372855392156865,1610612738,6,12,2021-03-26T23:49:53Z,350000,13.0,255.0,1,left,K. Walker 25' 3PT  (8 PTS) (M. Smart 1 AST),"[202689, 203935]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,Made,8.0,,,,25.49,M. Smart,203935.0,1.0,,,,,,
37,PT09M17.00S,2021-03-26T23:49:57.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,6,12,2021-03-26T23:49:57Z,370000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M02.00S,2021-03-26T23:53:32.8Z,1,REGULAR,foul,personal,[],1627759,,,1610612749,6,12,2021-03-26T23:53:47Z,380000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1628978]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,1198.0,1.0,0.0,DiVincenzo,1628978.0,,,,,,,,,,,,,,,
40,PT08M59.00S,2021-03-26T23:53:54.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,92.72339027595268,49.57873774509804,1610612749,6,12,2021-03-26T23:53:59Z,400000,-2.0,16.0,1,right,MISS G. Antetokounmpo cutting Layup,[203507],1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Missed,,,,,1.6,,,,,,,,,
41,PT08M56.00S,2021-03-26T23:53:57.0Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,6,12,2021-03-26T23:53:59Z,410000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,
