actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
74,PT06M10.00S,2021-05-11T23:59:21.2Z,1,REGULAR,rebound,defensive,[],1629134,,,1610612748,11,12,2021-05-11T23:59:22Z,730000,,,0,,K. Nunn REBOUND (Off:0 Def:2),[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
75,PT06M05.00S,2021-05-11T23:59:29.0Z,1,REGULAR,foul,personal,[],202689,,,1610612748,11,12,2021-05-11T23:59:40Z,740000,,,0,,K. Walker personal FOUL (1 PF),"[202689, 1628389]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,2714.0,,1.0,0.0,Adebayo,1628389.0,,,
77,PT05M56.00S,2021-05-11T23:59:56.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,13.091327201051248,2.7650122549019605,1610612748,11,12,2021-05-12T00:00:02Z,760000,236.0,71.0,1,left,MISS D. Robinson 24' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,24.65,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M52.00S,2021-05-12T00:00:00.1Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,11,12,2021-05-12T00:09:33Z,770000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,77.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
81,PT05M47.00S,2021-05-12T00:00:05.5Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",202689,86.41590013140605,40.01991421568628,1610612738,13,12,2021-05-12T00:09:39Z,800000,-50.0,75.0,1,right,K. Walker 9' driving floating Jump Shot (2 PTS),[202689],1610612738.0,BOS,driving floating,,,Walker,K. Walker,,,,,9.02,Made,,,,,2.0,,,,,,,,,,,,,,
82,PT05M47.00S,2021-05-12T00:00:11.7Z,1,REGULAR,foul,personal,['1freethrow'],1629134,,,1610612738,13,12,2021-05-12T00:00:21Z,810000,,,0,,K. Nunn shooting personal FOUL (2 PF) (Walker 1 FT),"[1629134, 202689]",1610612748.0,MIA,shooting,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,201245.0,,2.0,0.0,Walker,202689.0,,,
84,PT05M47.00S,2021-05-12T00:00:28.7Z,1,REGULAR,substitution,out,[],1629134,,,1610612738,13,12,2021-05-12T00:01:02Z,830000,,,0,,SUB out: K. Nunn,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M47.00S,2021-05-12T00:00:28.7Z,1,REGULAR,substitution,in,[],201609,,,1610612738,13,12,2021-05-12T00:01:02Z,840000,,,0,,SUB in: G. Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M47.00S,2021-05-12T00:00:47.2Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],202689,,,1610612738,14,12,2021-05-12T00:09:39Z,850000,,,0,,K. Walker Free Throw 1 of 1 (3 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
87,PT05M29.00S,2021-05-12T00:01:07.1Z,1,REGULAR,2pt,Jump Shot,[],202710,11.12023653088042,75.3140318627451,1610612748,14,14,2021-05-12T00:01:14Z,860000,-127.0,52.0,1,left,J. Butler 13' turnaround fadeaway Jump Shot (3 PTS),[202710],1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,13.69,Made,,,,,3.0,,,,,,,,,,,,,,
