actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
269,PT02M29.00S,2021-05-12T00:37:50.8Z,2,REGULAR,substitution,out,[],1628369,,,1610612748,56,57,2021-05-12T00:39:18Z,2650000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT02M29.00S,2021-05-12T00:37:50.8Z,2,REGULAR,substitution,out,[],1630202,,,1610612748,56,57,2021-05-12T00:39:18Z,2660000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT02M29.00S,2021-05-12T00:37:50.8Z,2,REGULAR,substitution,out,[],2738,,,1610612748,56,57,2021-05-12T00:39:18Z,2670000,,,0,,SUB out: A. Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT02M29.00S,2021-05-12T00:37:50.8Z,2,REGULAR,substitution,in,[],203935,,,1610612748,56,57,2021-05-12T00:39:18Z,2680000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT02M29.00S,2021-05-12T00:37:50.8Z,2,REGULAR,substitution,in,[],1628400,,,1610612748,56,57,2021-05-12T00:39:18Z,2690000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
274,PT02M29.00S,2021-05-12T00:37:50.8Z,2,REGULAR,substitution,in,[],2772,,,1610612748,56,57,2021-05-12T00:39:18Z,2700000,,,0,,SUB in: T. Ariza,[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,,,,,,,,,,,,,,,,,,,
275,PT02M07.00S,2021-05-12T00:39:49.9Z,2,REGULAR,3pt,Jump Shot,[],1629639,10.5946123521682,2.5199142156862746,1610612748,56,57,2021-05-12T00:41:21Z,2710000,237.0,47.0,1,left,MISS T. Herro 24' step back 3PT,[1629639],1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,24.2,Missed,,,,,,,,,,,,,,,,,,,
276,PT02M02.00S,2021-05-12T00:39:54.9Z,2,REGULAR,rebound,defensive,[],202689,,,1610612738,56,57,2021-05-12T00:39:59Z,2720000,,,0,,K. Walker REBOUND (Off:0 Def:3),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,275.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
277,PT01M57.00S,2021-05-12T00:39:58.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202689,92.32917214191852,54.48069852941176,1610612738,56,57,2021-05-12T00:40:08Z,2730000,22.0,20.0,1,right,MISS K. Walker running Layup,[202689],1610612738.0,BOS,running,,,Walker,K. Walker,,,,,2.98,Missed,,,,,,,,,,,,,,,,,,,
278,PT01M55.00S,2021-05-12T00:40:00.3Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,56,57,2021-05-12T00:40:08Z,2740000,,,0,,B. Adebayo REBOUND (Off:1 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,277.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
279,PT01M42.00S,2021-05-12T00:40:14.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,5.732588699080158,51.049325980392155,1610612748,56,59,2021-05-12T00:40:21Z,2750000,-5.0,1.0,1,left,B. Adebayo cutting DUNK (15 PTS) (T. Ariza 2 AST),"[1628389, 2772]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,0.54,Made,,,,,15.0,T. Ariza,2772.0,2.0,,,,,,,,,,,
281,PT01M18.00S,2021-05-12T00:40:38.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202684,91.5407358738502,45.41207107843137,1610612738,56,59,2021-05-12T00:40:44Z,2770000,-23.0,27.0,1,right,MISS T. Thompson Layup,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,3.54,Missed,,,,,,,,,,,,,,,,,,,
282,PT01M15.00S,2021-05-12T00:40:41.3Z,2,REGULAR,rebound,offensive,[],203935,,,1610612738,56,59,2021-05-12T00:40:44Z,2780000,,,0,,M. Smart REBOUND (Off:1 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,281.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
283,PT01M13.00S,2021-05-12T00:40:42.3Z,2,REGULAR,turnover,bad pass,[],203095,,,1610612738,56,59,2021-05-12T00:40:48Z,2790000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 2772]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,1.0,,,,,Ariza,2772.0,
284,PT01M13.00S,2021-05-12T00:40:42.3Z,2,REGULAR,steal,,[],2772,,,1610612748,56,59,2021-05-12T00:40:45Z,2800000,,,0,,T. Ariza STEAL (1 STL),[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,,,,,,,,,,,,,,,,,,,
285,PT01M01.00S,2021-05-12T00:40:55.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,28.465834428383708,21.88265931372549,1610612748,56,59,2021-05-12T00:41:01Z,2810000,141.0,215.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.7,Missed,,,,,,,,,,,,,,,,,,,
286,PT00M58.40S,2021-05-12T00:40:57.8Z,2,REGULAR,rebound,defensive,[],202684,,,1610612738,56,59,2021-05-12T00:41:01Z,2820000,,,0,,T. Thompson REBOUND (Off:0 Def:3),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,285.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
287,PT00M52.70S,2021-05-12T00:41:04.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],202689,66.3107752956636,44.43167892156863,1610612738,56,59,2021-05-12T00:41:13Z,2830000,-28.0,264.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.57,Missed,,,,,,,,,,,,,,,,,,,
288,PT00M46.60S,2021-05-12T00:41:10.5Z,2,REGULAR,rebound,defensive,[],2772,,,1610612748,56,59,2021-05-12T00:41:13Z,2840000,,,0,,T. Ariza REBOUND (Off:1 Def:3),[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,287.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
289,PT00M42.30S,2021-05-12T00:41:19.3Z,2,REGULAR,timeout,full,['team'],0,,,1610612748,56,59,2021-05-12T00:41:19Z,2850000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT00M34.00S,2021-05-12T00:43:20.9Z,2,REGULAR,foul,personal,[],202684,,,1610612748,56,59,2021-05-12T00:43:31Z,2860000,,,0,,T. Thompson personal FOUL (1 PF),"[202684, 1628389]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,2714.0,,1.0,0.0,Adebayo,1628389.0,,,
292,PT00M30.50S,2021-05-12T00:43:49.4Z,2,REGULAR,3pt,Jump Shot,[],1629130,33.196452036793694,50.55912990196079,1610612748,56,62,2021-05-12T00:44:30Z,2880000,-3.0,260.0,1,left,D. Robinson 25' 3PT  (9 PTS) (B. Adebayo 1 AST),"[1629130, 1628389]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.95,Made,,,,,9.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,
294,PT00M08.40S,2021-05-12T00:44:13.9Z,2,REGULAR,3pt,Jump Shot,[],203095,68.15045992115637,73.35324754901961,1610612738,56,62,2021-05-12T00:44:44Z,2900000,117.0,247.0,1,right,MISS E. Fournier 27' step back 3PT,[203095],1610612738.0,BOS,step back,,,Fournier,E. Fournier,,,,,27.31,Missed,,,,,,,,,,,,,,,,,,,
295,PT00M05.20S,2021-05-12T00:44:17.1Z,2,REGULAR,rebound,defensive,[],1629639,,,1610612748,56,62,2021-05-12T00:44:19Z,2910000,,,0,,T. Herro REBOUND (Off:0 Def:3),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,294.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
296,PT00M01.10S,2021-05-12T00:44:21.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",2772,7.966491458607096,53.01011029411765,1610612748,56,62,2021-05-12T00:44:40Z,2920000,-15.0,22.0,1,left,MISS T. Ariza running Layup - blocked,"[2772, 203935]",1610612748.0,MIA,running,,,Ariza,T. Ariza,,,,,2.7,Missed,,,,,,,,,Smart,203935.0,,,,,,,,,
297,PT00M01.10S,2021-05-12T00:44:21.1Z,2,REGULAR,block,,[],203935,,,1610612748,56,62,2021-05-12T00:44:23Z,2930000,,,0,,M. Smart BLOCK (1 BLK),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT00M01.10S,2021-05-12T00:44:21.1Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612738,56,62,2021-05-12T00:44:40Z,2940000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,296.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
299,PT00M00.00S,2021-05-12T00:44:40.6Z,2,REGULAR,period,end,[],0,,,1610612738,56,62,2021-05-12T00:44:40Z,2950000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,PT12M00.00S,2021-05-12T01:00:16.4Z,3,REGULAR,substitution,out,['startperiod'],1628400,,,1610612738,56,62,2021-05-12T01:01:00Z,2960000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
301,PT12M00.00S,2021-05-12T01:00:16.4Z,3,REGULAR,substitution,out,['startperiod'],202710,,,1610612738,56,62,2021-05-12T01:01:00Z,2970000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
302,PT12M00.00S,2021-05-12T01:00:16.4Z,3,REGULAR,substitution,in,['startperiod'],1628369,,,1610612738,56,62,2021-05-12T01:01:00Z,2980000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
303,PT12M00.00S,2021-05-12T01:00:16.4Z,3,REGULAR,substitution,in,['startperiod'],1629134,,,1610612738,56,62,2021-05-12T01:01:00Z,2990000,,,0,,SUB in: K. Nunn,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,
304,PT12M00.00S,2021-05-12T01:00:59.5Z,3,REGULAR,period,start,[],0,,,1610612738,56,62,2021-05-12T01:01:01Z,3000000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT11M50.00S,2021-05-12T01:01:09.4Z,3,REGULAR,3pt,Jump Shot,[],202689,32.013797634691194,43.69638480392157,1610612738,56,62,2021-05-12T01:01:17Z,3010000,32.0,248.0,1,left,MISS K. Walker 25' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.04,Missed,,,,,,,,,,,,,,,,,,,
306,PT11M46.00S,2021-05-12T01:01:13.4Z,3,REGULAR,rebound,defensive,[],1629134,,,1610612748,56,62,2021-05-12T01:01:17Z,3020000,,,0,,K. Nunn REBOUND (Off:0 Def:4),[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,305.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
307,PT11M41.00S,2021-05-12T01:01:17.6Z,3,REGULAR,turnover,lost ball,[],1629134,,,1610612748,56,62,2021-05-12T01:01:21Z,3030000,,,0,,K. Nunn lost ball TURNOVER (1 TO),"[1629134, 202689]",1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,1.0,,,,,Walker,202689.0,
308,PT11M41.00S,2021-05-12T01:01:17.6Z,3,REGULAR,steal,,[],202689,,,1610612738,56,62,2021-05-12T01:01:19Z,3040000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT11M31.00S,2021-05-12T01:01:27.1Z,3,REGULAR,turnover,bad pass,[],202689,,,1610612738,56,62,2021-05-12T01:01:44Z,3050000,,,0,,K. Walker bad pass TURNOVER (1 TO),"[202689, 1629134]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,1.0,,,,,Nunn,1629134.0,
310,PT11M31.00S,2021-05-12T01:01:27.1Z,3,REGULAR,steal,,[],1629134,,,1610612748,56,62,2021-05-12T01:02:45Z,3060000,,,0,,K. Nunn STEAL (2 STL),[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT11M15.00S,2021-05-12T01:01:43.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628389,90.3580814717477,43.94148284313725,1610612748,56,62,2021-05-12T01:01:52Z,3070000,-30.0,38.0,1,right,MISS B. Adebayo driving Layup,[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,4.87,Missed,,,,,,,,,,,,,,,,,,,
312,PT11M11.00S,2021-05-12T01:01:47.9Z,3,REGULAR,rebound,offensive,[],1628389,,,1610612748,56,62,2021-05-12T01:01:52Z,3080000,,,0,,B. Adebayo REBOUND (Off:2 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,311.0,6.0,4.0,2.0,,,,,,,,,,,,,,,
313,PT11M08.00S,2021-05-12T01:01:50.9Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",2772,75.1149802890933,9.38265931372549,1610612748,56,62,2021-05-12T01:01:57Z,3090000,-203.0,181.0,1,right,MISS T. Ariza 27' 3PT,[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,27.23,Missed,,,,,,,,,,,,,,,,,,,
314,PT11M03.00S,2021-05-12T01:01:55.9Z,3,REGULAR,rebound,defensive,[],202689,,,1610612738,56,62,2021-05-12T01:01:57Z,3100000,,,0,,K. Walker REBOUND (Off:0 Def:4),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,313.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
315,PT10M54.00S,2021-05-12T01:02:03.9Z,3,REGULAR,turnover,bad pass,[],1628369,,,1610612738,56,62,2021-05-12T01:02:09Z,3110000,,,0,,J. Tatum bad pass TURNOVER (4 TO),"[1628369, 1629134]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,4.0,,,,,Nunn,1629134.0,
316,PT10M54.00S,2021-05-12T01:02:03.9Z,3,REGULAR,steal,,[],1629134,,,1610612748,56,62,2021-05-12T01:02:06Z,3120000,,,0,,K. Nunn STEAL (3 STL),[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT10M52.00S,2021-05-12T01:02:07.4Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629134,91.40932982917214,49.82383578431372,1610612748,56,64,2021-05-12T01:02:19Z,3130000,-1.0,28.0,1,right,K. Nunn running DUNK (8 PTS),[1629134],1610612748.0,MIA,running,,,Nunn,K. Nunn,,,,,2.83,Made,,,,,8.0,,,,,,,,,,,,,,
318,PT10M36.00S,2021-05-12T01:02:22.5Z,3,REGULAR,3pt,Jump Shot,[],1628369,23.209592641261498,86.34344362745098,1610612738,59,64,2021-05-12T01:02:26Z,3140000,-182.0,166.0,1,left,J. Tatum 24' 3PT  (14 PTS) (E. Fournier 7 AST),"[1628369, 203095]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.59,Made,,,,,14.0,E. Fournier,203095.0,7.0,,,,,,,,,,,
320,PT10M13.00S,2021-05-12T01:02:45.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,81.8166885676741,47.127757352941174,1610612748,59,64,2021-05-12T01:02:53Z,3160000,-14.0,118.0,1,right,MISS B. Adebayo 11' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,11.93,Missed,,,,,,,,,,,,,,,,,,,
321,PT10M09.00S,2021-05-12T01:02:49.0Z,3,REGULAR,rebound,defensive,[],203095,,,1610612738,59,64,2021-05-12T01:02:53Z,3170000,,,0,,E. Fournier REBOUND (Off:0 Def:3),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,320.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
322,PT10M04.00S,2021-05-12T01:02:56.9Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,59,64,2021-05-12T01:02:56Z,3180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT09M49.00S,2021-05-12T01:03:24.2Z,3,REGULAR,3pt,Jump Shot,[],203095,28.465834428383708,75.55912990196079,1610612738,59,64,2021-05-12T01:03:29Z,3190000,-128.0,215.0,1,left,MISS E. Fournier 25' 3PT,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,25.02,Missed,,,,,,,,,,,,,,,,,,,
324,PT09M46.00S,2021-05-12T01:03:27.2Z,3,REGULAR,rebound,defensive,[],1629134,,,1610612748,59,64,2021-05-12T01:03:29Z,3200000,,,0,,K. Nunn REBOUND (Off:0 Def:5),[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,323.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
325,PT09M36.00S,2021-05-12T01:03:36.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629134,92.85479632063075,42.96109068627451,1610612748,59,66,2021-05-12T01:03:43Z,3210000,-35.0,15.0,1,right,K. Nunn cutting finger roll Layup (10 PTS) (D. Robinson 1 AST),"[1629134, 1629130]",1610612748.0,MIA,cutting finger roll,,,Nunn,K. Nunn,,,,,3.81,Made,,,,,10.0,D. Robinson,1629130.0,1.0,,,,,,,,,,,
327,PT09M22.00S,2021-05-12T01:03:50.5Z,3,REGULAR,3pt,Jump Shot,[],203935,32.53942181340342,61.34344362745098,1610612738,62,66,2021-05-12T01:03:55Z,3230000,-57.0,253.0,1,left,M. Smart 25' 3PT  (10 PTS) (J. Tatum 3 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.97,Made,,,,,10.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,
329,PT09M08.00S,2021-05-12T01:04:10.1Z,3,REGULAR,foul,personal,[],203935,,,1610612748,62,66,2021-05-12T01:04:19Z,3250000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 1629130]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,201245.0,,1.0,0.0,Robinson,1629130.0,,,
331,PT09M07.00S,2021-05-12T01:04:32.5Z,3,REGULAR,foul,personal,[],202684,,,1610612748,62,66,2021-05-12T01:13:03Z,3270000,,,0,,T. Thompson personal FOUL (2 PF),"[202684, 1629134]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,201638.0,,2.0,0.0,Nunn,1629134.0,,,
333,PT09M07.00S,2021-05-12T01:05:12.0Z,3,REGULAR,instantreplay,request,[],0,,,1610612748,62,66,2021-05-12T01:06:32Z,3290000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,2714.0,,,,,,,,Off-Ball - Foul Occurred After Inbounds
338,PT08M59.00S,2021-05-12T01:07:04.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,92.9862023653088,43.451286764705884,1610612748,62,68,2021-05-12T01:07:08Z,3300000,-33.0,13.0,1,right,B. Adebayo driving Layup (17 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,3.53,Made,,,,,17.0,,,,,,,,,,,,,,
339,PT08M49.00S,2021-05-12T01:07:15.1Z,3,REGULAR,turnover,lost ball,[],202684,,,1610612738,62,68,2021-05-12T01:07:20Z,3310000,,,0,,T. Thompson lost ball TURNOVER (1 TO),"[202684, 1629639]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,1.0,,,,,Herro,1629639.0,
340,PT08M49.00S,2021-05-12T01:07:15.1Z,3,REGULAR,steal,,[],1629639,,,1610612748,62,68,2021-05-12T01:07:17Z,3320000,,,0,,T. Herro STEAL (1 STL),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
341,PT08M35.00S,2021-05-12T01:07:32.4Z,3,REGULAR,foul,personal,[],203095,,,1610612748,62,68,2021-05-12T01:07:41Z,3330000,,,0,,E. Fournier personal FOUL (1 PF),"[203095, 1628389]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,201245.0,,1.0,0.0,Adebayo,1628389.0,,,
343,PT08M26.00S,2021-05-12T01:07:58.3Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1629134,72.09264126149803,16.980698529411764,1610612748,62,68,2021-05-12T01:08:04Z,3350000,-165.0,210.0,1,right,MISS K. Nunn 26' 3PT,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,26.7,Missed,,,,,,,,,,,,,,,,,,,
344,PT08M23.00S,2021-05-12T01:08:01.3Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,62,68,2021-05-12T01:08:04Z,3360000,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,343.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
345,PT08M14.00S,2021-05-12T01:08:09.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],202689,6.915243101182654,53.50030637254902,1610612738,64,68,2021-05-12T01:08:20Z,3370000,-18.0,13.0,1,left,K. Walker driving finger roll Layup (19 PTS) (J. Tatum 4 AST),"[202689, 1628369]",1610612738.0,BOS,driving finger roll,,,Walker,K. Walker,,,,,2.15,Made,,,,,19.0,J. Tatum,1628369.0,4.0,,,,,,,,,,,
347,PT07M54.00S,2021-05-12T01:08:29.6Z,3,REGULAR,3pt,Jump Shot,[],1629130,70.64717477003943,75.55912990196079,1610612748,64,68,2021-05-12T01:08:35Z,3390000,128.0,223.0,1,right,MISS D. Robinson 25' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,,
348,PT07M52.00S,2021-05-12T01:08:31.6Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,64,68,2021-05-12T01:08:35Z,3400000,,,0,,J. Tatum REBOUND (Off:0 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,347.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
349,PT07M48.00S,2021-05-12T01:08:36.0Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,31.61957950065703,44.43167892156863,1610612738,67,68,2021-05-12T01:08:42Z,3410000,28.0,245.0,1,left,J. Tatum 24' 3PT running pullup (17 PTS),[1628369],1610612738.0,BOS,running pullup,,,Tatum,J. Tatum,,,,,24.63,Made,,,,,17.0,,,,,,,,,,,,,,
350,PT07M28.00S,2021-05-12T01:08:57.7Z,3,REGULAR,foul,personal,['2freethrow'],202684,,,1610612748,67,68,2021-05-12T01:09:08Z,3420000,,,0,,T. Thompson shooting personal FOUL (3 PF) (Adebayo 2 FT),"[202684, 1628389]",1610612738.0,BOS,shooting,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,201638.0,,3.0,0.0,Adebayo,1628389.0,,,
352,PT07M28.00S,2021-05-12T01:09:30.5Z,3,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,67,69,2021-05-12T01:09:30Z,3440000,,,0,,B. Adebayo Free Throw 1 of 2 (18 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,18.0,,,,,,,,,,,,,,
353,PT07M28.00S,2021-05-12T01:09:30.5Z,3,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,67,69,2021-05-12T01:09:55Z,3450000,,,0,,MISS B. Adebayo Free Throw 2 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
354,PT07M26.00S,2021-05-12T01:09:32.5Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,67,69,2021-05-12T01:09:55Z,3460000,,,0,,J. Tatum REBOUND (Off:0 Def:7),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,353.0,7.0,7.0,0.0,,,,,,,,,,,,,,,
355,PT07M22.00S,2021-05-12T01:09:57.9Z,3,REGULAR,foul,personal,[],2772,,,1610612738,67,69,2021-05-12T01:10:07Z,3470000,,,0,,T. Ariza personal FOUL (2 PF),"[2772, 203935]",1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,,,,,,,,,,,201245.0,,2.0,0.0,Smart,203935.0,,,
357,PT07M07.00S,2021-05-12T01:10:29.5Z,3,REGULAR,3pt,Jump Shot,[],203935,30.305519053876477,20.657169117647058,1610612738,67,69,2021-05-12T01:10:39Z,3490000,147.0,232.0,1,left,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.48,Missed,,,,,,,,,,,,,,,,,,,
358,PT07M03.00S,2021-05-12T01:10:33.5Z,3,REGULAR,rebound,defensive,[],1629639,,,1610612748,67,69,2021-05-12T01:10:39Z,3500000,,,0,,T. Herro REBOUND (Off:0 Def:4),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,357.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
359,PT06M55.00S,2021-05-12T01:10:42.7Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203095,,,1610612748,67,69,2021-05-12T01:14:10Z,3510000,,,0,,E. Fournier personal FOUL (2 PF) (Robinson 2 FT),"[203095, 1629130]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,201245.0,,2.0,0.0,Robinson,1629130.0,,,
361,PT06M55.00S,2021-05-12T01:10:55.6Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,67,69,2021-05-12T01:10:55Z,3530000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
