actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
44,PT07M26.00S,2021-05-09T17:22:10.4Z,1,REGULAR,3pt,Jump Shot,[],2772,5.387647831800263,97.15073529411765,1610612748,8,9,2021-05-09T17:22:18Z,440000,-236.0,-2.0,1,left,MISS T. Ariza 3PT,[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,23.58,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M23.00S,2021-05-09T17:22:13.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,8,9,2021-05-09T17:22:18Z,450000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
46,PT07M11.00S,2021-05-09T17:22:25.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,92.06636005256242,2.5199142156862746,1610612738,8,9,2021-05-09T17:22:32Z,460000,-237.0,22.0,1,right,MISS J. Tatum step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,23.84,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M08.00S,2021-05-09T17:22:28.5Z,1,REGULAR,rebound,defensive,[],1629134,,,1610612748,8,9,2021-05-09T17:22:32Z,470000,,,0,,K. Nunn REBOUND (Off:0 Def:1),[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
48,PT07M05.00S,2021-05-09T17:22:31.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629130,26.757555847568987,18.206188725490197,1610612748,8,12,2021-05-09T17:23:02Z,480000,159.0,199.0,1,left,D. Robinson 25' 3PT running pullup (5 PTS) (K. Nunn 1 AST),"[1629130, 1629134]",1610612748.0,MIA,running pullup,,,Robinson,D. Robinson,,,,,25.47,Made,,,,,,,,,,,,,5.0,K. Nunn,1629134.0,1.0,,,
50,PT06M45.00S,2021-05-09T17:22:52.2Z,1,REGULAR,turnover,lost ball,[],202689,,,1610612738,8,12,2021-05-09T17:22:56Z,500000,,,0,,K. Walker lost ball TURNOVER (1 TO),"[202689, 2772]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,1.0,Ariza,2772.0,,,,,,,,,,,,
51,PT06M45.00S,2021-05-09T17:22:52.2Z,1,REGULAR,steal,,[],2772,,,1610612748,8,12,2021-05-09T17:22:54Z,510000,,,0,,T. Ariza STEAL (1 STL),[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M40.00S,2021-05-09T17:22:56.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629130,6.389618922470433,44.921875,1610612748,8,12,2021-05-09T17:23:09Z,520000,25.0,8.0,1,left,MISS D. Robinson running Layup - blocked,"[1629130, 1628369]",1610612748.0,MIA,running,,,Robinson,D. Robinson,,,,,2.65,Missed,,,,,,,,,,,,,,,,,Tatum,1628369.0,
53,PT06M40.00S,2021-05-09T17:22:56.7Z,1,REGULAR,block,,[],1628369,,,1610612748,8,12,2021-05-09T17:24:21Z,530000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M38.00S,2021-05-09T17:22:58.7Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,8,12,2021-05-09T17:23:09Z,540000,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
