actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
45,PT07M12.00S,2021-04-25T17:25:19.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626179,9.674770039421814,95.65716911764706,1610612766,21,8,2021-04-25T17:27:32Z,440000,-228.0,38.0,1,left,T. Rozier 3PT pullup (5 PTS) (D. Graham 1 AST),"[1626179, 1628984]",1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,23.15,Made,5.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,,,,
47,PT07M00.00S,2021-04-25T17:25:35.0Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,21,8,2021-04-25T17:25:43Z,460000,,,0,,M. Smart bad pass out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,bad pass,,,Smart,M. Smart,,,,,,,,,,,,,,,,,200833.0,,,,,1.0,,,
48,PT06M46.00S,2021-04-25T17:25:58.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628998,5.601182654402102,50.80422794117647,1610612766,23,8,2021-04-25T17:26:04Z,470000,-4.0,0.0,1,left,C. Martin cutting DUNK (7 PTS) (D. Graham 2 AST),"[1628998, 1628984]",1610612766.0,CHA,cutting,,,Martin,C. Martin,,,,,0.4,Made,7.0,D. Graham,1628984.0,2.0,,,,,,,,,,,,,,,
50,PT06M28.00S,2021-04-25T17:26:16.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,94.69448094612353,3.7454044117647056,1610612738,23,8,2021-04-25T17:26:22Z,490000,-231.0,-3.0,1,right,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,23.13,Missed,,,,,,,,,,,,,,,,,,,
51,PT06M25.00S,2021-04-25T17:26:18.7Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,23,8,2021-04-25T17:26:18Z,500000,,,0,,T. Thompson REBOUND (Off:1 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,50.0,1.0,0.0,1.0,,,,,,,,,
52,PT06M24.00S,2021-04-25T17:26:20.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,92.59198423127464,50.80422794117647,1610612738,23,10,2021-04-25T17:28:38Z,510000,4.0,17.0,1,right,T. Thompson putback Layup (5 PTS),[202684],1610612738.0,BOS,putback,,,Thompson,T. Thompson,,,,,1.76,Made,5.0,,,,,,,,,,,,,,,,,,
53,PT06M12.00S,2021-04-25T17:26:31.5Z,1,REGULAR,3pt,Jump Shot,[],1628984,23.603810775295663,10.117953431372548,1610612766,23,10,2021-04-25T17:30:01Z,520000,199.0,169.0,1,left,MISS D. Graham 26' pullup 3PT,[1628984],1610612766.0,CHA,pullup,,,Graham,D. Graham,,,,,26.16,Missed,,,,,,,,,,,,,,,,,,,
54,PT06M08.00S,2021-04-25T17:26:35.5Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,23,10,2021-04-25T17:26:40Z,530000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,
55,PT06M04.00S,2021-04-25T17:26:39.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202684,92.06636005256242,49.82383578431372,1610612738,23,10,2021-04-25T17:26:45Z,540000,-1.0,22.0,1,right,MISS T. Thompson Layup - blocked,"[202684, 1628998]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,2.21,Missed,,,,,Martin,1628998.0,,,,,,,,,,,,,
56,PT06M04.00S,2021-04-25T17:26:39.3Z,1,REGULAR,block,,[],1628998,,,1610612738,23,10,2021-04-25T17:26:41Z,550000,,,0,,C. Martin BLOCK (2 BLK),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT05M59.00S,2021-04-25T17:26:44.3Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,23,10,2021-04-25T17:26:45Z,560000,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,55.0,2.0,1.0,1.0,,,,,,,,,
58,PT05M59.00S,2021-04-25T17:26:44.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,94.40999984741211,50.0,1610612738,23,12,2021-04-25T17:26:44Z,570000,0.0,0.0,1,right,J. Tatum putback Layup (4 PTS),[1628369],1610612738.0,BOS,putback,,,Tatum,J. Tatum,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,,
