actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
63,PT05M36.00S,2021-05-16T17:26:47.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628436,94.1688567674113,47.61795343137255,1610612738,13,12,2021-05-16T17:26:57Z,630000,-12.0,2.0,1,right,L. Kornet cutting DUNK (2 PTS) (A. Nesmith 1 AST),"[1628436, 1630174]",1610612738.0,BOS,cutting,,,Kornet,L. Kornet,,,,,1.21,Made,,,,,,,2.0,A. Nesmith,1630174.0,1.0,,,,,,,,,
65,PT05M18.00S,2021-05-16T17:27:04.4Z,1,REGULAR,3pt,Jump Shot,[],203493,5.995400788436268,2.5199142156862746,1610612752,16,12,2021-05-16T17:27:08Z,650000,237.0,4.0,1,left,R. Bullock 3PT  (6 PTS) (E. Payton 1 AST),"[203493, 203901]",1610612752.0,NYK,,,,Bullock,R. Bullock,,,,,23.74,Made,,,,,,,6.0,E. Payton,203901.0,1.0,,,,,,,,,
67,PT05M05.00S,2021-05-16T17:27:17.1Z,1,REGULAR,3pt,Jump Shot,[],1630202,72.88107752956637,15.019914215686276,1610612738,16,15,2021-05-16T17:27:22Z,670000,-175.0,202.0,1,right,P. Pritchard 26' 3PT  (6 PTS) (G. Williams 2 AST),"[1630202, 1629684]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,26.75,Made,,,,,,,6.0,G. Williams,1629684.0,2.0,,,,,,,,,
69,PT04M52.00S,2021-05-16T17:27:37.7Z,1,REGULAR,foul,personal,[],1628436,,,1610612752,16,15,2021-05-16T17:27:43Z,690000,,,0,,L. Kornet personal FOUL (1 PF),"[1628436, 203493]",1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Bullock,203493.0,
71,PT04M52.00S,2021-05-16T17:27:37.8Z,1,REGULAR,substitution,out,[],203457,,,1610612752,16,15,2021-05-16T17:27:56Z,710000,,,0,,SUB out: N. Noel,[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M52.00S,2021-05-16T17:27:37.8Z,1,REGULAR,substitution,out,[],203901,,,1610612752,16,15,2021-05-16T17:27:56Z,720000,,,0,,SUB out: E. Payton,[203901],1610612752.0,NYK,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M52.00S,2021-05-16T17:27:37.8Z,1,REGULAR,substitution,out,[],1628436,,,1610612752,16,15,2021-05-16T17:27:56Z,730000,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M52.00S,2021-05-16T17:27:37.8Z,1,REGULAR,substitution,in,[],201565,,,1610612752,16,15,2021-05-16T17:27:56Z,740000,,,0,,SUB in: D. Rose,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M52.00S,2021-05-16T17:27:37.8Z,1,REGULAR,substitution,in,[],201959,,,1610612752,16,15,2021-05-16T17:27:56Z,750000,,,0,,SUB in: T. Gibson,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M52.00S,2021-05-16T17:27:37.8Z,1,REGULAR,substitution,in,[],1629605,,,1610612752,16,15,2021-05-16T17:27:56Z,760000,,,0,,SUB in: T. Fall,[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,,
