actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
88,PT04M15.00S,2021-04-11T19:22:45.1Z,1,REGULAR,substitution,in,[],1628408,,,1610612738,19,9,2021-04-11T19:22:59Z,880000,,,0,,SUB in: P. Dozier,[1628408],1610612743.0,DEN,,,,Dozier,P. Dozier,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M04.00S,2021-04-11T19:23:19.3Z,1,REGULAR,foul,personal,['2freethrow'],1628408,,,1610612738,19,9,2021-04-11T19:23:36Z,890000,,,0,,P. Dozier shooting personal FOUL (1 PF) (Smart 2 FT),"[1628408, 203935]",1610612743.0,DEN,shooting,,,Dozier,P. Dozier,,,,,,,,,,,2715.0,1.0,0.0,Smart,203935.0,,,,,,,,,,
91,PT04M04.00S,2021-04-11T19:23:35.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,19,9,2021-04-11T19:23:35Z,910000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M04.00S,2021-04-11T19:25:52.7Z,1,REGULAR,substitution,out,[],203932,,,1610612738,19,9,2021-04-11T19:26:17Z,920000,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M04.00S,2021-04-11T19:25:52.7Z,1,REGULAR,substitution,in,[],203210,,,1610612738,19,9,2021-04-11T19:26:17Z,930000,,,0,,SUB in: J. Green,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M04.00S,2021-04-11T19:26:34.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203935,,,1610612738,19,9,2021-04-11T19:26:34Z,940000,,,0,,MISS M. Smart Free Throw 1 of 2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Missed,,,,,,,,,,,,,,,,,,,
95,PT04M04.00S,2021-04-11T19:26:34.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,19,9,2021-04-11T19:26:34Z,950000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,
96,PT04M04.00S,2021-04-11T19:26:47.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203935,,,1610612738,19,10,2021-04-11T19:26:47Z,960000,,,0,,M. Smart Free Throw 2 of 2 (4 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,,,,,,4.0,,,,,,,,,
97,PT03M51.00S,2021-04-11T19:27:02.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,6.915243101182654,55.951286764705884,1610612743,19,10,2021-04-11T19:27:10Z,970000,-30.0,13.0,1,left,MISS M. Porter Jr. turnaround Shot - blocked,"[1629008, 202684]",1610612743.0,DEN,turnaround,,,Porter Jr.,M. Porter Jr.,,,,,3.23,Missed,,,,,,,,,,,,,,Thompson,202684.0,,,,
98,PT03M51.00S,2021-04-11T19:27:02.4Z,1,REGULAR,block,,[],202684,,,1610612743,19,10,2021-04-11T19:27:04Z,980000,,,0,,T. Thompson BLOCK (1 BLK),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M48.00S,2021-04-11T19:27:05.4Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,19,10,2021-04-11T19:27:10Z,990000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,97.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
100,PT03M42.00S,2021-04-11T19:27:11.2Z,1,REGULAR,2pt,Jump Shot,[],1629641,89.83245729303549,18.941482843137255,1610612738,19,10,2021-04-11T19:27:25Z,1000000,-155.0,43.0,1,right,MISS R. Langford 16' bank Shot,[1629641],1610612738.0,BOS,bank,,,Langford,R. Langford,,,,,16.12,Missed,,,,,,,,,,,,,,,,,,,
101,PT03M37.00S,2021-04-11T19:27:15.8Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,19,10,2021-04-11T19:27:15Z,1010000,,,0,,T. Thompson REBOUND (Off:1 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,100.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
102,PT03M37.00S,2021-04-11T19:27:15.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,94.40999984741211,50.0,1610612738,19,10,2021-04-11T19:27:15Z,1020000,0.0,0.0,1,right,MISS T. Thompson tip Layup,[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
103,PT03M37.00S,2021-04-11T19:27:16.4Z,1,REGULAR,rebound,defensive,[],203210,,,1610612743,19,10,2021-04-11T19:27:16Z,1030000,,,0,,J. Green REBOUND (Off:0 Def:1),[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,102.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
104,PT03M29.00S,2021-04-11T19:27:23.5Z,1,REGULAR,3pt,Jump Shot,[],1628408,18.084756898817346,93.94148284313727,1610612743,22,10,2021-04-11T19:27:29Z,1040000,-220.0,117.0,1,left,P. Dozier 24' 3PT  (3 PTS) (N. Jokic 5 AST),"[1628408, 203999]",1610612743.0,DEN,,,,Dozier,P. Dozier,,,,,24.91,Made,,,,,,,,,,3.0,N. Jokic,203999.0,5.0,,,,,,
106,PT03M13.00S,2021-04-11T19:27:39.2Z,1,REGULAR,3pt,Jump Shot,[],1629684,72.61826544021025,81.44148284313727,1610612738,22,10,2021-04-11T19:27:44Z,1060000,157.0,205.0,1,right,MISS G. Williams 25' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,,
107,PT03M11.00S,2021-04-11T19:27:41.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,22,10,2021-04-11T19:27:44Z,1070000,,,0,,N. Jokic REBOUND (Off:0 Def:5),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,106.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
108,PT03M06.00S,2021-04-11T19:27:47.3Z,1,REGULAR,3pt,Jump Shot,[],1629008,28.465834428383708,18.941482843137255,1610612743,22,10,2021-04-11T19:27:53Z,1080000,155.0,215.0,1,left,MISS M. Porter Jr. 26' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,26.53,Missed,,,,,,,,,,,,,,,,,,,
109,PT03M03.00S,2021-04-11T19:27:50.3Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,22,10,2021-04-11T19:27:53Z,1090000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,108.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
110,PT03M00.00S,2021-04-11T19:27:54.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,92.85479632063075,46.14736519607843,1610612738,22,12,2021-04-11T19:28:02Z,1100000,-19.0,15.0,1,right,R. Langford running Layup (2 PTS) (K. Walker 2 AST),"[1629641, 202689]",1610612738.0,BOS,running,,,Langford,R. Langford,,,,,2.43,Made,,,,,,,,,,2.0,K. Walker,202689.0,2.0,,,,,,
112,PT03M00.00S,2021-04-11T19:27:56.5Z,1,REGULAR,foul,personal,['1freethrow'],203210,,,1610612738,22,12,2021-04-11T19:28:04Z,1120000,,,0,,J. Green shooting personal FOUL (1 PF) (Langford 1 FT),"[203210, 1629641]",1610612743.0,DEN,shooting,,,Green,J. Green,,,,,,,,,,,201245.0,1.0,0.0,Langford,1629641.0,,,,,,,,,,
114,PT03M00.00S,2021-04-11T19:28:19.7Z,1,REGULAR,substitution,out,[],202689,,,1610612738,22,12,2021-04-11T19:29:27Z,1140000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M00.00S,2021-04-11T19:28:19.7Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,22,12,2021-04-11T19:29:27Z,1150000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M00.00S,2021-04-11T19:28:28.1Z,1,REGULAR,substitution,out,[],1629008,,,1610612738,22,12,2021-04-11T19:29:27Z,1160000,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M00.00S,2021-04-11T19:28:28.1Z,1,REGULAR,substitution,in,[],1630192,,,1610612738,22,12,2021-04-11T19:29:27Z,1170000,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M00.00S,2021-04-11T19:28:50.3Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1629641,,,1610612738,22,13,2021-04-11T19:28:50Z,1180000,,,0,,R. Langford Free Throw 1 of 1 (3 PTS),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
119,PT02M44.00S,2021-04-11T19:29:10.4Z,1,REGULAR,foul,personal,[],203935,,,1610612743,22,13,2021-04-11T19:29:27Z,1190000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 203999]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,1363.0,1.0,0.0,Jokic,203999.0,,,,,,,,,,
121,PT02M35.00S,2021-04-11T19:29:36.6Z,1,REGULAR,3pt,Jump Shot,[],203210,24.26084099868594,12.323835784313726,1610612743,25,13,2021-04-11T19:29:40Z,1210000,188.0,176.0,1,left,J. Green 25' 3PT  (3 PTS) (M. Morris 1 AST),"[203210, 1628420]",1610612743.0,DEN,,,,Green,J. Green,,,,,25.75,Made,,,,,,,,,,3.0,M. Morris,1628420.0,1.0,,,,,,
123,PT02M25.00S,2021-04-11T19:29:49.0Z,1,REGULAR,foul,personal,[],203210,,,1610612738,25,13,2021-04-11T19:29:59Z,1230000,,,0,,J. Green personal FOUL (2 PF),"[203210, 203935]",1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,2715.0,2.0,0.0,Smart,203935.0,,,,,,,,,,
125,PT02M25.00S,2021-04-11T19:29:55.5Z,1,REGULAR,substitution,out,[],203999,,,1610612738,25,13,2021-04-11T19:30:00Z,1250000,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M25.00S,2021-04-11T19:29:55.5Z,1,REGULAR,substitution,in,[],200794,,,1610612738,25,13,2021-04-11T19:30:00Z,1260000,,,0,,SUB in: P. Millsap,[200794],1610612743.0,DEN,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M17.00S,2021-04-11T19:30:19.4Z,1,REGULAR,2pt,Jump Shot,[],203935,89.96386333771353,78.25520833333334,1610612738,25,13,2021-04-11T19:30:25Z,1270000,141.0,42.0,1,right,MISS M. Smart 14' Jump Shot,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,14.74,Missed,,,,,,,,,,,,,,,,,,,
128,PT02M14.00S,2021-04-11T19:30:22.4Z,1,REGULAR,rebound,defensive,[],1630192,,,1610612743,25,13,2021-04-11T19:30:25Z,1280000,,,0,,Z. Nnaji REBOUND (Off:0 Def:1),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,127.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
129,PT01M59.00S,2021-04-11T19:30:39.7Z,1,REGULAR,foul,personal,[],203935,,,1610612743,25,13,2021-04-11T19:31:01Z,1290000,,,0,,M. Smart personal FOUL (2 PF),"[203935, 1628408]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,1363.0,2.0,0.0,Dozier,1628408.0,,,,,,,,,,
131,PT01M59.00S,2021-04-11T19:30:48.6Z,1,REGULAR,substitution,out,[],1629684,,,1610612743,25,13,2021-04-11T19:30:58Z,1310000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M59.00S,2021-04-11T19:30:48.6Z,1,REGULAR,substitution,out,[],203935,,,1610612743,25,13,2021-04-11T19:30:58Z,1320000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M59.00S,2021-04-11T19:30:48.6Z,1,REGULAR,substitution,in,[],1627759,,,1610612743,25,13,2021-04-11T19:30:58Z,1330000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M59.00S,2021-04-11T19:30:48.6Z,1,REGULAR,substitution,in,[],1628369,,,1610612743,25,13,2021-04-11T19:30:58Z,1340000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M53.00S,2021-04-11T19:31:13.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200794,14.273981603153747,45.90226715686275,1610612743,27,13,2021-04-11T19:31:20Z,1350000,20.0,82.0,1,left,P. Millsap 8' floating Jump Shot (2 PTS) (M. Morris 2 AST),"[200794, 1628420]",1610612743.0,DEN,floating,,,Millsap,P. Millsap,,,,,8.42,Made,,,,,,,,,,2.0,M. Morris,1628420.0,2.0,,,,,,
137,PT01M26.00S,2021-04-11T19:31:38.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,87.72996057818659,46.63756127450981,1610612738,27,15,2021-04-11T19:31:45Z,1370000,-17.0,63.0,1,right,T. Thompson 6' Hook (4 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,6.5,Made,,,,,,,,,,4.0,,,,,,,,,
138,PT01M03.00S,2021-04-11T19:32:02.3Z,1,REGULAR,3pt,Jump Shot,[],1630192,31.35676741130092,36.34344362745098,1610612743,27,15,2021-04-11T19:32:09Z,1380000,68.0,242.0,1,left,MISS Z. Nnaji 25' 3PT,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,,
139,PT00M59.20S,2021-04-11T19:32:06.1Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612738,27,15,2021-04-11T19:32:09Z,1390000,,,0,,R. Langford REBOUND (Off:1 Def:1),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,138.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
140,PT00M48.20S,2021-04-11T19:32:18.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,85.62746386333771,51.294424019607845,1610612738,27,15,2021-04-11T19:32:48Z,1400000,6.0,83.0,1,right,MISS P. Pritchard 8' floating Shot,[1630202],1610612738.0,BOS,floating,,,Pritchard,P. Pritchard,,,,,8.29,Missed,,,,,,,,,,,,,,,,,,,
141,PT00M47.50S,2021-04-11T19:32:19.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,27,15,2021-04-11T19:32:48Z,1410000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,
142,PT00M47.50S,2021-04-11T19:32:33.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630192,,,1610612738,27,15,2021-04-11T19:32:44Z,1420000,,,0,,Z. Nnaji loose ball personal FOUL (1 PF) (Thompson 2 FT),"[1630192, 202684]",1610612743.0,DEN,loose ball,,,Nnaji,Z. Nnaji,,,,,,,,,,,1363.0,1.0,0.0,Thompson,202684.0,,,,,,,,,,
144,PT00M47.50S,2021-04-11T19:32:54.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202684,,,1610612738,27,15,2021-04-11T19:32:54Z,1440000,,,0,,MISS T. Thompson Free Throw 1 of 2,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
145,PT00M47.50S,2021-04-11T19:32:54.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,27,15,2021-04-11T19:32:54Z,1450000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,144.0,,,,,,,,,,,,,,,,,,
146,PT00M47.50S,2021-04-11T19:33:14.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202684,,,1610612738,27,16,2021-04-11T19:33:14Z,1460000,,,0,,T. Thompson Free Throw 2 of 2 (5 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Made,,,,,,,,,,5.0,,,,,,,,,
147,PT00M36.20S,2021-04-11T19:33:29.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200794,9.149145860709593,46.14736519607843,1610612743,27,16,2021-04-11T19:33:36Z,1470000,19.0,34.0,1,left,MISS P. Millsap driving floating bank Shot,[200794],1610612743.0,DEN,driving floating bank,,,Millsap,P. Millsap,,,,,3.87,Missed,,,,,,,,,,,,,,,,,,,
148,PT00M33.90S,2021-04-11T19:33:31.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,27,16,2021-04-11T19:33:36Z,1480000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,147.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
149,PT00M28.50S,2021-04-11T19:33:41.7Z,1,REGULAR,foul,offensive,[],202684,,,1610612738,27,16,2021-04-11T19:34:02Z,1490000,,,0,,T. Thompson offensive FOUL (1 PF),"[202684, 1630192]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,2715.0,1.0,0.0,Nnaji,1630192.0,,,,,,,,,,
151,PT00M28.50S,2021-04-11T19:33:41.7Z,1,REGULAR,turnover,offensive foul,[],202684,,,1610612738,27,16,2021-04-11T19:33:41Z,1510000,,,0,,T. Thompson offensive foul TURNOVER (1 TO),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,2715.0,,,,,,,,,,,1.0,,,
152,PT00M28.50S,2021-04-11T19:33:49.7Z,1,REGULAR,substitution,out,[],1630192,,,1610612743,27,16,2021-04-11T19:33:52Z,1520000,,,0,,SUB out: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M28.50S,2021-04-11T19:33:49.7Z,1,REGULAR,substitution,in,[],1629008,,,1610612743,27,16,2021-04-11T19:33:52Z,1530000,,,0,,SUB in: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M09.00S,2021-04-11T19:34:24.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628420,17.95335085413929,20.902267156862745,1610612743,27,16,2021-04-11T19:34:30Z,1540000,145.0,116.0,1,left,MISS M. Morris 18' pullup Shot,[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,18.63,Missed,,,,,,,,,,,,,,,,,,,
155,PT00M05.80S,2021-04-11T19:34:27.3Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612738,27,16,2021-04-11T19:34:27Z,1550000,,,0,,R. Langford REBOUND (Off:1 Def:2),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,154.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
156,PT00M05.50S,2021-04-11T19:34:29.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,27,16,2021-04-11T19:34:29Z,1560000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M05.50S,2021-04-11T19:34:33.0Z,1,REGULAR,substitution,out,[],203210,,,1610612738,27,16,2021-04-11T19:34:48Z,1570000,,,0,,SUB out: J. Green,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M05.50S,2021-04-11T19:34:33.0Z,1,REGULAR,substitution,out,[],1629008,,,1610612738,27,16,2021-04-11T19:34:48Z,1580000,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M05.50S,2021-04-11T19:34:33.0Z,1,REGULAR,substitution,out,[],1629641,,,1610612738,27,16,2021-04-11T19:34:48Z,1590000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M05.50S,2021-04-11T19:34:33.0Z,1,REGULAR,substitution,in,[],1630192,,,1610612738,27,16,2021-04-11T19:34:48Z,1600000,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M05.50S,2021-04-11T19:34:33.0Z,1,REGULAR,substitution,in,[],1630267,,,1610612738,27,16,2021-04-11T19:34:48Z,1610000,,,0,,SUB in: F. Campazzo,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M05.50S,2021-04-11T19:34:33.0Z,1,REGULAR,substitution,in,[],202689,,,1610612738,27,16,2021-04-11T19:34:48Z,1620000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT00M00.90S,2021-04-11T19:34:59.6Z,1,REGULAR,2pt,Jump Shot,[],1627759,89.30683311432325,78.99050245098039,1610612738,27,16,2021-04-11T19:35:35Z,1630000,145.0,48.0,1,right,MISS J. Brown 15' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,15.27,Missed,,,,,,,,,,,,,,,,,,,
164,PT00M00.90S,2021-04-11T19:34:59.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,27,16,2021-04-11T19:35:35Z,1640000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,163.0,,,,,,,,,,,,,,,,,,
165,PT00M00.00S,2021-04-11T19:35:07.6Z,1,REGULAR,period,end,[],0,,,1610612738,27,16,2021-04-11T19:35:07Z,1650000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-04-11T19:37:08.3Z,2,REGULAR,substitution,out,['startperiod'],1630267,,,1610612738,27,16,2021-04-11T19:37:39Z,1660000,,,0,,SUB out: F. Campazzo,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-04-11T19:37:08.3Z,2,REGULAR,substitution,out,['startperiod'],202684,,,1610612738,27,16,2021-04-11T19:37:39Z,1670000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-04-11T19:37:08.3Z,2,REGULAR,substitution,out,['startperiod'],202689,,,1610612738,27,16,2021-04-11T19:37:39Z,1680000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2021-04-11T19:37:08.3Z,2,REGULAR,substitution,in,['startperiod'],203210,,,1610612738,27,16,2021-04-11T19:37:39Z,1690000,,,0,,SUB in: J. Green,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2021-04-11T19:37:08.3Z,2,REGULAR,substitution,in,['startperiod'],1628400,,,1610612738,27,16,2021-04-11T19:37:39Z,1700000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2021-04-11T19:37:08.3Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612738,27,16,2021-04-11T19:37:39Z,1710000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2021-04-11T19:37:43.1Z,2,REGULAR,period,start,[],0,,,1610612738,27,16,2021-04-11T19:37:43Z,1720000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT11M47.00S,2021-04-11T19:37:54.7Z,2,REGULAR,turnover,bad pass,[],1628369,,,1610612738,27,16,2021-04-11T19:37:59Z,1730000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1630192]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,1.0,Nnaji,1630192.0,
174,PT11M47.00S,2021-04-11T19:37:54.7Z,2,REGULAR,steal,,[],1630192,,,1610612743,27,16,2021-04-11T19:37:56Z,1740000,,,0,,Z. Nnaji STEAL (1 STL),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT11M34.00S,2021-04-11T19:38:11.7Z,2,REGULAR,violation,kicked ball,[],1628369,,,1610612743,27,16,2021-04-11T19:38:19Z,1750000,,,0,,J. Tatum kicked ball VIOLATION,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,2715.0,,,,,,,,,,,,,,
176,PT11M28.00S,2021-04-11T19:38:34.5Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1628408,21.107095926412615,50.80422794117647,1610612743,27,16,2021-04-11T19:38:40Z,1760000,-4.0,146.0,1,left,MISS P. Dozier 14' pullup Shot,[1628408],1610612743.0,DEN,pullup,,,Dozier,P. Dozier,,,,,14.6,Missed,,,,,,,,,,,,,,,,,,,
177,PT11M24.00S,2021-04-11T19:38:38.5Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,27,16,2021-04-11T19:38:40Z,1770000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,176.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
178,PT11M13.00S,2021-04-11T19:38:48.5Z,2,REGULAR,3pt,Jump Shot,[],1628400,77.08607095926413,88.05912990196079,1610612738,27,16,2021-04-11T19:38:54Z,1780000,190.0,163.0,1,right,MISS S. Ojeleye 25' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,25.05,Missed,,,,,,,,,,,,,,,,,,,
