actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
47,PT07M23.00S,2021-03-03T01:01:35.2Z,1,REGULAR,2pt,Jump Shot,[],202689,75.64060446780552,53.990502450980394,1610612738,18,11,2021-03-03T01:08:03Z,470000,20.0,176.0,1,right,K. Walker 17' pullup Jump Shot (2 PTS) (T. Thompson 1 AST),"[202689, 202684]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,,,17.76,Made,2.0,T. Thompson,202684.0,1.0,,,,,,,,,,
48,PT07M04.00S,2021-03-03T01:01:53.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,10.5946123521682,40.510110294117645,1610612746,18,13,2021-03-03T01:02:02Z,480000,47.0,47.0,1,left,R. Jackson 6' driving floating Jump Shot (2 PTS),[202704],1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,,,,,,6.68,Made,2.0,,,,,,,,,,,,,
50,PT06M47.00S,2021-03-03T01:02:10.2Z,1,REGULAR,2pt,Jump Shot,[],1627759,79.58278580814718,70.41207107843137,1610612738,20,13,2021-03-03T01:02:15Z,490000,102.0,139.0,1,right,J. Brown 17' pullup Jump Shot (9 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,17.28,Made,9.0,,,,,,,,,,,,,
51,PT06M37.00S,2021-03-03T01:02:19.9Z,1,REGULAR,3pt,Jump Shot,[],201586,31.882391590013142,58.15716911764706,1610612746,20,16,2021-03-03T01:02:25Z,500000,-41.0,247.0,1,left,S. Ibaka 25' 3PT  (3 PTS) (R. Jackson 2 AST),"[201586, 202704]",1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,25.05,Made,3.0,R. Jackson,202704.0,2.0,,,,,,,,,,
53,PT06M15.00S,2021-03-03T01:02:41.6Z,1,REGULAR,3pt,Jump Shot,[],1628464,66.70499342969777,58.892463235294116,1610612738,20,16,2021-03-03T01:02:47Z,520000,44.0,260.0,1,right,MISS D. Theis 26' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,26.43,Missed,,,,,,,,,,,,,,
54,PT06M13.00S,2021-03-03T01:02:43.6Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,20,16,2021-03-03T01:02:47Z,530000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,53.0,1.0,1.0,0.0,,,
55,PT06M03.00S,2021-03-03T01:02:53.7Z,1,REGULAR,3pt,Jump Shot,[],202331,5.338370565045992,95.16697303921569,1610612746,20,19,2021-03-03T01:02:59Z,540000,-226.0,-2.0,1,left,P. George 3PT step back (5 PTS),[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,,,,,,22.58,Made,5.0,,,,,,,,,,,,,
56,PT05M45.00S,2021-03-03T01:03:17.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,20,19,2021-03-03T01:03:17Z,550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT05M40.00S,2021-03-03T01:03:28.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,66.3107752956636,50.55912990196079,1610612738,20,19,2021-03-03T01:03:34Z,560000,3.0,264.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,26.42,Missed,,,,,,,,,,,,,,
58,PT05M37.00S,2021-03-03T01:03:31.0Z,1,REGULAR,rebound,defensive,[],201976,,,1610612746,20,19,2021-03-03T01:03:34Z,570000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612746.0,LAC,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,57.0,1.0,1.0,0.0,,,
