actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
55,PT08M04.00S,2021-03-29T23:48:25.6Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,10,10,2021-03-29T23:48:29Z,550000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,54.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
56,PT07M59.00S,2021-03-29T23:48:31.2Z,1,REGULAR,turnover,lost ball,[],202689,,,1610612738,10,10,2021-03-29T23:48:40Z,560000,,,0,,K. Walker lost ball TURNOVER (1 TO),"[202689, 1629627]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,1.0,Williamson,1629627.0,
57,PT07M59.00S,2021-03-29T23:48:31.2Z,1,REGULAR,steal,,[],1629627,,,1610612740,10,10,2021-03-29T23:48:33Z,570000,,,0,,Z. Williamson STEAL (2 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M53.00S,2021-03-29T23:48:35.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629627,4.944152431011826,52.76501225490197,1610612740,10,12,2021-03-29T23:48:46Z,580000,-14.0,-6.0,1,left,Z. Williamson running Layup (2 PTS) (E. Bledsoe 1 AST),"[1629627, 202339]",1610612740.0,NOP,running,,,Williamson,Z. Williamson,,,,,1.5,Made,,2.0,E. Bledsoe,202339.0,1.0,,,,,,,,,,,,,,
60,PT07M43.00S,2021-03-29T23:48:46.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,67.49342969776609,31.44148284313725,1610612738,13,12,2021-03-29T23:48:53Z,600000,-93.0,253.0,1,right,J. Tatum 26' 3PT  (11 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.96,Made,,11.0,,,,,,,,,,,,,,,,,
61,PT07M43.00S,2021-03-29T23:48:56.2Z,1,REGULAR,foul,personal,['1freethrow'],1629638,,,1610612738,13,12,2021-03-29T23:49:04Z,610000,,,0,,N. Alexander-Walker shooting personal FOUL (1 PF) (Tatum 1 FT),"[1629638, 1628369]",1610612740.0,NOP,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,202056.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,
63,PT07M43.00S,2021-03-29T23:49:20.0Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,13,12,2021-03-29T23:49:25Z,630000,,,0,,MISS J. Tatum Free Throw 1 of 1,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
64,PT07M41.00S,2021-03-29T23:49:22.0Z,1,REGULAR,rebound,defensive,[],203500,,,1610612740,13,12,2021-03-29T23:49:25Z,640000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612740.0,NOP,,,,Adams,S. Adams,,,,,,,63.0,,,,,,,,,,2.0,1.0,1.0,,,,,,
65,PT07M30.00S,2021-03-29T23:49:39.8Z,1,REGULAR,violation,kicked ball,[],202689,,,1610612740,13,12,2021-03-29T23:49:56Z,650000,,,0,,K. Walker kicked ball VIOLATION,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,201639.0,,,,,,,,,,,,,
66,PT07M23.00S,2021-03-29T23:49:54.4Z,1,REGULAR,3pt,Jump Shot,[],1629638,24.917871222076215,82.421875,1610612740,13,12,2021-03-29T23:50:01Z,660000,-162.0,182.0,1,left,MISS N. Alexander-Walker 24' 3PT,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,24.35,Missed,,,,,,,,,,,,,,,,,,,
