actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
42,PT07M57.00S,2021-02-18T00:45:59.9Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,10,12,2021-02-18T00:46:08Z,420000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,,,,,,
43,PT07M50.00S,2021-02-18T00:46:07.8Z,1,REGULAR,3pt,Jump Shot,[],1628400,65.91655716162943,48.10814950980392,1610612738,13,12,2021-02-18T00:46:13Z,430000,-9.0,268.0,1,right,S. Ojeleye 26' 3PT  (3 PTS) (J. Brown 2 AST),"[1628400, 1627759]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,26.81,Made,,,,,3.0,J. Brown,1627759.0,2.0,,,,,,,,,,
45,PT07M40.00S,2021-02-18T00:46:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,5.469776609724048,52.27481617647059,1610612737,13,14,2021-02-18T00:46:32Z,450000,-11.0,-1.0,1,left,J. Collins alley-oop Layup (6 PTS) (T. Young 2 AST),"[1628381, 1629027]",1610612737.0,ATL,alley-oop,,,Collins,J. Collins,,,,,1.15,Made,,,,,6.0,T. Young,1629027.0,2.0,,,,,,,,,,
47,PT07M40.00S,2021-02-18T00:46:22.2Z,1,REGULAR,foul,personal,['1freethrow'],1628400,,,1610612737,13,14,2021-02-18T00:46:31Z,470000,,,0,,S. Ojeleye shooting personal FOUL (2 PF) (Collins 1 FT),"[1628400, 1628381]",1610612738.0,BOS,shooting,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,101283.0,2.0,0.0,Collins,1628381.0,,
49,PT07M40.00S,2021-02-18T00:46:49.5Z,1,REGULAR,freethrow,1 of 1,[],1628381,,,1610612737,13,15,2021-02-18T00:46:49Z,490000,,,0,,J. Collins Free Throw 1 of 1 (7 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
50,PT07M32.00S,2021-02-18T00:46:58.4Z,1,REGULAR,3pt,Jump Shot,[],1628400,67.7562417871222,69.18658088235294,1610612738,13,15,2021-02-18T00:47:04Z,500000,96.0,251.0,1,right,MISS S. Ojeleye 26' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,26.83,Missed,,,,,,,,,,,,,,,,,,
51,PT07M29.00S,2021-02-18T00:47:01.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,13,15,2021-02-18T00:47:04Z,510000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,
52,PT07M25.00S,2021-02-18T00:47:08.0Z,1,REGULAR,foul,personal,[],202684,,,1610612737,13,15,2021-02-18T00:47:19Z,520000,,,0,,T. Thompson personal FOUL (1 PF),"[202684, 1629027]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,204058.0,1.0,0.0,Young,1629027.0,,
54,PT07M17.00S,2021-02-18T00:47:33.8Z,1,REGULAR,2pt,Jump Shot,[],1628381,18.478975032851512,32.421875,1610612737,13,17,2021-02-18T00:47:39Z,540000,88.0,121.0,1,left,J. Collins 14' pullup Jump Shot (9 PTS) (T. Young 3 AST),"[1628381, 1629027]",1610612737.0,ATL,pullup,,,Collins,J. Collins,,,,,14.97,Made,,,,,9.0,T. Young,1629027.0,3.0,,,,,,,,,,
55,PT06M59.00S,2021-02-18T00:47:50.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,91.14651773981603,29.480698529411764,1610612738,15,17,2021-02-18T00:48:00Z,550000,-103.0,31.0,1,right,J. Tatum 10' turnaround Jump Shot (2 PTS),[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,10.71,Made,,,,,2.0,,,,,,,,,,,,,
56,PT06M50.00S,2021-02-18T00:48:00.1Z,1,REGULAR,3pt,Jump Shot,[],1629027,35.8245729303548,31.44148284313725,1610612737,15,17,2021-02-18T00:48:04Z,560000,93.0,284.0,1,left,MISS T. Young 29' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,29.91,Missed,,,,,,,,,,,,,,,,,,
57,PT06M48.00S,2021-02-18T00:48:02.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,15,17,2021-02-18T00:48:04Z,570000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,
59,PT06M40.00S,2021-02-18T00:48:10.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628400,91.80354796320631,48.10814950980392,1610612738,15,17,2021-02-18T00:48:22Z,580000,-9.0,25.0,1,right,MISS S. Ojeleye Layup,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,2.63,Missed,,,,,,,,,,,,,,,,,,
