actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
47,PT08M46.00S,2020-12-19T01:14:38.4Z,1,REGULAR,3pt,Jump Shot,[],201142,29.38567674113009,72.86305147058823,1610612751,5,6,2020-12-19T01:14:42Z,460000,-114.0,224.0,1,left,MISS K. Durant 25' 3PT,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,25.12,Missed,,,,,,,,,,,,,,,,
48,PT08M44.00S,2020-12-19T01:14:40.6Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612738,5,6,2020-12-19T01:14:40Z,470000,,,0,,J. Green REBOUND (Off:1 Def:1),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,47.0,2.0,1.0,1.0,,,,,,,,,,,,
49,PT08M38.00S,2020-12-19T01:14:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,87.33574244415243,46.14736519607843,1610612738,7,6,2020-12-19T03:23:39Z,480000,-19.0,67.0,1,right,J. Brown 6' driving Layup (4 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,6.92,Made,,,,,4.0,,,,,,M. Smart,203935.0,1.0,,,
51,PT08M27.00S,2020-12-19T01:14:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,10.988830486202366,36.34344362745098,1610612751,7,8,2020-12-19T03:23:51Z,500000,68.0,51.0,1,left,K. Irving 8' driving Layup (2 PTS) (S. Dinwiddie 1 AST),"[202681, 203915]",1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,,,,8.51,Made,,,,,2.0,,,,,,S. Dinwiddie,203915.0,1.0,,,
53,PT08M10.00S,2020-12-19T01:15:14.8Z,1,REGULAR,3pt,Jump Shot,[],203935,64.99671484888306,40.75520833333333,1610612738,7,8,2020-12-19T01:15:19Z,520000,-46.0,277.0,1,right,MISS M. Smart 28' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,28.03,Missed,,,,,,,,,,,,,,,,
54,PT08M06.00S,2020-12-19T01:15:18.8Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,7,8,2020-12-19T01:15:19Z,530000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:2),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,
55,PT08M01.00S,2020-12-19T01:15:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201142,7.5722733245729295,46.14736519607843,1610612751,7,10,2020-12-19T01:15:32Z,540000,19.0,19.0,1,left,K. Durant driving Layup (4 PTS) (S. Dinwiddie 2 AST),"[201142, 203915]",1610612751.0,BKN,driving,,,Durant,K. Durant,,,,,,,,2.69,Made,,,,,4.0,,,,,,S. Dinwiddie,203915.0,2.0,,,
57,PT08M01.00S,2020-12-19T01:15:32.5Z,1,REGULAR,foul,personal,['1freethrow'],1628464,,,1610612751,7,10,2020-12-19T01:15:41Z,560000,,,0,,D. Theis shooting personal FOUL (2 PF) (Durant 1 FT),"[1628464, 201142]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,1626301.0,2.0,0.0,Durant,201142.0,,,,,,
59,PT08M01.00S,2020-12-19T01:16:00.1Z,1,REGULAR,freethrow,1 of 1,[],201142,,,1610612751,7,11,2020-12-19T01:16:00Z,580000,,,0,,K. Durant Free Throw 1 of 1 (5 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,Made,,,,,5.0,,,,,,,,,,,
60,PT07M42.00S,2020-12-19T01:16:22.7Z,1,REGULAR,2pt,Jump Shot,[],1628464,90.48948751642575,73.10814950980392,1610612738,9,11,2020-12-19T01:16:27Z,590000,116.0,37.0,1,right,D. Theis 12' Jump Shot (2 PTS) (J. Tatum 1 AST),"[1628464, 1628369]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,12.13,Made,,,,,2.0,,,,,,J. Tatum,1628369.0,1.0,,,
62,PT07M27.00S,2020-12-19T01:16:36.1Z,1,REGULAR,3pt,Jump Shot,[],203925,27.808804204993432,78.01011029411765,1610612751,9,14,2020-12-19T01:16:41Z,610000,-140.0,209.0,1,left,J. Harris 25' 3PT  (6 PTS) (K. Irving 2 AST),"[203925, 202681]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,25.15,Made,,,,,6.0,,,,,,K. Irving,202681.0,2.0,,,
64,PT07M05.00S,2020-12-19T01:16:59.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,72.48685939553219,85.11795343137256,1610612738,9,14,2020-12-19T01:17:04Z,630000,176.0,206.0,1,right,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,27.08,Missed,,,,,,,,,,,,,,,,
65,PT07M01.00S,2020-12-19T01:17:03.0Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612738,9,14,2020-12-19T01:17:04Z,640000,,,0,,J. Green REBOUND (Off:2 Def:1),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,64.0,3.0,1.0,2.0,,,,,,,,,,,,
66,PT06M59.00S,2020-12-19T01:17:05.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,68.28186596583443,26.53952205882353,1610612738,9,14,2020-12-19T01:17:09Z,650000,-117.0,246.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,27.23,Missed,,,,,,,,,,,,,,,,
67,PT06M57.00S,2020-12-19T01:17:07.1Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,9,14,2020-12-19T01:17:09Z,660000,,,0,,K. Irving REBOUND (Off:0 Def:3),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,66.0,3.0,3.0,0.0,,,,,,,,,,,,
68,PT06M50.00S,2020-12-19T01:17:13.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,5.075558475689881,54.23560049019608,1610612751,9,14,2020-12-19T01:17:27Z,670000,-21.0,-5.0,1,left,MISS K. Irving driving finger roll Layup,[202681],1610612751.0,BKN,driving finger roll,,,Irving,K. Irving,,,,,,,,2.17,Missed,,,,,,,,,,,,,,,,
69,PT06M47.00S,2020-12-19T01:17:16.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,14,2020-12-19T01:17:21Z,680000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,68.0,3.0,3.0,0.0,,,,,,,,,,,,
