actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
67,PT06M08.00S,2021-04-16T02:27:26.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202083,29.25427069645204,84.1375612745098,1610612747,7,18,2021-04-16T02:27:29Z,660000,-171.0,222.0,1,left,MISS W. Matthews 28' 3PT,[202083],1610612747.0,LAL,,,,Matthews,W. Matthews,,,,,,,,,,28.04,Missed,,,,,,,,,,,,,
68,PT06M06.00S,2021-04-16T02:27:27.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,18,2021-04-16T02:27:27Z,670000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,67.0,2.0,2.0,0.0,,,,,
69,PT05M57.00S,2021-04-16T02:27:36.7Z,1,REGULAR,3pt,Jump Shot,[],202689,65.78515111695138,43.20618872549019,1610612738,7,21,2021-04-16T04:33:48Z,680000,-34.0,269.0,1,right,K. Walker 27' 3PT pullup (3 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,,,27.12,Made,3.0,,,,,,,,,,,,
70,PT05M57.00S,2021-04-16T02:27:49.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,7,21,2021-04-16T02:27:49Z,690000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M57.00S,2021-04-16T02:30:40.9Z,1,REGULAR,substitution,out,[],201188,,,1610612747,7,21,2021-04-16T02:31:04Z,700000,,,0,,SUB out: M. Gasol,[201188],1610612747.0,LAL,,,,Gasol,M. Gasol,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M57.00S,2021-04-16T02:30:40.9Z,1,REGULAR,substitution,out,[],203471,,,1610612747,7,21,2021-04-16T02:31:04Z,710000,,,0,,SUB out: D. Schroder,[203471],1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M57.00S,2021-04-16T02:30:40.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612747,7,21,2021-04-16T02:31:04Z,720000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M57.00S,2021-04-16T02:30:40.9Z,1,REGULAR,substitution,in,[],1626149,,,1610612747,7,21,2021-04-16T02:31:04Z,730000,,,0,,SUB in: M. Harrell,[1626149],1610612747.0,LAL,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M57.00S,2021-04-16T02:30:40.9Z,1,REGULAR,substitution,in,[],1627936,,,1610612747,7,21,2021-04-16T02:31:04Z,740000,,,0,,SUB in: A. Caruso,[1627936],1610612747.0,LAL,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M57.00S,2021-04-16T02:30:40.9Z,1,REGULAR,substitution,in,[],1629641,,,1610612747,7,21,2021-04-16T02:31:04Z,750000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,
