actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
50,PT07M45.00S,2021-05-02T23:46:01.5Z,1,REGULAR,block,,[],203496,,,1610612738,7,14,2021-05-02T23:47:15Z,500000,,,0,,R. Covington BLOCK (2 BLK),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M42.00S,2021-05-02T23:46:04.5Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,7,14,2021-05-02T23:46:12Z,510000,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,49.0,2.0,2.0,0.0,,,,,,,,
52,PT07M38.00S,2021-05-02T23:46:09.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626181,6.389618922470433,57.666973039215684,1610612757,7,16,2021-05-02T23:48:55Z,520000,-38.0,8.0,1,left,N. Powell running Layup (5 PTS) (C. McCollum 1 AST),"[1626181, 203468]",1610612757.0,POR,running,,,Powell,N. Powell,,,,,3.9,Made,5.0,C. McCollum,203468.0,1.0,,,,,,,,,,,,,,,
53,PT07M28.00S,2021-05-02T23:46:18.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,81.42247043363994,96.39246323529412,1610612738,7,16,2021-05-02T23:46:26Z,530000,232.0,122.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.22,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M28.00S,2021-05-02T23:46:18.8Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,7,16,2021-05-02T23:46:26Z,540000,,,0,,J. Nurkic REBOUND (Off:0 Def:3),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,53.0,3.0,3.0,0.0,,,,,,,,
55,PT07M18.00S,2021-05-02T23:46:29.2Z,1,REGULAR,2pt,Layup,[],203468,12.959921156373195,32.91207107843137,1610612757,7,16,2021-05-02T23:53:47Z,550000,85.0,69.0,1,left,MISS C. McCollum 11' driving finger roll Layup,[203468],1610612757.0,POR,driving finger roll,,,McCollum,C. McCollum,,,,,11.0,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M15.00S,2021-05-02T23:46:32.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,7,16,2021-05-02T23:46:40Z,560000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,
57,PT07M08.00S,2021-05-02T23:46:39.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,87.72996057818659,49.82383578431372,1610612738,7,16,2021-05-02T23:54:22Z,570000,-1.0,63.0,1,right,MISS J. Brown 6' floating Shot,[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,6.28,Missed,,,,,,,,,,,,,,,,,,,
58,PT07M08.00S,2021-05-02T23:46:39.1Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612757,7,16,2021-05-02T23:46:58Z,580000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,
59,PT06M54.00S,2021-05-02T23:46:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,8.492115637319317,59.3826593137255,1610612757,7,16,2021-05-02T23:47:04Z,590000,-47.0,27.0,1,left,MISS J. Nurkic driving Layup - blocked,"[203994, 202684]",1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,5.43,Missed,,,,,,,,,,,,Thompson,202684.0,,,,,,
