actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
43,PT07M44.00S,2021-06-01T23:50:25.8Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,6,8,2021-06-01T23:50:28Z,430000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
44,PT07M42.00S,2021-06-01T23:50:28.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",202681,4.681340341655716,49.82383578431372,1610612751,8,8,2021-06-01T23:50:42Z,440000,1.0,-8.0,1,left,K. Irving cutting DUNK (2 PTS) (J. Harden 1 AST),"[202681, 201935]",1610612751.0,BKN,cutting,,,Irving,K. Irving,,,,,0.85,Made,,,,,,,2.0,J. Harden,201935.0,1.0,,,,,,,,,
46,PT07M30.00S,2021-06-01T23:50:39.9Z,1,REGULAR,3pt,Jump Shot,[],203095,68.80749014454665,32.666973039215684,1610612738,8,11,2021-06-01T23:55:16Z,460000,-87.0,241.0,1,right,E. Fournier 25' 3PT  (3 PTS) (T. Thompson 1 AST),"[203095, 202684]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,25.58,Made,,,,,,,3.0,T. Thompson,202684.0,1.0,,,,,,,,,
58,PT07M30.00S,2021-06-01T23:51:04.5Z,1,REGULAR,instantreplay,request,[],0,,,1610612751,8,11,2021-06-02T00:15:37Z,475000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,,,,,,,2534.0,,,,,,,,Changed to 3-pt FG
48,PT07M12.00S,2021-06-01T23:51:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203925,7.178055190538765,47.61795343137255,1610612751,10,11,2021-06-01T23:51:15Z,480000,12.0,15.0,1,left,J. Harris driving Layup (2 PTS) (J. Harden 2 AST),"[203925, 201935]",1610612751.0,BKN,driving,,,Harris,J. Harris,,,,,1.91,Made,,,,,,,2.0,J. Harden,201935.0,2.0,,,,,,,,,
50,PT06M54.00S,2021-06-01T23:51:22.0Z,1,REGULAR,3pt,Jump Shot,[],1629641,88.12417871222075,3.2552083333333335,1610612738,10,11,2021-06-01T23:51:27Z,500000,-234.0,59.0,1,right,MISS R. Langford 24' 3PT,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,24.11,Missed,,,,,,,,,,,,,,,,,,,
51,PT06M52.00S,2021-06-01T23:51:24.0Z,1,REGULAR,rebound,offensive,[],1629641,,,1610612738,10,11,2021-06-01T23:51:27Z,510000,,,0,,R. Langford REBOUND (Off:1 Def:0),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,50.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
52,PT06M50.00S,2021-06-01T23:51:26.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629641,92.9862023653088,44.43167892156863,1610612738,10,11,2021-06-01T23:51:31Z,520000,-28.0,13.0,1,right,MISS R. Langford driving Layup,[1629641],1610612738.0,BOS,driving,,,Langford,R. Langford,,,,,3.09,Missed,,,,,,,,,,,,,,,,,,,
53,PT06M48.00S,2021-06-01T23:51:29.0Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,10,11,2021-06-01T23:51:29Z,530000,,,0,,T. Thompson REBOUND (Off:2 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,52.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
54,PT06M48.00S,2021-06-01T23:51:31.0Z,1,REGULAR,foul,personal,['2freethrow'],201933,,,1610612738,10,11,2021-06-01T23:55:18Z,540000,,,0,,B. Griffin shooting personal FOUL (1 PF) (Thompson 2 FT),"[201933, 202684]",1610612751.0,BKN,shooting,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Thompson,202684.0,,,,
56,PT06M48.00S,2021-06-01T23:51:50.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,10,11,2021-06-01T23:51:50Z,560000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M48.00S,2021-06-01T23:55:32.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202684,,,1610612738,10,12,2021-06-01T23:55:32Z,590000,,,0,,T. Thompson Free Throw 1 of 2 (3 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
60,PT06M48.00S,2021-06-01T23:55:50.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202684,,,1610612738,10,13,2021-06-01T23:55:50Z,600000,,,0,,T. Thompson Free Throw 2 of 2 (4 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Made,,,,,,,4.0,,,,,,,,,,,,
61,PT06M33.00S,2021-06-01T23:56:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201933,5.863994743758213,49.57873774509804,1610612751,12,13,2021-06-01T23:56:16Z,610000,2.0,3.0,1,left,B. Griffin driving Layup (2 PTS),[201933],1610612751.0,BKN,driving,,,Griffin,B. Griffin,,,,,0.33,Made,,,,,,,2.0,,,,,,,,,,,,
62,PT06M09.00S,2021-06-01T23:56:29.5Z,1,REGULAR,3pt,Jump Shot,[],1629641,80.1084099868594,91.00030637254902,1610612738,12,16,2021-06-01T23:56:34Z,620000,205.0,134.0,1,right,R. Langford 24' 3PT  (5 PTS) (J. Tatum 1 AST),"[1629641, 1628369]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,24.52,Made,,,,,,,5.0,J. Tatum,1628369.0,1.0,,,,,,,,,
63,PT05M43.00S,2021-06-01T23:56:57.2Z,1,REGULAR,foul,personal,['3freethrow'],203095,,,1610612751,12,16,2021-06-01T23:57:15Z,630000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Harden 3 FT),"[203095, 201935]",1610612738.0,BOS,shooting,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,202049.0,1.0,0.0,Harden,201935.0,,,,
65,PT05M43.00S,2021-06-01T23:57:25.7Z,1,REGULAR,freethrow,1 of 3,[],201935,,,1610612751,13,16,2021-06-01T23:57:25Z,650000,,,0,,J. Harden Free Throw 1 of 3 (7 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,,,,,,,7.0,,,,,,,,,,,,
67,PT05M43.00S,2021-06-01T23:57:39.7Z,1,REGULAR,freethrow,2 of 3,[],201935,,,1610612751,14,16,2021-06-01T23:57:39Z,670000,,,0,,J. Harden Free Throw 2 of 3 (8 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,,,,,,,8.0,,,,,,,,,,,,
68,PT05M43.00S,2021-06-01T23:57:42.8Z,1,REGULAR,instantreplay,request,[],0,,,1610612751,14,16,2021-06-01T23:57:54Z,680000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support 3 FTs
69,PT05M43.00S,2021-06-01T23:57:57.1Z,1,REGULAR,freethrow,3 of 3,[],201935,,,1610612751,15,16,2021-06-01T23:57:57Z,690000,,,0,,J. Harden Free Throw 3 of 3 (9 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,,,,,,,9.0,,,,,,,,,,,,
70,PT05M22.00S,2021-06-01T23:58:21.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,84.44480946123521,39.77481617647059,1610612738,15,16,2021-06-01T23:58:37Z,700000,-51.0,94.0,1,right,MISS E. Fournier 10' driving Layup - blocked,"[203095, 201935]",1610612738.0,BOS,driving,,,Fournier,E. Fournier,,,,,10.67,Missed,,,,,Harden,201935.0,,,,,,,,,,,,,
71,PT05M22.00S,2021-06-01T23:58:21.0Z,1,REGULAR,block,,[],201935,,,1610612738,15,16,2021-06-01T23:58:24Z,710000,,,0,,J. Harden BLOCK (1 BLK),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
