actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
93,PT03M41.00S,2021-02-17T00:30:02.4Z,1,REGULAR,3pt,Jump Shot,[],203999,30.042706964520367,29.970894607843135,1610612743,15,16,2021-02-17T00:30:07Z,930000,100.0,230.0,1,left,N. Jokic 25' 3PT  (13 PTS) (F. Campazzo 1 AST),"[203999, 1630267]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,25.07,Made,,,,,,,,,,13.0,F. Campazzo,1630267.0,1.0,,,,,
95,PT03M25.00S,2021-02-17T00:30:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,90.22667542706965,56.68658088235294,1610612738,17,16,2021-02-17T00:30:23Z,950000,33.0,39.0,1,right,K. Walker driving Layup (8 PTS),[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,5.17,Made,,,,,,,,,,8.0,,,,,,,,
96,PT03M07.00S,2021-02-17T00:30:35.9Z,1,REGULAR,2pt,Jump Shot,[],1630267,19.530223390275953,30.95128676470588,1610612743,17,16,2021-02-17T00:30:42Z,960000,95.0,131.0,1,left,MISS F. Campazzo 16' pullup Shot,[1630267],1610612743.0,DEN,pullup,,,Campazzo,F. Campazzo,,,,,16.2,Missed,,,,,,,,,,,,,,,,,,
97,PT03M02.00S,2021-02-17T00:30:40.9Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,17,16,2021-02-17T00:30:42Z,970000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,96.0,1.0,1.0,0.0,,,,,,,,,,,,,,
98,PT02M56.00S,2021-02-17T00:30:47.0Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,17,16,2021-02-17T00:30:50Z,980000,,,0,,J. Brown bad pass TURNOVER (2 TO),"[1627759, 203999]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,2.0,Jokic,203999.0,,
99,PT02M56.00S,2021-02-17T00:30:47.0Z,1,REGULAR,steal,,[],203999,,,1610612743,17,16,2021-02-17T00:31:13Z,990000,,,0,,N. Jokic STEAL (2 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,
100,PT02M52.00S,2021-02-17T00:30:51.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630181,7.046649145860711,42.22579656862745,1610612743,17,16,2021-02-17T00:30:58Z,1000000,39.0,14.0,1,left,MISS R. Hampton running Layup - blocked,"[1630181, 1630174]",1610612743.0,DEN,running,,,Hampton,R. Hampton,,,,,4.12,Missed,,,,,,,,,,,,,,,,,Nesmith,1630174.0
101,PT02M52.00S,2021-02-17T00:30:51.6Z,1,REGULAR,block,,[],1630174,,,1610612743,17,16,2021-02-17T00:30:54Z,1010000,,,0,,A. Nesmith BLOCK (1 BLK),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M49.00S,2021-02-17T00:30:54.6Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,17,16,2021-02-17T00:30:58Z,1020000,,,0,,S. Ojeleye REBOUND (Off:0 Def:2),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,100.0,2.0,2.0,0.0,,,,,,,,,,,,,,
103,PT02M42.00S,2021-02-17T00:31:00.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,70.38436268068331,21.88265931372549,1610612738,20,16,2021-02-17T00:31:06Z,1030000,-141.0,226.0,1,right,J. Brown 26' 3PT  (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.61,Made,,,,,,,,,,5.0,,,,,,,,
104,PT02M31.00S,2021-02-17T00:31:19.2Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",2610,,,1610612743,20,16,2021-02-17T00:34:44Z,1040000,,,0,,TEAM foul technical,[2610],1610612743.0,DEN,,,,,,,,,,,,,,,,204058.0,,,,,,,,,,,,,
105,PT02M31.00S,2021-02-17T00:31:46.0Z,1,REGULAR,freethrow,1 of 1,[],202689,,,1610612743,21,16,2021-02-17T00:31:46Z,1050000,,,0,,K. Walker technical Free Throw 1 of 1 (9 PTS),[202689],1610612738.0,BOS,technical,,,Walker,K. Walker,,,,,,Made,,,,,,,,,,9.0,,,,,,,,
106,PT02M31.00S,2021-02-17T00:31:47.6Z,1,REGULAR,substitution,out,[],202689,,,1610612743,21,16,2021-02-17T00:31:57Z,1060000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M31.00S,2021-02-17T00:31:47.6Z,1,REGULAR,substitution,out,[],202684,,,1610612743,21,16,2021-02-17T00:31:57Z,1070000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M31.00S,2021-02-17T00:31:47.6Z,1,REGULAR,substitution,out,[],203210,,,1610612743,21,16,2021-02-17T00:31:57Z,1080000,,,0,,SUB out: J. Green,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M31.00S,2021-02-17T00:31:47.6Z,1,REGULAR,substitution,out,[],1630267,,,1610612743,21,16,2021-02-17T00:31:57Z,1090000,,,0,,SUB out: F. Campazzo,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M31.00S,2021-02-17T00:31:47.6Z,1,REGULAR,substitution,in,[],1629057,,,1610612743,21,16,2021-02-17T00:31:57Z,1100000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M31.00S,2021-02-17T00:31:47.6Z,1,REGULAR,substitution,in,[],1630202,,,1610612743,21,16,2021-02-17T00:31:57Z,1110000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M31.00S,2021-02-17T00:31:47.6Z,1,REGULAR,substitution,in,[],1630210,,,1610612743,21,16,2021-02-17T00:31:57Z,1120000,,,0,,SUB in: M. Howard,[1630210],1610612743.0,DEN,,,,Howard,M. Howard,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M31.00S,2021-02-17T00:31:47.6Z,1,REGULAR,substitution,in,[],1627750,,,1610612743,21,16,2021-02-17T00:31:57Z,1130000,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M20.00S,2021-02-17T00:32:20.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203999,7.178055190538765,51.294424019607845,1610612743,21,18,2021-02-17T00:32:24Z,1140000,-6.0,15.0,1,left,N. Jokic driving DUNK (15 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,1.63,Made,,,,,,,,,,15.0,J. Murray,1627750.0,1.0,,,,,
116,PT02M02.00S,2021-02-17T00:32:37.6Z,1,REGULAR,2pt,Jump Shot,[],1627759,80.89684625492772,20.902267156862745,1610612738,23,18,2021-02-17T00:36:16Z,1160000,-145.0,127.0,1,right,J. Brown 19' pullup Jump Shot (7 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,19.32,Made,,,,,,,,,,7.0,,,,,,,,
117,PT01M48.00S,2021-02-17T00:32:51.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630181,7.5722733245729295,44.18658088235294,1610612743,23,20,2021-02-17T00:32:56Z,1170000,29.0,19.0,1,left,R. Hampton cutting Layup (2 PTS) (J. Murray 2 AST),"[1630181, 1627750]",1610612743.0,DEN,cutting,,,Hampton,R. Hampton,,,,,3.46,Made,,,,,,,,,,2.0,J. Murray,1627750.0,2.0,,,,,
119,PT01M38.00S,2021-02-17T00:33:01.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,77.34888304862024,90.51011029411765,1610612738,23,20,2021-02-17T00:33:06Z,1190000,203.0,160.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.84,Missed,,,,,,,,,,,,,,,,,,
120,PT01M35.00S,2021-02-17T00:33:04.5Z,1,REGULAR,rebound,defensive,[],1630192,,,1610612743,23,20,2021-02-17T00:33:06Z,1200000,,,0,,Z. Nnaji REBOUND (Off:0 Def:1),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,119.0,1.0,1.0,0.0,,,,,,,,,,,,,,
121,PT01M27.00S,2021-02-17T00:33:16.9Z,1,REGULAR,foul,personal,[],1630202,,,1610612743,23,20,2021-02-17T00:33:28Z,1210000,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 203999]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,204058.0,1.0,0.0,Jokic,203999.0,,,,,,,,,
123,PT01M27.00S,2021-02-17T00:33:34.6Z,1,REGULAR,substitution,out,[],1628400,,,1610612743,23,20,2021-02-17T00:33:42Z,1230000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M27.00S,2021-02-17T00:33:34.6Z,1,REGULAR,substitution,out,[],203999,,,1610612743,23,20,2021-02-17T00:33:42Z,1240000,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M27.00S,2021-02-17T00:33:34.6Z,1,REGULAR,substitution,in,[],1628369,,,1610612743,23,20,2021-02-17T00:33:42Z,1250000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M27.00S,2021-02-17T00:33:34.6Z,1,REGULAR,substitution,in,[],1628392,,,1610612743,23,20,2021-02-17T00:33:42Z,1260000,,,0,,SUB in: I. Hartenstein,[1628392],1610612743.0,DEN,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M23.00S,2021-02-17T00:34:00.9Z,1,REGULAR,2pt,Jump Shot,[],1627750,22.28975032851511,64.77481617647058,1610612743,23,22,2021-02-17T00:37:05Z,1270000,-74.0,157.0,1,left,J. Murray 17' pullup Jump Shot (5 PTS),[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,17.35,Made,,,,,,,,,,5.0,,,,,,,,
128,PT01M06.00S,2021-02-17T00:34:17.5Z,1,REGULAR,3pt,Jump Shot,[],1630202,93.11760840998686,95.41207107843137,1610612738,23,22,2021-02-17T00:34:22Z,1280000,227.0,12.0,1,right,MISS P. Pritchard 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,22.74,Missed,,,,,,,,,,,,,,,,,,
129,PT01M03.00S,2021-02-17T00:34:20.9Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,23,22,2021-02-17T00:34:20Z,1290000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,128.0,1.0,0.0,1.0,,,,,,,,,,,,,,
130,PT00M57.50S,2021-02-17T00:34:26.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629057,92.32917214191852,21.39246323529412,1610612738,25,22,2021-02-17T00:34:31Z,1300000,-143.0,20.0,1,right,R. Williams III 14' Jump Shot (2 PTS) (J. Brown 2 AST),"[1629057, 1627759]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,14.43,Made,,,,,,,,,,2.0,J. Brown,1627759.0,2.0,,,,,
133,PT00M42.90S,2021-02-17T00:34:57.1Z,1,REGULAR,foul,technical,['1freethrow'],1629057,,,1610612743,25,22,2021-02-17T00:35:02Z,1330000,,,0,,R. Williams III defensive-3-second technical FOUL (1 Tech),[1629057],1610612738.0,BOS,defensive-3-second,,,Williams III,R. Williams III,,,,,,,,,,,1204.0,0.0,1.0,,,,,,,,,,,
134,PT00M42.90S,2021-02-17T00:35:10.0Z,1,REGULAR,freethrow,1 of 1,[],1627750,,,1610612743,25,23,2021-02-17T00:35:10Z,1340000,,,0,,J. Murray technical Free Throw 1 of 1 (6 PTS),[1627750],1610612743.0,DEN,technical,,,Murray,J. Murray,,,,,,Made,,,,,,,,,,6.0,,,,,,,,
135,PT00M42.90S,2021-02-17T00:35:10.9Z,1,REGULAR,substitution,out,[],1627759,,,1610612743,25,23,2021-02-17T00:35:14Z,1350000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M42.90S,2021-02-17T00:35:10.9Z,1,REGULAR,substitution,in,[],1629750,,,1610612743,25,23,2021-02-17T00:35:14Z,1360000,,,0,,SUB in: J. Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
137,PT00M33.60S,2021-02-17T00:35:33.3Z,1,REGULAR,3pt,Jump Shot,[],1627750,17.559132720105126,92.71599264705883,1610612743,25,26,2021-02-17T00:35:43Z,1370000,-214.0,113.0,1,left,J. Murray 24' 3PT step back (9 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,24.15,Made,,,,,,,,,,9.0,,,,,,,,
138,PT00M27.90S,2021-02-17T00:35:43.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,65.65374507227332,42.96109068627451,1610612738,25,26,2021-02-17T00:35:58Z,1380000,-35.0,270.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.27,Missed,,,,,,,,,,,,,,,,,,
139,PT00M24.40S,2021-02-17T00:35:47.3Z,1,REGULAR,rebound,offensive,[],1630174,,,1610612738,25,26,2021-02-17T00:35:47Z,1390000,,,0,,A. Nesmith REBOUND (Off:1 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,138.0,2.0,1.0,1.0,,,,,,,,,,,,,,
140,PT00M20.00S,2021-02-17T00:35:51.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630174,92.72339027595268,94.921875,1610612738,28,26,2021-02-17T00:36:09Z,1400000,225.0,16.0,1,right,A. Nesmith 3PT  (4 PTS) (J. Tatum 2 AST),"[1630174, 1628369]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,22.52,Made,,,,,,,,,,4.0,J. Tatum,1628369.0,2.0,,,,,
142,PT00M04.00S,2021-02-17T00:36:10.4Z,1,REGULAR,turnover,lost ball,[],1627750,,,1610612743,28,26,2021-02-17T00:36:33Z,1420000,,,0,,J. Murray lost ball TURNOVER (3 TO),"[1627750, 1628369]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,3.0,Tatum,1628369.0,,
143,PT00M04.00S,2021-02-17T00:36:10.4Z,1,REGULAR,steal,,[],1628369,,,1610612738,28,26,2021-02-17T00:36:12Z,1430000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M01.30S,2021-02-17T00:36:13.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630181,,,1610612738,28,26,2021-02-17T00:36:30Z,1440000,,,0,,R. Hampton shooting personal FOUL (2 PF) (Tatum 2 FT),"[1630181, 1628369]",1610612743.0,DEN,shooting,,,Hampton,R. Hampton,,,,,,,,,,,1204.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,
146,PT00M01.30S,2021-02-17T00:36:42.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628369,,,1610612738,29,26,2021-02-17T00:36:42Z,1460000,,,0,,J. Tatum Free Throw 1 of 2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,,,,3.0,,,,,,,,
147,PT00M01.30S,2021-02-17T00:36:56.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628369,,,1610612738,30,26,2021-02-17T00:36:56Z,1470000,,,0,,J. Tatum Free Throw 2 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,,,,4.0,,,,,,,,
148,PT00M00.60S,2021-02-17T00:37:01.4Z,1,REGULAR,3pt,Jump Shot,[],1630181,66.04796320630749,8.64736519607843,1610612743,30,26,2021-02-17T00:39:55Z,1480000,207.0,568.0,1,left,MISS R. Hampton 60' running 3PT,[1630181],1610612743.0,DEN,running,,,Hampton,R. Hampton,,,,,60.49,Missed,,,,,,,,,,,,,,,,,,
149,PT00M00.30S,2021-02-17T00:37:01.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,30,26,2021-02-17T00:39:55Z,1490000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,,,
150,PT00M00.00S,2021-02-17T00:37:25.7Z,1,REGULAR,period,end,[],0,,,1610612743,30,26,2021-02-17T00:37:25Z,1500000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2021-02-17T00:38:54.8Z,2,REGULAR,substitution,out,['startperiod'],1630181,,,1610612743,30,26,2021-02-17T00:39:19Z,1510000,,,0,,SUB out: R. Hampton,[1630181],1610612743.0,DEN,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2021-02-17T00:38:54.8Z,2,REGULAR,substitution,in,['startperiod'],1628427,,,1610612743,30,26,2021-02-17T00:39:19Z,1520000,,,0,,SUB in: V. Cancar,[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2021-02-17T00:39:39.2Z,2,REGULAR,period,start,[],0,,,1610612738,30,26,2021-02-17T00:39:39Z,1530000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT11M42.00S,2021-02-17T00:39:56.3Z,2,REGULAR,3pt,Jump Shot,[],1630202,93.38042049934296,94.43167892156863,1610612738,33,26,2021-02-17T00:40:04Z,1540000,222.0,10.0,1,right,P. Pritchard 3PT  (3 PTS) (R. Williams III 1 AST),"[1630202, 1629057]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,22.24,Made,,,,,,,,,,3.0,R. Williams III,1629057.0,1.0,,,,,
156,PT11M27.00S,2021-02-17T00:40:11.3Z,2,REGULAR,turnover,bad pass,[],1628427,,,1610612743,33,26,2021-02-17T00:40:15Z,1560000,,,0,,V. Cancar bad pass TURNOVER (1 TO),"[1628427, 1629750]",1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,,,,,,,,,,,,,,,,1.0,Green,1629750.0,,
157,PT11M27.00S,2021-02-17T00:40:11.3Z,2,REGULAR,steal,,[],1629750,,,1610612738,33,26,2021-02-17T00:40:13Z,1570000,,,0,,J. Green STEAL (1 STL),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
158,PT11M20.00S,2021-02-17T00:40:18.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629057,90.3580814717477,51.53952205882353,1610612738,35,26,2021-02-17T00:40:23Z,1580000,8.0,38.0,1,right,R. Williams III alley-oop DUNK (4 PTS) (P. Pritchard 1 AST),"[1629057, 1630202]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,3.89,Made,,,,,,,,,,4.0,P. Pritchard,1630202.0,1.0,,,,,
160,PT11M18.00S,2021-02-17T00:40:24.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,35,26,2021-02-17T00:40:24Z,1600000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT11M07.00S,2021-02-17T00:43:24.6Z,2,REGULAR,3pt,Jump Shot,[],1627750,24.52365308804205,87.56893382352942,1610612743,35,26,2021-02-17T00:43:57Z,1610000,-188.0,178.0,1,left,MISS J. Murray 25' pullup 3PT,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,25.88,Missed,,,,,,,,,,,,,,,,,,
162,PT11M04.00S,2021-02-17T00:43:27.6Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,35,26,2021-02-17T00:43:30Z,1620000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,161.0,1.0,1.0,0.0,,,,,,,,,,,,,,
163,PT10M45.00S,2021-02-17T00:43:47.2Z,2,REGULAR,3pt,Jump Shot,[],1628369,79.188567674113,7.421875,1610612738,35,26,2021-02-17T00:45:22Z,1630000,-213.0,143.0,1,right,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,25.65,Missed,,,,,,,,,,,,,,,,,,
164,PT10M39.00S,2021-02-17T00:43:53.2Z,2,REGULAR,rebound,defensive,[],1627750,,,1610612743,35,26,2021-02-17T00:43:53Z,1640000,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,163.0,1.0,1.0,0.0,,,,,,,,,,,,,,
165,PT10M30.00S,2021-02-17T00:44:01.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,15.982260183968464,49.333639705882355,1610612743,35,26,2021-02-17T00:44:07Z,1650000,3.0,98.0,1,left,MISS J. Murray 9' driving floating Shot,[1627750],1610612743.0,DEN,driving floating,,,Murray,J. Murray,,,,,9.78,Missed,,,,,,,,,,,,,,,,,,
166,PT10M26.00S,2021-02-17T00:44:05.3Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,35,26,2021-02-17T00:44:07Z,1660000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,165.0,2.0,1.0,1.0,,,,,,,,,,,,,,
167,PT10M18.00S,2021-02-17T00:44:14.3Z,2,REGULAR,turnover,bad pass,[],1628369,,,1610612738,35,26,2021-02-17T00:44:19Z,1670000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1630210]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,1.0,Howard,1630210.0,,
168,PT10M18.00S,2021-02-17T00:44:14.3Z,2,REGULAR,steal,,[],1630210,,,1610612743,35,26,2021-02-17T00:44:16Z,1680000,,,0,,M. Howard STEAL (1 STL),[1630210],1610612743.0,DEN,,,,Howard,M. Howard,,,,,,,,,,,,,,,,,,,,,,,,
169,PT10M15.00S,2021-02-17T00:44:18.1Z,2,REGULAR,turnover,out-of-bounds,[],1628427,,,1610612743,35,26,2021-02-17T00:44:27Z,1690000,,,0,,V. Cancar bad pass out-of-bounds TURNOVER (2 TO),[1628427],1610612743.0,DEN,bad pass,,,Cancar,V. Cancar,,,,,,,,,,,204058.0,,,,,,,,,2.0,,,,
170,PT10M04.00S,2021-02-17T00:44:38.7Z,2,REGULAR,turnover,bad pass,[],1630202,,,1610612738,35,26,2021-02-17T00:44:42Z,1700000,,,0,,P. Pritchard bad pass TURNOVER (1 TO),"[1630202, 1628427]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,1.0,Cancar,1628427.0,,
171,PT10M04.00S,2021-02-17T00:44:38.7Z,2,REGULAR,steal,,[],1628427,,,1610612743,35,26,2021-02-17T00:44:40Z,1710000,,,0,,V. Cancar STEAL (1 STL),[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,,,,,,,,,,,,,,,,,,,,
172,PT10M01.00S,2021-02-17T00:44:42.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628427,7.835085413929041,55.70618872549019,1610612743,35,28,2021-02-17T00:44:50Z,1720000,-29.0,21.0,1,left,V. Cancar running finger roll Layup (2 PTS),[1628427],1610612743.0,DEN,running finger roll,,,Cancar,V. Cancar,,,,,3.55,Made,,,,,,,,,,2.0,,,,,,,,
173,PT09M40.00S,2021-02-17T00:45:02.2Z,2,REGULAR,3pt,Jump Shot,[],1628369,76.95466491458606,88.30422794117648,1610612738,38,28,2021-02-17T00:45:07Z,1730000,192.0,164.0,1,right,J. Tatum 25' 3PT step back (7 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,25.22,Made,,,,,,,,,,7.0,,,,,,,,
174,PT09M29.00S,2021-02-17T00:45:13.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,7.966491458607096,54.23560049019608,1610612743,38,30,2021-02-17T00:45:18Z,1740000,-21.0,22.0,1,left,I. Hartenstein driving finger roll Layup (2 PTS) (M. Howard 1 AST),"[1628392, 1630210]",1610612743.0,DEN,driving finger roll,,,Hartenstein,I. Hartenstein,,,,,3.08,Made,,,,,,,,,,2.0,M. Howard,1630210.0,1.0,,,,,
175,PT09M10.00S,2021-02-17T00:45:32.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629750,83.919185282523,60.853247549019606,1610612738,38,30,2021-02-17T00:45:39Z,1750000,54.0,99.0,1,right,MISS J. Green 11' driving floating Shot,[1629750],1610612738.0,BOS,driving floating,,,Green,J. Green,,,,,11.27,Missed,,,,,,,,,,,,,,,,,,
176,PT09M04.00S,2021-02-17T00:45:38.2Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,38,30,2021-02-17T00:45:39Z,1760000,,,0,,R. Williams III REBOUND (Off:2 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,175.0,3.0,1.0,2.0,,,,,,,,,,,,,,
177,PT09M04.00S,2021-02-17T00:45:38.0Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629057,94.40999984741211,50.0,1610612738,40,30,2021-02-17T00:45:41Z,1770000,0.0,0.0,1,right,R. Williams III tip Layup (6 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Made,,,,,,,,,,6.0,,,,,,,,
178,PT08M52.00S,2021-02-17T00:45:51.1Z,2,REGULAR,turnover,lost ball,[],1627750,,,1610612743,40,30,2021-02-17T00:45:56Z,1780000,,,0,,J. Murray lost ball TURNOVER (4 TO),"[1627750, 1629057]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,4.0,Williams III,1629057.0,,
