actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
47,PT07M29.00S,2021-02-21T20:49:32.2Z,1,REGULAR,freethrow,1 of 1,[],1629627,,,1610612740,14,9,2021-02-21T20:49:32Z,460000,,,0,,Z. Williamson Free Throw 1 of 1 (3 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
48,PT07M19.00S,2021-02-21T20:49:46.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,81.15965834428384,46.392463235294116,1610612738,14,9,2021-02-21T20:49:51Z,470000,-18.0,125.0,1,right,MISS J. Tatum 12' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,12.59,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M15.00S,2021-02-21T20:49:50.3Z,1,REGULAR,rebound,defensive,[],202339,,,1610612740,14,9,2021-02-21T20:49:51Z,480000,,,0,,E. Bledsoe REBOUND (Off:0 Def:1),[202339],1610612740.0,NOP,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,
50,PT07M02.00S,2021-02-21T20:50:02.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626195,7.5722733245729295,51.049325980392155,1610612740,16,9,2021-02-21T20:50:07Z,490000,-5.0,19.0,1,left,W. Hernangomez Hook (4 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,1.94,Made,4.0,,,,,,,,,,,,,,,,,,
52,PT06M46.00S,2021-02-21T20:50:18.5Z,1,REGULAR,foul,personal,['3freethrow'],1627742,,,1610612738,16,9,2021-02-21T20:50:31Z,500000,,,0,,B. Ingram shooting personal FOUL (1 PF) (Brown 3 FT),"[1627742, 1627759]",1610612740.0,NOP,shooting,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Brown,1627759.0,,,
54,PT06M46.00S,2021-02-21T20:50:44.8Z,1,REGULAR,freethrow,1 of 3,[],1627759,,,1610612738,16,10,2021-02-21T20:50:44Z,520000,,,0,,J. Brown Free Throw 1 of 3 (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
55,PT06M46.00S,2021-02-21T20:50:56.2Z,1,REGULAR,freethrow,2 of 3,[],1627759,,,1610612738,16,11,2021-02-21T20:50:56Z,530000,,,0,,J. Brown Free Throw 2 of 3 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
56,PT06M46.00S,2021-02-21T20:50:57.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,16,11,2021-02-21T20:51:04Z,540000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M46.00S,2021-02-21T20:50:57.4Z,1,REGULAR,substitution,in,[],1630174,,,1610612738,16,11,2021-02-21T20:51:04Z,550000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M46.00S,2021-02-21T20:51:09.4Z,1,REGULAR,freethrow,3 of 3,[],1627759,,,1610612738,16,12,2021-02-21T20:51:09Z,560000,,,0,,J. Brown Free Throw 3 of 3 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
