actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
43,PT08M13.00S,2021-03-18T00:17:33.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629012,16.376478318002626,41.00030637254902,1610612739,7,2,2021-03-18T00:17:45Z,430000,45.0,101.0,1,left,C. Sexton 11' pullup Jump Shot (2 PTS),[1629012],1610612739.0,CLE,pullup,,,Sexton,C. Sexton,,,,,,,,,,11.09,Made,,,,,2.0,,,,,,,,,
44,PT08M00.00S,2021-03-18T00:17:45.2Z,1,REGULAR,3pt,Jump Shot,[],203935,69.33311432325887,74.82383578431373,1610612738,7,5,2021-03-18T00:17:50Z,440000,124.0,236.0,1,right,M. Smart 26' 3PT  (3 PTS) (D. Theis 1 AST),"[203935, 1628464]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,26.65,Made,,,,,3.0,,D. Theis,1628464.0,1.0,,,,,
46,PT07M49.00S,2021-03-18T00:17:57.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,6.389618922470433,50.314031862745104,1610612739,9,5,2021-03-18T00:18:02Z,460000,-2.0,8.0,1,left,D. Garland driving finger roll Layup (4 PTS),[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,,,,,,0.78,Made,,,,,4.0,,,,,,,,,
47,PT07M39.00S,2021-03-18T00:18:07.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201952,90.62089356110381,43.20618872549019,1610612738,9,5,2021-03-18T00:18:10Z,470000,-34.0,36.0,1,right,MISS J. Teague driving floating bank Shot,[201952],1610612738.0,BOS,driving floating bank,,,Teague,J. Teague,,,,,,,,,,4.93,Missed,,,,,,,,,,,,,,
48,PT07M37.00S,2021-03-18T00:18:10.0Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612739,9,5,2021-03-18T00:18:10Z,480000,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,
49,PT07M37.00S,2021-03-18T00:18:13.3Z,1,REGULAR,foul,personal,[],1628369,,,1610612739,9,5,2021-03-18T00:18:21Z,490000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 1629012]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1627529.0,1.0,0.0,Sexton,1629012.0,,,,,,,,,,,,,,,,
51,PT07M37.00S,2021-03-18T00:18:25.4Z,1,REGULAR,substitution,out,[],201952,,,1610612739,9,5,2021-03-18T00:18:32Z,510000,,,0,,SUB out: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M37.00S,2021-03-18T00:18:25.4Z,1,REGULAR,substitution,in,[],1627759,,,1610612739,9,5,2021-03-18T00:18:32Z,520000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M24.00S,2021-03-18T00:18:50.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,5.732588699080158,49.333639705882355,1610612739,11,5,2021-03-18T00:18:54Z,530000,3.0,1.0,1,left,J. Allen alley-oop DUNK (3 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,,,,,,0.36,Made,,,,,3.0,,D. Garland,1629636.0,1.0,,,,,
55,PT07M08.00S,2021-03-18T00:19:05.3Z,1,REGULAR,3pt,Jump Shot,[],203935,71.82982917214193,20.657169117647058,1610612738,11,8,2021-03-18T00:19:09Z,550000,-147.0,212.0,1,right,M. Smart 25' 3PT  (6 PTS) (D. Theis 2 AST),"[203935, 1628464]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,25.81,Made,,,,,6.0,,D. Theis,1628464.0,2.0,,,,,
57,PT06M49.00S,2021-03-18T00:19:24.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630171,8.09789750328515,48.59834558823529,1610612739,11,8,2021-03-18T00:19:30Z,570000,7.0,24.0,1,left,MISS I. Okoro turnaround Shot - blocked,"[1630171, 1627759]",1610612739.0,CLE,turnaround,,,Okoro,I. Okoro,,,,,,,,,,2.46,Missed,,,,,,,,,,Brown,1627759.0,,,
58,PT06M49.00S,2021-03-18T00:19:24.5Z,1,REGULAR,block,,[],1627759,,,1610612739,11,8,2021-03-18T00:19:27Z,580000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M46.00S,2021-03-18T00:19:27.5Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,11,8,2021-03-18T00:19:30Z,590000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,57.0,2.0,1.0,1.0,,,,,,,,,,
60,PT06M43.00S,2021-03-18T00:19:30.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628400,81.68528252299606,5.951286764705882,1610612738,11,8,2021-03-18T00:19:38Z,600000,-220.0,120.0,1,right,MISS S. Ojeleye 25' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,25.06,Missed,,,,,,,,,,,,,,
61,PT06M37.00S,2021-03-18T00:19:36.5Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612739,11,8,2021-03-18T00:19:38Z,610000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:3),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,60.0,3.0,3.0,0.0,,,,,,,,,,
62,PT06M33.00S,2021-03-18T00:19:41.3Z,1,REGULAR,2pt,Jump Shot,[],1629636,23.99802890932983,58.892463235294116,1610612739,13,8,2021-03-18T00:19:49Z,620000,-44.0,173.0,1,left,D. Garland 17' step back Jump Shot (6 PTS) (L. Nance Jr. 1 AST),"[1629636, 1626204]",1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,,,,,,17.87,Made,,,,,6.0,,L. Nance Jr.,1626204.0,1.0,,,,,
64,PT06M12.00S,2021-03-18T00:20:01.9Z,1,REGULAR,turnover,lost ball,[],203935,,,1610612738,13,8,2021-03-18T00:20:06Z,640000,,,0,,M. Smart lost ball TURNOVER (2 TO),"[203935, 1629636]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,2.0,,,,,,Garland,1629636.0,
65,PT06M12.00S,2021-03-18T00:20:01.9Z,1,REGULAR,steal,,[],1629636,,,1610612739,13,8,2021-03-18T00:20:04Z,650000,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M59.00S,2021-03-18T00:20:14.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629012,6.652431011826544,49.333639705882355,1610612739,13,8,2021-03-18T00:20:20Z,660000,3.0,10.0,1,left,MISS C. Sexton driving Layup - blocked,"[1629012, 1627759]",1610612739.0,CLE,driving,,,Sexton,C. Sexton,,,,,,,,,,1.05,Missed,,,,,,,,,,Brown,1627759.0,,,
67,PT05M59.00S,2021-03-18T00:20:14.9Z,1,REGULAR,block,,[],1627759,,,1610612739,13,8,2021-03-18T00:20:17Z,670000,,,0,,J. Brown BLOCK (2 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M56.00S,2021-03-18T00:20:17.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,13,8,2021-03-18T00:20:20Z,680000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,66.0,3.0,3.0,0.0,,,,,,,,,,
