actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
366,PT10M30.00S,2023-04-15T21:01:29.1Z,3,REGULAR,rebound,defensive,[],1629631,,,1610612737,76,46,2023-04-15T21:01:30Z,3640000,False,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Center,,,,,,,365.0,2.0,2.0,0.0,,,,,,,,,,
367,PT10M21.00S,2023-04-15T21:01:38.3Z,3,REGULAR,turnover,lost ball,[],1628381,,,1610612737,76,46,2023-04-15T21:01:46Z,3650000,False,,,0,,J. Collins lost ball TURNOVER (1 TO),"[1628381, 201143]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,1.0,Horford,201143.0,,,,,,,,,,,,,,,,,
368,PT10M21.00S,2023-04-15T21:01:38.3Z,3,REGULAR,steal,,[],201143,,,1610612738,76,46,2023-04-15T21:02:26Z,3660000,False,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
369,PT10M16.00S,2023-04-15T21:01:49.5Z,3,REGULAR,foul,personal,[],1628381,,,1610612738,76,46,2023-04-15T21:02:15Z,3670000,False,,,0,,J. Collins personal FOUL (1 PF),"[1628381, 1627759]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Brown,1627759.0
371,PT10M06.00S,2023-04-15T21:02:13.2Z,3,REGULAR,turnover,lost ball,[],1627759,,,1610612738,76,46,2023-04-15T21:03:07Z,3690000,False,,,0,,J. Brown lost ball TURNOVER (3 TO),"[1627759, 1629631]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,3.0,Hunter,1629631.0,,,,,,,,,,,,,,,,,
372,PT10M06.00S,2023-04-15T21:02:13.2Z,3,REGULAR,steal,,[],1629631,,,1610612737,76,46,2023-04-15T21:02:15Z,3700000,False,,,0,,D. Hunter STEAL (1 STL),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
373,PT10M02.00S,2023-04-15T21:02:17.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629631,92.19776609724047,45.83333333333333,1610612737,76,48,2023-04-15T21:02:24Z,3710000,False,-21.0,21.0,1,right,D. Hunter running finger roll Layup (4 PTS),[1629631],1610612737.0,ATL,running finger roll,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,2.94,Made,4.0,,,,,,,,,,,,,,
374,PT09M40.00S,2023-04-15T21:02:39.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,8.09789750328515,51.71568627450981,1610612738,76,48,2023-04-15T21:02:45Z,3720000,False,-9.0,24.0,1,left,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,2.51,Missed,,,,,,,,,,,,,,,
375,PT09M39.00S,2023-04-15T21:02:40.5Z,3,REGULAR,rebound,defensive,[],1629027,,,1610612737,76,48,2023-04-15T21:02:45Z,3730000,False,,,0,,T. Young REBOUND (Off:1 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,374.0,2.0,1.0,1.0,,,,,,,,,,
376,PT09M32.00S,2023-04-15T21:02:47.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627749,92.19776609724047,46.07843137254902,1610612737,76,50,2023-04-15T21:03:01Z,3740000,False,-20.0,21.0,1,right,D. Murray running Layup (12 PTS) (T. Young 6 AST),"[1627749, 1629027]",1610612737.0,ATL,running,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,2.86,Made,12.0,,,,,,,T. Young,1629027.0,6.0,,,,,
378,PT09M10.00S,2023-04-15T21:03:08.4Z,3,REGULAR,3pt,Jump Shot,[],1627759,25.443495400788436,86.27450980392157,1610612738,76,50,2023-04-15T21:03:13Z,3760000,False,-181.0,187.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,26.03,Missed,,,,,,,,,,,,,,,
