actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
19,PT10M37.00S,2023-05-28T00:34:49.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,3,2,2023-05-28T00:34:50Z,190000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M21.00S,2023-05-28T00:35:15.4Z,1,REGULAR,2pt,Jump Shot,[],1628389,72.7496714848883,49.50980392156863,1610612748,5,2,2023-05-28T00:35:18Z,210000,False,-2.0,204.0,1,right,B. Adebayo 20' Jump Shot (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,20.37,Made,,,,,,,2.0,,,,,,,,,,,
23,PT09M54.00S,2023-05-28T00:35:54.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,26.10052562417871,29.166666666666668,1610612738,5,4,2023-05-28T00:35:58Z,230000,False,104.0,193.0,1,left,J. Brown 21' step back Jump Shot (4 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,21.92,Made,,,,,,,4.0,,,,,,,,,,,
25,PT09M38.00S,2023-05-28T00:36:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,94.03745072273325,57.59803921568627,1610612748,5,4,2023-05-28T00:36:15Z,250000,False,38.0,4.0,1,right,MISS J. Butler alley-oop Layup,[202710],1610612748.0,MIA,alley-oop,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,3.82,Missed,,,,,,,,,,,,,,,,,,
26,PT09M36.00S,2023-05-28T00:36:13.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,4,2023-05-28T00:36:15Z,260000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M27.00S,2023-05-28T00:36:26.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,9.674770039421814,45.588235294117645,1610612738,5,4,2023-05-28T00:41:14Z,270000,False,22.0,38.0,1,left,MISS A. Horford turnaround Hook - blocked,"[201143, 1628997]",1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,4.43,Missed,,,,,Martin,1628997.0,,,,,,,,,,,,
28,PT09M27.00S,2023-05-28T00:36:26.0Z,1,REGULAR,block,,[],1628997,,,1610612738,5,4,2023-05-28T00:36:29Z,280000,False,,,0,,C. Martin BLOCK (1 BLK),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M24.00S,2023-05-28T00:36:29.0Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,5,4,2023-05-28T00:41:14Z,290000,False,,,0,,C. Martin REBOUND (Off:0 Def:2),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M04.00S,2023-05-28T00:36:45.2Z,1,REGULAR,3pt,Jump Shot,[],1629622,69.07030223390277,33.57843137254902,1610612748,5,4,2023-05-28T00:36:49Z,300000,False,-82.0,238.0,1,right,MISS M. Strus 25' step back 3PT,[1629622],1610612748.0,MIA,step back,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,25.2,Missed,,,,,,,,,,,,,,,,,,
31,PT09M01.00S,2023-05-28T00:36:48.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,5,4,2023-05-28T00:36:49Z,310000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,
