actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
173,PT00M19.50S,2023-05-06T00:23:27.3Z,1,REGULAR,substitution,in,[],1627863,,,1610612755,28,28,2023-05-06T00:23:34Z,1700000,False,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT00M19.50S,2023-05-06T00:23:49.4Z,1,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,29,28,2023-05-06T00:23:49Z,1710000,False,,,0,,T. Maxey Free Throw 2 of 2 (4 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
175,PT00M06.70S,2023-05-06T00:24:08.3Z,1,REGULAR,foul,personal,[],1629667,,,1610612738,29,28,2023-05-06T00:24:15Z,1720000,False,,,0,,J. McDaniels personal FOUL (1 PF),"[1629667, 203935]",1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,202049.0,1.0,0.0,Smart,203935.0,,,,,
177,PT00M06.70S,2023-05-06T00:24:35.1Z,1,REGULAR,substitution,out,[],1630178,,,1610612738,29,28,2023-05-06T00:24:39Z,1740000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT00M06.70S,2023-05-06T00:24:35.1Z,1,REGULAR,substitution,in,[],200782,,,1610612738,29,28,2023-05-06T00:24:39Z,1750000,False,,,0,,SUB in: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT00M00.60S,2023-05-06T00:24:52.6Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,29,28,2023-05-06T00:24:57Z,1760000,False,,,0,,J. Brown bad pass TURNOVER (2 TO),"[1627759, 1629001]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,2.0,,,Melton,1629001.0
180,PT00M00.60S,2023-05-06T00:24:52.6Z,1,REGULAR,steal,,[],1629001,,,1610612755,29,28,2023-05-06T00:24:54Z,1770000,False,,,0,,D. Melton STEAL (2 STL),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
181,PT00M00.00S,2023-05-06T00:25:09.7Z,1,REGULAR,period,end,[],0,,,1610612755,29,28,2023-05-06T00:25:09Z,1780000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2023-05-06T00:26:06.7Z,2,REGULAR,substitution,out,['startperiod'],1629667,,,1610612755,29,28,2023-05-06T00:28:37Z,1790000,False,,,0,,SUB out: J. McDaniels,[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2023-05-06T00:26:06.7Z,2,REGULAR,substitution,out,['startperiod'],1627863,,,1610612755,29,28,2023-05-06T00:28:37Z,1800000,False,,,0,,SUB out: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2023-05-06T00:26:06.7Z,2,REGULAR,substitution,out,['startperiod'],200782,,,1610612755,29,28,2023-05-06T00:28:37Z,1810000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2023-05-06T00:26:06.7Z,2,REGULAR,substitution,out,['startperiod'],1627759,,,1610612755,29,28,2023-05-06T00:28:37Z,1820000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2023-05-06T00:26:06.7Z,2,REGULAR,substitution,in,['startperiod'],202699,,,1610612755,29,28,2023-05-06T00:28:37Z,1830000,False,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2023-05-06T00:26:06.7Z,2,REGULAR,substitution,in,['startperiod'],1627777,,,1610612755,29,28,2023-05-06T00:28:37Z,1840000,False,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2023-05-06T00:26:06.7Z,2,REGULAR,substitution,in,['startperiod'],201935,,,1610612755,29,28,2023-05-06T00:28:37Z,1850000,False,,,0,,SUB in: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2023-05-06T00:26:06.7Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612755,29,28,2023-05-06T00:28:37Z,1860000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT12M00.00S,2023-05-06T00:27:07.7Z,2,REGULAR,period,start,[],0,,,1610612738,29,28,2023-05-06T00:29:07Z,1890000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT12M00.00S,2023-05-06T00:28:43.6Z,2,REGULAR,foul,technical,['1freethrow'],1629001,,,1610612738,29,28,2023-05-06T01:12:36Z,1893750,False,,,0,,D. Melton technical FOUL (1 Tech),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,202049.0,0.0,1.0,,,,,,,
191,PT12M00.00S,2023-05-06T00:28:54.4Z,2,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,29,29,2023-05-06T01:13:21Z,1897500,False,,,0,,J. Tatum technical Free Throw 1 of 1 (11 PTS),[1628369],1610612738.0,BOS,technical,,,Tatum,J. Tatum,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
193,PT11M39.00S,2023-05-06T00:29:28.1Z,2,REGULAR,3pt,Jump Shot,[],1629684,93.08475689881735,98.2843137254902,1610612738,29,29,2023-05-06T00:29:32Z,1900000,False,241.0,13.0,1,right,MISS G. Williams 24' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Right Corner 3,24+ Right,24.17,Missed,,,,,,,,,,,,,,,,,,
194,PT11M36.00S,2023-05-06T00:29:31.1Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,29,29,2023-05-06T00:29:32Z,1910000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,,,,,,,193.0,1.0,1.0,0.0,,,,,,,,,,
195,PT11M26.00S,2023-05-06T00:29:40.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,13.584099868593952,50.49019607843137,1610612755,31,29,2023-05-06T00:29:44Z,1920000,False,-2.0,75.0,1,left,T. Harris 7' turnaround Jump Shot (2 PTS),[202699],1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,7.52,Made,2.0,,,,,,,,,,,,,,,,,
196,PT11M03.00S,2023-05-06T00:30:06.3Z,2,REGULAR,foul,personal,['2freethrow'],1629001,,,1610612738,31,29,2023-05-06T00:30:17Z,1930000,False,,,0,,D. Melton shooting personal FOUL (1 PF) (Smart 2 FT),"[1629001, 203935]",1610612755.0,PHI,shooting,,,Melton,D. Melton,,,,,Mid-Range,8-16 Right,,,,,,,,,,,202049.0,1.0,1.0,Smart,203935.0,,,,,
198,PT11M03.00S,2023-05-06T00:30:28.0Z,2,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,31,30,2023-05-06T00:30:28Z,1950000,False,,,0,,M. Smart Free Throw 1 of 2 (4 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
199,PT11M03.00S,2023-05-06T00:30:41.9Z,2,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,31,31,2023-05-06T00:30:41Z,1960000,False,,,0,,M. Smart Free Throw 2 of 2 (5 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
200,PT10M41.00S,2023-05-06T00:31:04.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,13.32128777923785,47.05882352941176,1610612755,31,31,2023-05-06T00:31:10Z,1970000,False,15.0,73.0,1,left,MISS T. Harris 7' driving floating Shot - blocked,"[202699, 1629057]",1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,7.42,Missed,,,,,,,,,,,,,,,Williams III,1629057.0,,
201,PT10M41.00S,2023-05-06T00:31:04.9Z,2,REGULAR,block,,[],1629057,,,1610612755,31,31,2023-05-06T00:31:07Z,1980000,False,,,0,,R. Williams III BLOCK (3 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
202,PT10M38.00S,2023-05-06T00:31:07.9Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,31,31,2023-05-06T00:31:10Z,1990000,False,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,200.0,1.0,1.0,0.0,,,,,,,,,,
203,PT10M33.00S,2023-05-06T00:31:13.9Z,2,REGULAR,turnover,lost ball,[],1627763,,,1610612738,31,31,2023-05-06T00:31:18Z,2000000,False,,,0,,M. Brogdon lost ball TURNOVER (1 TO),"[1627763, 1629001]",1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,,,Melton,1629001.0
204,PT10M33.00S,2023-05-06T00:31:13.9Z,2,REGULAR,steal,,[],1629001,,,1610612755,31,31,2023-05-06T00:31:15Z,2010000,False,,,0,,D. Melton STEAL (3 STL),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
205,PT10M23.00S,2023-05-06T00:31:23.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629001,13.584099868593952,43.872549019607845,1610612755,31,31,2023-05-06T00:31:27Z,2020000,False,31.0,75.0,1,left,MISS D. Melton 8' driving floating Shot,[1629001],1610612755.0,PHI,driving floating,,,Melton,D. Melton,,,,,In The Paint (Non-RA),8-16 Center,8.12,Missed,,,,,,,,,,,,,,,,,,
206,PT10M20.00S,2023-05-06T00:31:26.5Z,2,REGULAR,rebound,offensive,[],202699,,,1610612755,31,31,2023-05-06T00:31:26Z,2030000,False,,,0,,T. Harris REBOUND (Off:1 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,205.0,2.0,1.0,1.0,,,,,,,,,,
207,PT10M20.00S,2023-05-06T00:31:26.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",202699,5.590000152587891,50.0,1610612755,33,31,2023-05-06T00:31:26Z,2040000,False,0.0,0.0,1,left,T. Harris tip Layup (4 PTS),[202699],1610612755.0,PHI,tip,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
208,PT10M14.00S,2023-05-06T00:31:32.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627763,83.22930354796321,47.549019607843135,1610612738,33,31,2023-05-06T00:31:39Z,2050000,False,-12.0,105.0,1,right,MISS M. Brogdon 10' driving floating Shot,[1627763],1610612738.0,BOS,driving floating,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),8-16 Center,10.58,Missed,,,,,,,,,,,,,,,,,,
209,PT10M13.00S,2023-05-06T00:31:35.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,33,31,2023-05-06T00:31:35Z,2060000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,208.0,,,,,,,,,,,,,
211,PT10M10.00S,2023-05-06T00:31:57.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203935,94.13600525624179,48.28431372549019,1610612738,33,33,2023-05-06T00:32:01Z,2080000,False,-9.0,3.0,1,right,M. Smart driving finger roll Layup (7 PTS) (M. Brogdon 1 AST),"[203935, 1627763]",1610612738.0,BOS,driving finger roll,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,0.9,Made,7.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,,,
213,PT09M55.00S,2023-05-06T00:32:15.8Z,2,REGULAR,foul,personal,['3freethrow'],203935,,,1610612755,33,33,2023-05-06T00:32:23Z,2100000,False,,,0,,M. Smart shooting personal FOUL (2 PF) (Harden 3 FT),"[203935, 201935]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1162.0,2.0,0.0,Harden,201935.0,,,,,
215,PT09M55.00S,2023-05-06T00:32:42.7Z,2,REGULAR,freethrow,1 of 3,[],201935,,,1610612755,34,33,2023-05-06T00:32:42Z,2120000,False,,,0,,J. Harden Free Throw 1 of 3 (6 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
216,PT09M55.00S,2023-05-06T00:33:00.3Z,2,REGULAR,freethrow,2 of 3,[],201935,,,1610612755,35,33,2023-05-06T00:33:00Z,2130000,False,,,0,,J. Harden Free Throw 2 of 3 (7 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
217,PT09M55.00S,2023-05-06T00:33:15.1Z,2,REGULAR,freethrow,3 of 3,[],201935,,,1610612755,36,33,2023-05-06T00:33:15Z,2140000,False,,,0,,J. Harden Free Throw 3 of 3 (8 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
218,PT09M38.00S,2023-05-06T00:33:41.0Z,2,REGULAR,foul,personal,[],202699,,,1610612738,36,33,2023-05-06T00:33:47Z,2150000,False,,,0,,T. Harris personal FOUL (3 PF),"[202699, 1629057]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1162.0,3.0,0.0,Williams III,1629057.0,,,,,
220,PT09M28.00S,2023-05-06T00:34:07.4Z,2,REGULAR,3pt,Jump Shot,[],203935,72.45400788436268,86.76470588235294,1610612738,36,33,2023-05-06T00:34:12Z,2170000,False,184.0,206.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,27.64,Missed,,,,,,,,,,,,,,,,,,
221,PT09M24.00S,2023-05-06T00:34:11.4Z,2,REGULAR,rebound,defensive,[],201935,,,1610612755,36,33,2023-05-06T00:34:12Z,2180000,False,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,,,,,,,220.0,2.0,2.0,0.0,,,,,,,,,,
222,PT09M17.00S,2023-05-06T00:34:17.9Z,2,REGULAR,3pt,Jump Shot,[],201935,34.08344283837057,39.950980392156865,1610612755,36,33,2023-05-06T00:34:22Z,2190000,False,50.0,268.0,1,left,MISS J. Harden 27' pullup 3PT,[201935],1610612755.0,PHI,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,27.26,Missed,,,,,,,,,,,,,,,,,,
223,PT09M15.00S,2023-05-06T00:34:19.9Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,36,33,2023-05-06T00:34:22Z,2200000,False,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,,,,,,,222.0,2.0,2.0,0.0,,,,,,,,,,
224,PT09M06.00S,2023-05-06T00:34:29.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,94.26741130091985,49.26470588235294,1610612738,36,35,2023-05-06T00:34:32Z,2210000,False,-4.0,1.0,1,right,J. Tatum driving Layup (13 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.4,Made,13.0,,,,,,,,,,,,,,,,,
225,PT09M00.00S,2023-05-06T00:34:35.8Z,2,REGULAR,2pt,Jump Shot,[],202699,24.096583442838366,28.431372549019613,1610612755,36,35,2023-05-06T00:36:30Z,2220000,False,108.0,174.0,1,left,MISS T. Harris 20' pullup Shot,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right Center,20.47,Missed,,,,,,,,,,,,,,,,,,
226,PT08M56.00S,2023-05-06T00:34:39.8Z,2,REGULAR,rebound,defensive,[],1627763,,,1610612738,36,35,2023-05-06T00:36:30Z,2230000,False,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Mid-Range,16-24 Right Center,,,,,,,225.0,1.0,1.0,0.0,,,,,,,,,,
227,PT08M51.00S,2023-05-06T00:34:43.8Z,2,REGULAR,3pt,Jump Shot,[],1627763,74.68791064388962,87.00980392156862,1610612738,36,35,2023-05-06T00:34:52Z,2240000,False,185.0,185.0,1,right,MISS M. Brogdon 26' 3PT,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Right Center,26.19,Missed,,,,,,,,,,,,,,,,,,
228,PT08M45.00S,2023-05-06T00:34:49.8Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,36,35,2023-05-06T00:34:52Z,2250000,False,,,0,,T. Harris REBOUND (Off:1 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,,,,227.0,3.0,2.0,1.0,,,,,,,,,,
229,PT08M44.00S,2023-05-06T00:34:51.7Z,2,REGULAR,turnover,bad pass,[],202699,,,1610612755,36,35,2023-05-06T00:35:24Z,2260000,False,,,0,,T. Harris bad pass TURNOVER (2 TO),"[202699, 203935]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,2.0,,,Smart,203935.0
230,PT08M44.00S,2023-05-06T00:34:51.7Z,2,REGULAR,steal,,[],203935,,,1610612738,36,35,2023-05-06T00:35:24Z,2270000,False,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
231,PT08M35.00S,2023-05-06T00:35:00.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,95.58147174770039,3.9215686274509807,1610612738,36,35,2023-05-06T00:37:38Z,2280000,False,-230.0,-11.0,1,right,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Left Corner 3,24+ Left,23.07,Missed,,,,,,,,,,,,,,,,,,
232,PT08M34.00S,2023-05-06T00:35:01.2Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,36,35,2023-05-06T00:35:04Z,2290000,False,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Mid-Range,16-24 Left Center,,,,,,,231.0,1.0,0.0,1.0,,,,,,,,,,
233,PT08M34.00S,2023-05-06T00:35:03.9Z,2,REGULAR,3pt,Jump Shot,"['2ndchance', 'fromturnover']",203935,68.64323258869908,71.07843137254902,1610612738,36,38,2023-05-06T00:35:24Z,2300000,False,105.0,242.0,1,right,M. Smart 26' 3PT  (10 PTS) (M. Brogdon 2 AST),"[203935, 1627763]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,26.42,Made,10.0,M. Brogdon,1627763.0,2.0,,,,,,,,,,,,,,
235,PT08M34.00S,2023-05-06T00:35:28.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,36,38,2023-05-06T00:35:28Z,2320000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT08M34.00S,2023-05-06T00:38:03.7Z,2,REGULAR,substitution,out,[],1628369,,,1610612755,36,38,2023-05-06T00:38:32Z,2330000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT08M34.00S,2023-05-06T00:38:03.7Z,2,REGULAR,substitution,out,[],203935,,,1610612755,36,38,2023-05-06T00:38:32Z,2340000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT08M34.00S,2023-05-06T00:38:03.7Z,2,REGULAR,substitution,in,[],1628401,,,1610612755,36,38,2023-05-06T00:38:32Z,2350000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT08M34.00S,2023-05-06T00:38:03.7Z,2,REGULAR,substitution,in,[],1627759,,,1610612755,36,38,2023-05-06T00:38:32Z,2360000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT08M34.00S,2023-05-06T00:38:33.9Z,2,REGULAR,substitution,out,[],202699,,,1610612755,36,38,2023-05-06T00:38:42Z,2370000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT08M34.00S,2023-05-06T00:38:33.9Z,2,REGULAR,substitution,in,[],1630178,,,1610612755,36,38,2023-05-06T00:38:42Z,2380000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT08M17.00S,2023-05-06T00:38:58.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,13.584099868593952,46.568627450980394,1610612755,36,38,2023-05-06T00:47:57Z,2390000,False,17.0,75.0,1,left,MISS J. Harden 7' step back Shot,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,7.71,Missed,,,,,,,,,,,,,,,,,,
243,PT08M16.00S,2023-05-06T00:38:59.2Z,2,REGULAR,rebound,offensive,[],1630194,,,1610612755,36,38,2023-05-06T00:47:57Z,2400000,False,,,0,,P. Reed REBOUND (Off:1 Def:0),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,242.0,1.0,0.0,1.0,,,,,,,,,,
244,PT08M09.00S,2023-05-06T00:39:06.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201935,15.029566360052556,35.78431372549019,1610612755,36,38,2023-05-06T00:39:09Z,2410000,False,71.0,89.0,1,left,MISS J. Harden 11' pullup Shot,[201935],1610612755.0,PHI,pullup,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Right,11.38,Missed,,,,,,,,,,,,,,,,,,
245,PT08M06.00S,2023-05-06T00:39:09.3Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,36,38,2023-05-06T00:39:09Z,2420000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,244.0,2.0,2.0,0.0,,,,,,,,,,
246,PT07M48.00S,2023-05-06T00:39:28.4Z,2,REGULAR,foul,personal,['3freethrow'],1630178,,,1610612738,36,38,2023-05-06T00:39:38Z,2430000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (White 3 FT),"[1630178, 1628401]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,200834.0,1.0,0.0,White,1628401.0,,,,,
248,PT07M48.00S,2023-05-06T00:40:04.8Z,2,REGULAR,freethrow,1 of 3,[],1628401,,,1610612738,36,39,2023-05-06T00:40:04Z,2450000,False,,,0,,D. White Free Throw 1 of 3 (7 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
249,PT07M48.00S,2023-05-06T00:40:21.0Z,2,REGULAR,freethrow,2 of 3,[],1628401,,,1610612738,36,40,2023-05-06T00:40:21Z,2460000,False,,,0,,D. White Free Throw 2 of 3 (8 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
250,PT07M48.00S,2023-05-06T00:40:21.9Z,2,REGULAR,substitution,out,[],1629001,,,1610612738,36,40,2023-05-06T00:40:30Z,2470000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT07M48.00S,2023-05-06T00:40:21.9Z,2,REGULAR,substitution,out,[],1630194,,,1610612738,36,40,2023-05-06T00:40:30Z,2480000,False,,,0,,SUB out: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT07M48.00S,2023-05-06T00:40:21.9Z,2,REGULAR,substitution,in,[],203954,,,1610612738,36,40,2023-05-06T00:40:30Z,2490000,False,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT07M48.00S,2023-05-06T00:40:21.9Z,2,REGULAR,substitution,in,[],200782,,,1610612738,36,40,2023-05-06T00:40:30Z,2500000,False,,,0,,SUB in: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT07M48.00S,2023-05-06T00:40:33.0Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,36,40,2023-05-06T00:40:35Z,2510000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT07M48.00S,2023-05-06T00:40:33.0Z,2,REGULAR,substitution,in,[],201143,,,1610612738,36,40,2023-05-06T00:40:35Z,2520000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
