actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
324,PT07M38.00S,2023-05-30T01:52:21.9Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612738,51,61,2023-05-30T01:52:27Z,3160000,False,,,0,,R. Williams III REBOUND (Off:2 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Right Corner 3,24+ Right,,,,,,,,323.0,5.0,3.0,2.0,,,,,,,,,
325,PT07M28.00S,2023-05-30T01:52:33.0Z,3,REGULAR,3pt,Jump Shot,[],1627759,34.510512483574246,48.28431372549019,1610612738,51,61,2023-05-30T01:52:39Z,3170000,False,9.0,272.0,1,left,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,27.2,,,,,,,,
326,PT07M26.00S,2023-05-30T01:52:35.0Z,3,REGULAR,rebound,defensive,[],1629622,,,1610612748,51,61,2023-05-30T01:52:39Z,3180000,False,,,0,,M. Strus REBOUND (Off:0 Def:3),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,,,,,,,,325.0,3.0,3.0,0.0,,,,,,,,,
327,PT07M11.00S,2023-05-30T01:52:49.1Z,3,REGULAR,2pt,Jump Shot,[],1628997,91.5407358738502,19.362745098039216,1610612748,51,63,2023-05-30T01:52:53Z,3190000,False,-153.0,27.0,1,right,C. Martin 15' turnaround fadeaway Jump Shot (18 PTS),[1628997],1610612748.0,MIA,turnaround fadeaway,,,Martin,C. Martin,,,,,Mid-Range,8-16 Left,,,,,,Made,18.0,,,,,15.56,,,,,,,,
328,PT06M49.00S,2023-05-30T01:53:12.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,7.5722733245729295,44.85294117647059,1610612738,53,63,2023-05-30T01:53:18Z,3200000,False,26.0,19.0,1,left,R. Williams III reverse Layup (8 PTS) (J. Tatum 4 AST),"[1629057, 1628369]",1610612738.0,BOS,reverse,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,Made,8.0,,,,,3.18,,J. Tatum,1628369.0,4.0,,,,
330,PT06M24.00S,2023-05-30T01:53:37.1Z,3,REGULAR,2pt,Jump Shot,[],1628389,91.5407358738502,21.813725490196077,1610612748,53,63,2023-05-30T01:55:10Z,3220000,False,-141.0,27.0,1,right,MISS B. Adebayo 14' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,,,,,,Missed,,,,,,14.35,,,,,,,,
331,PT06M23.00S,2023-05-30T01:53:38.1Z,3,REGULAR,rebound,defensive,[],1627759,,,1610612738,53,63,2023-05-30T01:53:44Z,3230000,False,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,,,,,,,,330.0,4.0,4.0,0.0,,,,,,,,,
332,PT06M15.00S,2023-05-30T01:53:45.8Z,3,REGULAR,3pt,Jump Shot,[],1628401,27.808804204993432,15.441176470588236,1610612738,53,63,2023-05-30T01:56:12Z,3240000,False,173.0,209.0,1,left,MISS D. White 27' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,27.11,,,,,,,,
333,PT06M14.00S,2023-05-30T01:53:46.8Z,3,REGULAR,rebound,defensive,[],1629622,,,1610612748,53,63,2023-05-30T01:53:52Z,3250000,False,,,0,,M. Strus REBOUND (Off:0 Def:4),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,,,,,,332.0,4.0,4.0,0.0,,,,,,,,,
334,PT05M53.00S,2023-05-30T01:54:08.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],202710,91.5407358738502,44.6078431372549,1610612748,53,63,2023-05-30T01:54:28Z,3260000,False,-27.0,27.0,1,right,MISS J. Butler driving reverse Layup,[202710],1610612748.0,MIA,driving reverse,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.82,,,,,,,,
