actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
201,PT07M13.00S,2023-05-10T00:15:46.7Z,2,REGULAR,substitution,out,[],1627763,,,1610612738,33,42,2023-05-10T00:15:58Z,2010000,False,,,0,,SUB out: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT07M13.00S,2023-05-10T00:15:46.7Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,33,42,2023-05-10T00:15:58Z,2020000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT07M13.00S,2023-05-10T00:15:46.7Z,2,REGULAR,substitution,out,[],1627777,,,1610612738,33,42,2023-05-10T00:15:58Z,2030000,False,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT07M13.00S,2023-05-10T00:15:46.7Z,2,REGULAR,substitution,in,[],201143,,,1610612738,33,42,2023-05-10T00:15:58Z,2040000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT07M13.00S,2023-05-10T00:15:46.7Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,33,42,2023-05-10T00:15:58Z,2050000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT07M13.00S,2023-05-10T00:15:46.7Z,2,REGULAR,substitution,in,[],200782,,,1610612738,33,42,2023-05-10T00:15:58Z,2060000,False,,,0,,SUB in: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT07M09.00S,2023-05-10T00:16:11.1Z,2,REGULAR,foul,personal,['2freethrow'],202699,,,1610612738,33,42,2023-05-10T00:16:19Z,2070000,False,,,0,,T. Harris shooting personal FOUL (2 PF) (Tatum 2 FT),"[202699, 1628369]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,204059.0,2.0,0.0,Tatum,1628369.0,,,,,,,,
209,PT07M09.00S,2023-05-10T00:16:36.6Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1628369,,,1610612738,34,42,2023-05-10T00:17:03Z,2090000,False,,,0,,J. Tatum Free Throw 1 of 2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
210,PT07M09.00S,2023-05-10T00:16:37.2Z,2,REGULAR,substitution,out,[],201935,,,1610612738,34,42,2023-05-10T00:16:43Z,2100000,False,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M09.00S,2023-05-10T00:16:37.2Z,2,REGULAR,substitution,in,[],1629001,,,1610612738,34,42,2023-05-10T00:16:43Z,2110000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
