actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
486,PT10M14.00S,2023-04-28T02:22:35.3Z,4,REGULAR,rebound,defensive,[],1630180,,,1610612737,104,104,2023-04-28T02:22:38Z,4750000,False,,,0,,S. Bey REBOUND (Off:1 Def:3),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Center,,,,,,,,,,485.0,4.0,3.0,1.0,,,,,,,
488,PT10M02.00S,2023-04-28T02:23:05.4Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,18.610381077529567,50.49019607843137,1610612737,104,104,2023-04-28T02:23:10Z,4770000,False,-2.0,122.0,1,left,MISS T. Young 12' driving floating Shot - blocked,"[1629027, 1628401]",1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,12.24,Missed,,,,,,,,,,,,White,1628401.0,,,,,
489,PT10M02.00S,2023-04-28T02:23:05.4Z,4,REGULAR,block,,[],1628401,,,1610612737,104,104,2023-04-28T02:23:35Z,4780000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
490,PT09M58.00S,2023-04-28T02:23:09.4Z,4,REGULAR,rebound,defensive,[],1629057,,,1610612738,104,104,2023-04-28T02:23:10Z,4790000,False,,,0,,R. Williams III REBOUND (Off:0 Def:6),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,488.0,6.0,6.0,0.0,,,,,,,
491,PT09M46.00S,2023-04-28T02:23:21.8Z,4,REGULAR,3pt,Jump Shot,[],1628401,81.02825229960578,8.088235294117647,1610612738,104,104,2023-04-28T02:23:26Z,4800000,False,-210.0,126.0,1,right,MISS D. White 24' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,24.45,Missed,,,,,,,,,,,,,,,,,,
492,PT09M43.00S,2023-04-28T02:23:24.8Z,4,REGULAR,rebound,defensive,[],1630168,,,1610612737,104,104,2023-04-28T02:23:26Z,4810000,False,,,0,,O. Okongwu REBOUND (Off:3 Def:7),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,491.0,10.0,7.0,3.0,,,,,,,
493,PT09M32.00S,2023-04-28T02:23:38.0Z,4,REGULAR,foul,offensive,[],1628381,,,1610612737,104,104,2023-04-28T02:23:43Z,4820000,False,,,0,,J. Collins charge offensive FOUL (1 PF),"[1628381, 1629684]",1610612737.0,ATL,charge,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Williams,1629684.0
495,PT09M32.00S,2023-04-28T02:23:38.0Z,4,REGULAR,turnover,offensive foul,[],1628381,,,1610612737,104,104,2023-04-28T02:23:38Z,4840000,False,,,0,,J. Collins offensive foul TURNOVER (2 TO),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2.0,,,,,,,,,1627962.0,,,,
496,PT09M20.00S,2023-04-28T02:24:23.8Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,92.9862023653088,50.245098039215684,1610612738,104,104,2023-04-28T02:24:29Z,4850000,False,1.0,13.0,1,right,MISS J. Brown driving reverse Layup - blocked,"[1627759, 1630168]",1610612738.0,BOS,driving reverse,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.35,Missed,,,,,,,,,,,,Okongwu,1630168.0,,,,,
497,PT09M20.00S,2023-04-28T02:24:23.8Z,4,REGULAR,block,,[],1630168,,,1610612738,104,104,2023-04-28T02:24:26Z,4860000,False,,,0,,O. Okongwu BLOCK (1 BLK),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
498,PT09M16.00S,2023-04-28T02:24:27.8Z,4,REGULAR,rebound,defensive,[],1628381,,,1610612737,104,104,2023-04-28T02:24:29Z,4870000,False,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,496.0,2.0,2.0,0.0,,,,,,,
499,PT09M11.00S,2023-04-28T02:24:32.1Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,8.886333771353483,57.35294117647059,1610612737,106,104,2023-04-28T02:26:00Z,4880000,False,-37.0,31.0,1,left,D. Murray driving floating bank Jump Shot (11 PTS),[1627749],1610612737.0,ATL,driving floating bank,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,4.81,Made,11.0,,,,,,,,,,,,,,,,,
500,PT09M02.00S,2023-04-28T02:24:41.4Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,94.03745072273325,51.225490196078425,1610612738,106,106,2023-04-28T02:24:47Z,4890000,False,6.0,4.0,1,right,J. Brown driving Layup (27 PTS) (M. Brogdon 4 AST),"[1627759, 1627763]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,0.7,Made,27.0,M. Brogdon,1627763.0,4.0,,,,,,,,,,,,,,
501,PT08M45.00S,2023-04-28T02:24:59.5Z,4,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612737,106,106,2023-04-28T02:25:40Z,4900000,False,,,0,,R. Williams III shooting personal FOUL (2 PF) (Okongwu 2 FT),"[1629057, 1630168]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627962.0,2.0,0.0,Okongwu,1630168.0
503,PT08M45.00S,2023-04-28T02:25:45.3Z,4,REGULAR,freethrow,1 of 2,[],1630168,,,1610612737,106,106,2023-04-28T02:25:45Z,4920000,False,,,0,,MISS O. Okongwu Free Throw 1 of 2,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
504,PT08M45.00S,2023-04-28T02:25:45.3Z,4,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,106,106,2023-04-28T02:25:45Z,4930000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,503.0,,,,,,,,,,
