actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
167,PT10M31.00S,2023-05-18T01:03:31.9Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,34,35,2023-05-18T01:03:34Z,1670000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,166.0,4.0,4.0,0.0,,,,,,,,,,,,,,
168,PT10M28.00S,2023-05-18T01:03:35.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],200768,32.276609724047304,69.85294117647058,1610612748,34,38,2023-05-18T01:03:41Z,1680000,False,-99.0,251.0,1,left,K. Lowry 26' 3PT running pullup (8 PTS) (B. Adebayo 1 AST),"[200768, 1628389]",1610612748.0,MIA,running pullup,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,26.98,Made,,,,,,,8.0,B. Adebayo,1628389.0,1.0,,,,,,,,
169,PT10M15.00S,2023-05-18T01:03:48.3Z,2,REGULAR,3pt,Jump Shot,[],1628401,67.49342969776609,29.166666666666668,1610612738,34,38,2023-05-18T01:05:15Z,1690000,False,-104.0,253.0,1,right,MISS D. White 27' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,27.37,Missed,,,,,,,,,,,,,,,,,,
170,PT10M14.00S,2023-05-18T01:03:49.3Z,2,REGULAR,rebound,defensive,[],1628997,,,1610612748,34,38,2023-05-18T01:03:54Z,1700000,False,,,0,,C. Martin REBOUND (Off:0 Def:2),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,169.0,2.0,2.0,0.0,,,,,,,,,,,,,,
171,PT09M59.00S,2023-05-18T01:04:04.9Z,2,REGULAR,turnover,lost ball,[],1628389,,,1610612748,34,38,2023-05-18T01:04:15Z,1710000,False,,,0,,B. Adebayo lost ball TURNOVER (1 TO),"[1628389, 1628401]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,,,,White,1628401.0,,
172,PT09M59.00S,2023-05-18T01:04:04.9Z,2,REGULAR,steal,,[],1628401,,,1610612738,34,38,2023-05-18T01:04:08Z,1720000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
173,PT09M42.00S,2023-05-18T01:04:22.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627763,90.62089356110381,52.69607843137255,1610612738,36,38,2023-05-18T01:04:27Z,1730000,False,13.0,36.0,1,right,M. Brogdon driving Layup (10 PTS) (D. White 1 AST),"[1627763, 1628401]",1610612738.0,BOS,driving,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,3.82,Made,,,,,,,10.0,D. White,1628401.0,1.0,,,,,,,,
175,PT09M32.00S,2023-05-18T01:04:33.4Z,2,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612748,36,38,2023-05-18T01:04:51Z,1750000,False,,,0,,D. White shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1628401, 1628389]",1610612738.0,BOS,shooting,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1830.0,,,,,,1.0,0.0,Adebayo,1628389.0,,,,
177,PT09M32.00S,2023-05-18T01:05:05.0Z,2,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,36,38,2023-05-18T01:05:05Z,1770000,False,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
178,PT09M32.00S,2023-05-18T01:05:05.0Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,36,38,2023-05-18T01:05:05Z,1780000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,177.0,,,,,,,,,,,,,,,,,
180,PT09M32.00S,2023-05-18T01:05:06.9Z,2,REGULAR,substitution,out,[],1630202,,,1610612748,36,38,2023-05-18T01:05:19Z,1790000,False,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT09M32.00S,2023-05-18T01:05:06.9Z,2,REGULAR,substitution,in,[],1627759,,,1610612748,36,38,2023-05-18T01:05:19Z,1800000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT09M32.00S,2023-05-18T01:05:30.2Z,2,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,36,39,2023-05-18T01:05:30Z,1810000,False,,,0,,B. Adebayo Free Throw 2 of 2 (9 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,,,9.0,,,,,,,,,,,
183,PT09M10.00S,2023-05-18T01:05:55.3Z,2,REGULAR,3pt,Jump Shot,[],1628369,67.62483574244416,38.72549019607843,1610612738,36,39,2023-05-18T01:06:03Z,1820000,False,-56.0,252.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,25.8,Missed,,,,,,,,,,,,,,,,,,
184,PT09M09.00S,2023-05-18T01:05:56.3Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,36,39,2023-05-18T01:06:03Z,1830000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:5),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,183.0,5.0,5.0,0.0,,,,,,,,,,,,,,
185,PT09M01.00S,2023-05-18T01:06:11.5Z,2,REGULAR,violation,kicked ball,[],1627763,,,1610612748,36,39,2023-05-18T01:06:17Z,1840000,False,,,0,,M. Brogdon kicked ball VIOLATION,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,1179.0,,,,,,,,,,,,,
186,PT09M01.00S,2023-05-18T01:06:16.2Z,2,REGULAR,substitution,out,[],1627763,,,1610612748,36,39,2023-05-18T01:06:22Z,1850000,False,,,0,,SUB out: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT09M01.00S,2023-05-18T01:06:16.2Z,2,REGULAR,substitution,in,[],203935,,,1610612748,36,39,2023-05-18T01:06:22Z,1860000,False,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT08M56.00S,2023-05-18T01:06:35.7Z,2,REGULAR,3pt,Jump Shot,[],1629130,32.14520367936925,29.65686274509804,1610612748,36,39,2023-05-18T01:08:51Z,1870000,False,102.0,250.0,1,left,MISS D. Robinson 26' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,26.96,Missed,,,,,,,,,,,,,,,,,,
189,PT08M54.00S,2023-05-18T01:06:37.7Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,36,39,2023-05-18T01:06:42Z,1880000,False,,,0,,R. Williams III REBOUND (Off:3 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Right Center,,,188.0,4.0,1.0,3.0,,,,,,,,,,,,,,
190,PT08M42.00S,2023-05-18T01:06:50.7Z,2,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612738,36,39,2023-05-18T01:07:01Z,1890000,False,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Williams III 2 FT),"[1628389, 1629057]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,1830.0,,,,,,1.0,0.0,Williams III,1629057.0,,,,
192,PT08M42.00S,2023-05-18T01:07:19.6Z,2,REGULAR,freethrow,1 of 2,[],1629057,,,1610612738,36,39,2023-05-18T01:07:19Z,1910000,False,,,0,,MISS R. Williams III Free Throw 1 of 2,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
193,PT08M42.00S,2023-05-18T01:07:19.6Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,36,39,2023-05-18T01:07:19Z,1920000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,192.0,,,,,,,,,,,,,,,,,
194,PT08M42.00S,2023-05-18T01:07:37.8Z,2,REGULAR,freethrow,2 of 2,[],1629057,,,1610612738,37,39,2023-05-18T01:07:37Z,1930000,False,,,0,,R. Williams III Free Throw 2 of 2 (7 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
195,PT08M32.00S,2023-05-18T01:07:48.9Z,2,REGULAR,3pt,Jump Shot,[],1629216,24.441524310118265,85.07199754901961,1610612748,37,39,2023-05-18T01:11:03Z,1940000,False,-175.0,177.0,1,left,MISS G. Vincent 24' step back 3PT,[1629216],1610612748.0,MIA,step back,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Left Center,24.94,Missed,,,,,,,,,,,,,,,,,,
196,PT08M31.00S,2023-05-18T01:07:49.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,37,39,2023-05-18T01:11:03Z,1950000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Left Center,,,195.0,,,,,,,,,,,,,,,,,
197,PT08M31.00S,2023-05-18T01:07:57.2Z,2,REGULAR,foul,personal,[],1628401,,,1610612748,37,39,2023-05-18T01:08:31Z,1960000,False,,,0,,D. White loose ball personal FOUL (2 PF),"[1628401, 1629130]",1610612738.0,BOS,loose ball,,,White,D. White,,,,,Mid-Range,16-24 Left Center,,,,,,,1830.0,,,,,,2.0,0.0,Robinson,1629130.0,,,,
199,PT08M24.00S,2023-05-18T01:08:23.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629130,33.98488830486202,57.84313725490197,1610612748,37,39,2023-05-18T01:08:36Z,1980000,False,-39.0,267.0,1,left,MISS D. Robinson 26' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,26.99,Missed,,,,,,,,,,,,,,,,,,
200,PT08M22.00S,2023-05-18T01:08:25.4Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,37,39,2023-05-18T01:08:36Z,1990000,False,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,199.0,3.0,2.0,1.0,,,,,,,,,,,,,,
201,PT08M14.00S,2023-05-18T01:08:34.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,94.95729303547962,95.09803921568627,1610612738,37,39,2023-05-18T01:10:53Z,2000000,False,225.0,-5.0,1,right,MISS D. White running 3PT,[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,Right Corner 3,24+ Right,22.56,Missed,,,,,,,,,,,,,,,,,,
202,PT08M13.00S,2023-05-18T01:08:35.4Z,2,REGULAR,rebound,defensive,[],1629216,,,1610612748,37,39,2023-05-18T01:08:43Z,2010000,False,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Right Corner 3,24+ Right,,,201.0,1.0,1.0,0.0,,,,,,,,,,,,,,
203,PT08M04.00S,2023-05-18T01:08:46.5Z,2,REGULAR,turnover,traveling,[],1628389,,,1610612748,37,39,2023-05-18T01:08:51Z,2020000,False,,,0,,B. Adebayo traveling TURNOVER (2 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2530.0,2.0,,,,,,,,,,,,
204,PT07M47.00S,2023-05-18T01:09:16.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,90.22667542706965,52.94117647058824,1610612738,39,39,2023-05-18T01:12:32Z,2030000,False,15.0,39.0,1,right,J. Brown driving floating Jump Shot (8 PTS) (M. Smart 5 AST),"[1627759, 203935]",1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,4.21,Made,,,,,,,8.0,M. Smart,203935.0,5.0,,,,,,,,
206,PT07M35.00S,2023-05-18T01:09:29.5Z,2,REGULAR,3pt,Jump Shot,[],200768,28.597240473061763,80.63725490196079,1610612748,39,42,2023-05-18T01:12:47Z,2050000,False,-153.0,216.0,1,left,K. Lowry 26' 3PT pullup (11 PTS),[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,26.51,Made,,,,,,,11.0,,,,,,,,,,,
207,PT07M13.00S,2023-05-18T01:09:52.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.19776609724047,57.84313725490197,1610612738,39,42,2023-05-18T01:10:06Z,2060000,False,39.0,21.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,4.44,Missed,,,,,,,,,,,,,,,,,,
208,PT07M12.00S,2023-05-18T01:09:53.1Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,39,42,2023-05-18T01:10:06Z,2070000,False,,,0,,R. Williams III REBOUND (Off:4 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,,,207.0,5.0,1.0,4.0,,,,,,,,,,,,,,
209,PT07M10.00S,2023-05-18T01:09:55.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,92.46057818659659,42.64705882352941,1610612738,41,42,2023-05-18T01:10:12Z,2080000,False,-37.0,18.0,1,right,R. Williams III putback Layup (9 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,4.11,Made,,,,,,,9.0,,,,,,,,,,,
210,PT07M10.00S,2023-05-18T01:09:58.7Z,2,REGULAR,foul,personal,['1freethrow'],200768,,,1610612738,41,42,2023-05-18T01:10:15Z,2090000,False,,,0,,K. Lowry shooting personal FOUL (1 PF) (Williams III 1 FT),"[200768, 1629057]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,,,,1830.0,,,,,,1.0,0.0,Williams III,1629057.0,,,,
212,PT07M10.00S,2023-05-18T01:10:21.6Z,2,REGULAR,substitution,out,[],1628997,,,1610612738,41,42,2023-05-18T01:11:03Z,2110000,False,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M10.00S,2023-05-18T01:10:21.6Z,2,REGULAR,substitution,in,[],202710,,,1610612738,41,42,2023-05-18T01:11:03Z,2120000,False,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M10.00S,2023-05-18T01:10:47.5Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1629057,,,1610612738,42,42,2023-05-18T01:10:47Z,2130000,False,,,0,,R. Williams III Free Throw 1 of 1 (10 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,Made,,,,,,,10.0,,,,,,,,,,,
215,PT06M52.00S,2023-05-18T01:11:07.4Z,2,REGULAR,2pt,Jump Shot,[],200768,20.97568988173456,22.54901960784314,1610612748,42,44,2023-05-18T01:14:46Z,2140000,False,137.0,145.0,1,left,K. Lowry 19' step back Jump Shot (13 PTS),[200768],1610612748.0,MIA,step back,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Right Center,19.95,Made,,,,,,,13.0,,,,,,,,,,,
216,PT06M33.00S,2023-05-18T01:11:28.9Z,2,REGULAR,foul,personal,['2freethrow'],1629216,,,1610612738,42,44,2023-05-18T01:12:19Z,2150000,False,,,0,,G. Vincent shooting personal FOUL (2 PF) (Tatum 2 FT),"[1629216, 1628369]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1179.0,,,,,,2.0,0.0,Tatum,1628369.0,,,,
218,PT06M33.00S,2023-05-18T01:11:55.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,42,44,2023-05-18T01:11:55Z,2170000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M33.00S,2023-05-18T01:14:30.5Z,2,REGULAR,substitution,out,[],1628401,,,1610612738,42,44,2023-05-18T01:15:06Z,2180000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M33.00S,2023-05-18T01:14:30.5Z,2,REGULAR,substitution,out,[],1629216,,,1610612738,42,44,2023-05-18T01:15:06Z,2190000,False,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M33.00S,2023-05-18T01:14:30.5Z,2,REGULAR,substitution,out,[],1628389,,,1610612738,42,44,2023-05-18T01:15:06Z,2200000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT06M33.00S,2023-05-18T01:14:30.5Z,2,REGULAR,substitution,out,[],1629130,,,1610612738,42,44,2023-05-18T01:15:06Z,2210000,False,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M33.00S,2023-05-18T01:14:30.5Z,2,REGULAR,substitution,in,[],1627763,,,1610612738,42,44,2023-05-18T01:15:06Z,2220000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT06M33.00S,2023-05-18T01:14:30.5Z,2,REGULAR,substitution,in,[],1629622,,,1610612738,42,44,2023-05-18T01:15:06Z,2230000,False,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M33.00S,2023-05-18T01:14:30.5Z,2,REGULAR,substitution,in,[],201567,,,1610612738,42,44,2023-05-18T01:15:06Z,2240000,False,,,0,,SUB in: K. Love,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M33.00S,2023-05-18T01:14:30.5Z,2,REGULAR,substitution,in,[],1628997,,,1610612738,42,44,2023-05-18T01:15:06Z,2250000,False,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M33.00S,2023-05-18T01:14:30.5Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,42,44,2023-05-18T01:15:52Z,2255000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M33.00S,2023-05-18T01:14:30.5Z,2,REGULAR,substitution,in,[],201143,,,1610612738,42,44,2023-05-18T01:15:52Z,2257500,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M33.00S,2023-05-18T01:15:23.0Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,43,44,2023-05-18T01:15:23Z,2260000,False,,,0,,J. Tatum Free Throw 1 of 2 (10 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,10.0,,,,,,,,,,,
228,PT06M33.00S,2023-05-18T01:15:41.0Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,44,44,2023-05-18T01:15:41Z,2270000,False,,,0,,J. Tatum Free Throw 2 of 2 (11 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,11.0,,,,,,,,,,,
238,PT06M14.00S,2023-05-18T01:15:45.2Z,2,REGULAR,turnover,out-of-bounds,[],202710,,,1610612748,44,44,2023-05-18T01:16:50Z,2275000,False,,,0,,J. Butler lost ball out-of-bounds TURNOVER (2 TO),[202710],1610612748.0,MIA,lost ball,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,,1179.0,2.0,,,,,,,,,,,,
235,PT06M09.00S,2023-05-18T01:16:17.5Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628997,,,1610612738,44,44,2023-05-18T01:16:31Z,2320000,False,,,0,,C. Martin shooting personal FOUL (1 PF) (Smart 2 FT),"[1628997, 203935]",1610612748.0,MIA,shooting,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,1830.0,,,,,,1.0,0.0,Smart,203935.0,,,,
237,PT06M09.00S,2023-05-18T01:16:38.0Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],203935,,,1610612738,45,44,2023-05-18T01:16:54Z,2340000,False,,,0,,M. Smart Free Throw 1 of 2 (3 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
239,PT06M09.00S,2023-05-18T01:16:38.0Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],203935,,,1610612738,45,44,2023-05-18T01:17:06Z,2350000,False,,,0,,MISS M. Smart Free Throw 2 of 2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
240,PT06M09.00S,2023-05-18T01:16:38.0Z,2,REGULAR,rebound,defensive,[],201567,,,1610612748,45,44,2023-05-18T01:17:06Z,2360000,False,,,0,,K. Love REBOUND (Off:0 Def:3),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,239.0,3.0,3.0,0.0,,,,,,,,,,,,,,
241,PT05M46.00S,2023-05-18T01:17:23.1Z,2,REGULAR,3pt,Jump Shot,[],202710,25.837713534822605,8.088235294117647,1610612748,45,44,2023-05-18T01:17:32Z,2370000,False,210.0,190.0,1,left,MISS J. Butler 28' 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Right Center,28.32,Missed,,,,,,,,,,,,,,,,,,
242,PT05M45.00S,2023-05-18T01:17:24.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,45,44,2023-05-18T01:17:32Z,2380000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Right Center,,,241.0,,,,,,,,,,,,,,,,,
250,PT05M45.00S,2023-05-18T01:17:26.1Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612748,45,44,2023-05-18T01:18:18Z,2385000,False,,,0,,MIA shot clock Team TURNOVER,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,2530.0,,,,,,,,,,,,,
244,PT05M33.00S,2023-05-18T01:17:47.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628369,91.40932982917214,46.32352941176471,1610612738,47,44,2023-05-18T01:18:53Z,2400000,False,-18.0,28.0,1,right,J. Tatum driving floating Jump Shot (13 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,3.38,Made,,,,,,,13.0,J. Brown,1627759.0,1.0,,,,,,,,
246,PT05M26.00S,2023-05-18T01:17:55.1Z,2,REGULAR,3pt,Jump Shot,[],201567,32.802233902759525,26.715686274509803,1610612748,47,47,2023-05-18T01:18:06Z,2420000,False,116.0,256.0,1,left,K. Love 28' 3PT  (3 PTS) (K. Lowry 1 AST),"[201567, 200768]",1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Right Center,28.1,Made,,,,,,,3.0,K. Lowry,200768.0,1.0,,,,,,,,
248,PT05M10.00S,2023-05-18T01:18:10.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201143,92.72339027595268,55.392156862745104,1610612738,49,47,2023-05-18T01:18:25Z,2440000,False,27.0,16.0,1,right,A. Horford driving Layup (2 PTS) (M. Smart 6 AST),"[201143, 203935]",1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,3.13,Made,,,,,,,2.0,M. Smart,203935.0,6.0,,,,,,,,
251,PT04M53.00S,2023-05-18T01:18:27.4Z,2,REGULAR,3pt,Jump Shot,[],1628997,29.38567674113009,78.92156862745098,1610612748,49,47,2023-05-18T01:18:33Z,2460000,False,-145.0,224.0,1,left,MISS C. Martin 26' 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,26.64,Missed,,,,,,,,,,,,,,,,,,
252,PT04M52.00S,2023-05-18T01:18:28.4Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,49,47,2023-05-18T01:18:33Z,2470000,False,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,251.0,5.0,5.0,0.0,,,,,,,,,,,,,,
253,PT04M47.00S,2023-05-18T01:18:35.3Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1627759,85.62746386333771,50.73529411764706,1610612738,51,47,2023-05-18T01:20:07Z,2480000,False,4.0,83.0,1,right,J. Brown 8' running Jump Shot (10 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,8.27,Made,,,,,,,10.0,,,,,,,,,,,
254,PT04M47.00S,2023-05-18T01:18:41.5Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1628997,,,1610612738,51,47,2023-05-18T01:18:48Z,2490000,False,,,0,,C. Martin shooting personal FOUL (2 PF) (Brown 1 FT),"[1628997, 1627759]",1610612748.0,MIA,shooting,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2530.0,,,,,,2.0,0.0,Brown,1627759.0,,,,
256,PT04M47.00S,2023-05-18T01:18:52.8Z,2,REGULAR,substitution,out,[],201567,,,1610612738,51,47,2023-05-18T01:19:01Z,2510000,False,,,0,,SUB out: K. Love,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
