actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
450,PT12M00.00S,2023-05-24T02:20:06.1Z,4,REGULAR,substitution,out,['startperiod'],202710,,,1610612738,79,88,2023-05-24T02:20:55Z,4420000,False,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
451,PT12M00.00S,2023-05-24T02:20:06.1Z,4,REGULAR,substitution,out,['startperiod'],1629622,,,1610612738,79,88,2023-05-24T02:20:55Z,4430000,False,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
452,PT12M00.00S,2023-05-24T02:20:06.1Z,4,REGULAR,substitution,out,['startperiod'],203469,,,1610612738,79,88,2023-05-24T02:20:55Z,4440000,False,,,0,,SUB out: C. Zeller,[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,,
453,PT12M00.00S,2023-05-24T02:20:06.1Z,4,REGULAR,substitution,out,['startperiod'],1628369,,,1610612738,79,88,2023-05-24T02:20:55Z,4450000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
454,PT12M00.00S,2023-05-24T02:20:06.1Z,4,REGULAR,substitution,out,['startperiod'],203935,,,1610612738,79,88,2023-05-24T02:20:55Z,4460000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
455,PT12M00.00S,2023-05-24T02:20:06.1Z,4,REGULAR,substitution,out,['startperiod'],1629057,,,1610612738,79,88,2023-05-24T02:20:55Z,4470000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
456,PT12M00.00S,2023-05-24T02:20:06.1Z,4,REGULAR,substitution,in,['startperiod'],1629130,,,1610612738,79,88,2023-05-24T02:20:55Z,4480000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
457,PT12M00.00S,2023-05-24T02:20:06.1Z,4,REGULAR,substitution,in,['startperiod'],1628389,,,1610612738,79,88,2023-05-24T02:20:55Z,4490000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
458,PT12M00.00S,2023-05-24T02:20:06.1Z,4,REGULAR,substitution,in,['startperiod'],1629216,,,1610612738,79,88,2023-05-24T02:20:55Z,4500000,False,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
459,PT12M00.00S,2023-05-24T02:20:06.1Z,4,REGULAR,substitution,in,['startperiod'],1627759,,,1610612738,79,88,2023-05-24T02:20:55Z,4510000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
