actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
554,PT02M42.00S,2023-04-19T01:03:07.7Z,4,REGULAR,rebound,defensive,[],203991,,,1610612737,117,97,2023-04-19T01:03:12Z,5460000,False,,,0,,C. Capela REBOUND (Off:2 Def:5),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,,,,,553.0,7.0,5.0,2.0,,,,,,,,,,
555,PT02M20.00S,2023-04-19T01:03:30.8Z,4,REGULAR,3pt,Jump Shot,[],1629027,68.15045992115637,83.33333333333334,1610612737,117,97,2023-04-19T01:04:24Z,5470000,False,167.0,247.0,1,right,MISS T. Young 29' pullup 3PT - blocked,"[1629027, 1628369]",1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,29.79,Missed,,,,,,,,,Tatum,1628369.0,,,,,,,,
556,PT02M20.00S,2023-04-19T01:03:30.8Z,4,REGULAR,block,,[],1628369,,,1610612737,117,97,2023-04-19T01:03:33Z,5480000,False,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
557,PT02M19.00S,2023-04-19T01:03:31.8Z,4,REGULAR,rebound,defensive,[],1628401,,,1610612738,117,97,2023-04-19T01:03:42Z,5490000,False,,,0,,D. White REBOUND (Off:0 Def:6),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,555.0,6.0,6.0,0.0,,,,,,,,,,
558,PT02M16.00S,2023-04-19T01:03:36.3Z,4,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628369,6.307490144546649,48.7515318627451,1610612738,119,97,2023-04-19T01:04:00Z,5500000,False,6.0,7.0,1,left,J. Tatum running DUNK (29 PTS) (D. White 2 AST),"[1628369, 1628401]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.92,Made,29.0,D. White,1628401.0,2.0,,,,,,,,,,,,,,
560,PT02M16.00S,2023-04-19T01:03:45.4Z,4,REGULAR,timeout,full,['team'],0,,,1610612737,119,97,2023-04-19T01:03:45Z,5520000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,PT02M16.00S,2023-04-19T01:04:52.5Z,4,REGULAR,substitution,out,[],201143,,,1610612737,119,97,2023-04-19T01:05:17Z,5530000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
562,PT02M16.00S,2023-04-19T01:04:52.5Z,4,REGULAR,substitution,out,[],203991,,,1610612737,119,97,2023-04-19T01:05:17Z,5540000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
563,PT02M16.00S,2023-04-19T01:04:52.5Z,4,REGULAR,substitution,in,[],1629057,,,1610612737,119,97,2023-04-19T01:05:17Z,5550000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
564,PT02M16.00S,2023-04-19T01:04:52.5Z,4,REGULAR,substitution,in,[],1629631,,,1610612737,119,97,2023-04-19T01:05:17Z,5560000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
565,PT01M58.00S,2023-04-19T01:05:35.7Z,4,REGULAR,2pt,Jump Shot,[],1629631,94.30026281208936,84.55882352941177,1610612737,119,99,2023-04-19T01:05:39Z,5570000,False,173.0,1.0,1,right,D. Hunter 17' Jump Shot (16 PTS) (D. Murray 6 AST),"[1629631, 1627749]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right,17.28,Made,16.0,D. Murray,1627749.0,6.0,,,,,,,,,,,,,,
567,PT01M40.00S,2023-04-19T01:05:57.9Z,4,REGULAR,turnover,traveling,[],1628401,,,1610612738,119,99,2023-04-19T01:06:04Z,5590000,False,,,0,,D. White traveling TURNOVER (3 TO),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,200834.0,,,,,3.0,,
568,PT01M35.00S,2023-04-19T01:06:09.5Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,89.56964520367937,3.1862745098039214,1610612737,119,99,2023-04-19T01:06:16Z,5600000,False,-234.0,46.0,1,right,MISS D. Hunter 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,23.85,Missed,,,,,,,,,,,,,,,,,,
569,PT01M33.00S,2023-04-19T01:06:11.5Z,4,REGULAR,rebound,defensive,[],1628401,,,1610612738,119,99,2023-04-19T01:06:16Z,5610000,False,,,0,,D. White REBOUND (Off:0 Def:7),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,,,,,,,568.0,7.0,7.0,0.0,,,,,,,,,,
