actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
293,PT02M40.00S,2023-05-14T20:39:30.5Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,44,46,2023-05-14T20:39:34Z,2780000,False,,,0,,J. Tatum REBOUND (Off:0 Def:7),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,292.0,7.0,7.0,0.0,,,,,,,,,,,,,,
294,PT02M33.00S,2023-05-14T20:39:38.4Z,2,REGULAR,2pt,Jump Shot,[],1628369,77.34888304862024,54.90196078431373,1610612738,46,46,2023-05-14T20:40:48Z,2790000,False,25.0,160.0,1,right,J. Tatum 16' pullup Jump Shot (18 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Center,16.23,Made,,,,,,,,18.0,,,,,,,,,,
295,PT02M17.00S,2023-05-14T20:39:56.6Z,2,REGULAR,foul,personal,['2freethrow'],201143,,,1610612755,46,46,2023-05-14T20:40:04Z,2800000,False,,,0,,A. Horford shooting personal FOUL (2 PF) (Embiid 2 FT),"[201143, 203954]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1662.0,2.0,0.0,Embiid,203954.0,,
297,PT02M17.00S,2023-05-14T20:40:22.0Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,46,47,2023-05-14T20:40:22Z,2820000,False,,,0,,J. Embiid Free Throw 1 of 2 (8 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,8.0,,,,,,,,,,
298,PT02M17.00S,2023-05-14T20:40:23.0Z,2,REGULAR,substitution,out,[],201143,,,1610612755,46,47,2023-05-14T20:40:31Z,2830000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
299,PT02M17.00S,2023-05-14T20:40:23.0Z,2,REGULAR,substitution,in,[],1627763,,,1610612755,46,47,2023-05-14T20:40:31Z,2840000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
300,PT02M17.00S,2023-05-14T20:40:51.3Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,46,48,2023-05-14T20:40:51Z,2850000,False,,,0,,J. Embiid Free Throw 2 of 2 (9 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,9.0,,,,,,,,,,
301,PT02M01.00S,2023-05-14T20:41:11.6Z,2,REGULAR,foul,personal,['2freethrow'],203954,,,1610612738,46,48,2023-05-14T20:41:21Z,2860000,False,,,0,,J. Embiid shooting personal FOUL (1 PF) (Tatum 2 FT),"[203954, 1628369]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,2715.0,1.0,0.0,Tatum,1628369.0,,
303,PT02M01.00S,2023-05-14T20:41:38.6Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,47,48,2023-05-14T20:41:38Z,2880000,False,,,0,,J. Tatum Free Throw 1 of 2 (19 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,,19.0,,,,,,,,,,
304,PT02M01.00S,2023-05-14T20:42:03.2Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,48,48,2023-05-14T20:42:03Z,2890000,False,,,0,,J. Tatum Free Throw 2 of 2 (20 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,,20.0,,,,,,,,,,
305,PT01M51.00S,2023-05-14T20:42:18.1Z,2,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612755,48,48,2023-05-14T20:42:29Z,2900000,False,,,0,,R. Williams III shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629057, 203954]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2715.0,1.0,0.0,Embiid,203954.0,,
307,PT01M51.00S,2023-05-14T20:42:51.6Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,48,48,2023-05-14T20:42:51Z,2920000,False,,,0,,MISS J. Embiid Free Throw 1 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
308,PT01M51.00S,2023-05-14T20:42:51.6Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,48,48,2023-05-14T20:42:51Z,2930000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,307.0,,,,,,,,,,,,,,,,,
309,PT01M51.00S,2023-05-14T20:43:12.0Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,48,49,2023-05-14T20:43:12Z,2940000,False,,,0,,J. Embiid Free Throw 2 of 2 (10 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,10.0,,,,,,,,,,
