actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
516,PT02M22.00S,2023-05-26T02:37:47.6Z,4,REGULAR,substitution,in,[],1630551,,,1610612748,107,91,2023-05-26T02:37:52Z,5070000,False,,,0,,SUB in: J. Champagnie,[1630551],1610612738.0,BOS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
517,PT02M22.00S,2023-05-26T02:37:46.9Z,4,REGULAR,freethrow,2 of 2,[],1629130,,,1610612748,107,92,2023-05-26T02:38:16Z,5080000,False,,,0,,D. Robinson Free Throw 2 of 2 (16 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,Made,16.0,,,,,,,,,,,,,,
518,PT01M59.00S,2023-05-26T02:38:31.3Z,4,REGULAR,3pt,Jump Shot,[],1630573,33.196452036793694,40.931372549019606,1610612738,107,92,2023-05-26T02:39:15Z,5090000,False,45.0,260.0,1,left,MISS S. Hauser 26' pullup 3PT,[1630573],1610612738.0,BOS,pullup,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,,26.34,Missed,,,,,,,,,,,,,,,
519,PT01M58.00S,2023-05-26T02:38:32.3Z,4,REGULAR,rebound,defensive,[],1629312,,,1610612748,107,92,2023-05-26T02:38:37Z,5100000,False,,,0,,H. Highsmith REBOUND (Off:1 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Center,,,,,,,,,,518.0,2.0,1.0,1.0,,,,,,,
520,PT01M47.00S,2023-05-26T02:38:42.9Z,4,REGULAR,2pt,Hook,['pointsinthepaint'],1629312,89.56964520367937,59.068627450980394,1610612748,107,92,2023-05-26T02:40:23Z,5110000,False,45.0,46.0,1,right,MISS H. Highsmith 6' driving bank Hook - blocked,"[1629312, 1628436]",1610612748.0,MIA,driving bank,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,,,,6.42,Missed,,,,,,,,,Kornet,1628436.0,,,,,
523,PT01M47.00S,2023-05-26T02:38:42.9Z,4,REGULAR,block,,[],1628436,,,1610612748,107,92,2023-05-26T02:38:49Z,5115000,False,,,0,,L. Kornet BLOCK (1 BLK),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
521,PT01M45.00S,2023-05-26T02:38:44.9Z,4,REGULAR,rebound,offensive,[],1630209,,,1610612748,107,92,2023-05-26T02:38:49Z,5120000,False,,,0,,O. Yurtseven REBOUND (Off:1 Def:1),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,520.0,2.0,1.0,1.0,,,,,,,
522,PT01M42.00S,2023-05-26T02:38:47.7Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1631107,75.90341655716163,10.784313725490197,1610612748,107,92,2023-05-26T02:41:41Z,5130000,False,-196.0,174.0,1,right,MISS N. Jovic 26' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,,,,26.22,Missed,,,,,,,,,,,,,,,
524,PT01M39.00S,2023-05-26T02:38:50.7Z,4,REGULAR,rebound,offensive,[],1629130,,,1610612748,107,92,2023-05-26T02:41:41Z,5140000,False,,,0,,D. Robinson REBOUND (Off:1 Def:2),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,522.0,3.0,2.0,1.0,,,,,,,
525,PT01M36.00S,2023-05-26T02:38:53.6Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],200768,71.82982917214193,79.90196078431373,1610612748,107,95,2023-05-26T02:39:01Z,5150000,False,150.0,212.0,1,right,K. Lowry 25' 3PT  (5 PTS) (D. Robinson 9 AST),"[200768, 1629130]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,,,,25.97,Made,5.0,D. Robinson,1629130.0,9.0,,,,,,,,,,,
527,PT01M26.00S,2023-05-26T02:39:08.0Z,4,REGULAR,3pt,Jump Shot,[],1630202,22.158344283837057,93.13725490196079,1610612738,107,95,2023-05-26T02:39:16Z,5170000,False,-216.0,156.0,1,left,MISS P. Pritchard 26' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,,26.61,Missed,,,,,,,,,,,,,,,
