actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
329,PT11M16.00S,2023-05-22T01:48:54.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,8.804204993429693,49.28768382352941,1610612748,63,49,2023-05-22T01:49:25Z,3120000,False,4.0,30.0,1,left,G. Vincent driving finger roll Layup (12 PTS),[1629216],1610612748.0,MIA,driving finger roll,,,Vincent,G. Vincent,,,,,Restricted Area,0-8 Center,3.05,Made,,,,,12.0,,,,,,,,,,,,,
330,PT11M10.00S,2023-05-22T01:49:04.0Z,3,REGULAR,3pt,Jump Shot,[],201143,65.91655716162943,45.34313725490196,1610612738,63,49,2023-05-22T01:49:11Z,3130000,False,-23.0,268.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,26.89,Missed,,,,,,,,,,,,,,,,,,
331,PT11M08.00S,2023-05-22T01:49:06.0Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612748,63,49,2023-05-22T01:49:11Z,3140000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Center,,,330.0,,,,,,,,,,,,,,,,,
333,PT10M49.00S,2023-05-22T01:49:27.2Z,3,REGULAR,2pt,Jump Shot,[],202710,4.681340341655716,29.411764705882355,1610612748,65,49,2023-05-22T01:50:37Z,3160000,False,103.0,-8.0,1,left,J. Butler 10' turnaround fadeaway Jump Shot (11 PTS),[202710],1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,Mid-Range,8-16 Right,10.33,Made,,,,,11.0,,,,,,,,,,,,,
334,PT10M49.00S,2023-05-22T01:49:31.8Z,3,REGULAR,foul,personal,['1freethrow'],1628401,,,1610612748,65,49,2023-05-22T01:49:41Z,3170000,False,,,0,,D. White shooting personal FOUL (2 PF) (Butler 1 FT),"[1628401, 202710]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,202041.0,2.0,0.0,Butler,202710.0
336,PT10M49.00S,2023-05-22T01:49:57.6Z,3,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,66,49,2023-05-22T01:49:57Z,3190000,False,,,0,,J. Butler Free Throw 1 of 1 (12 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
337,PT10M37.00S,2023-05-22T01:50:12.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,94.95729303547962,54.90196078431373,1610612738,66,51,2023-05-22T01:50:18Z,3200000,False,25.0,-5.0,1,right,J. Brown driving Layup (12 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.5,Made,,,,,12.0,,,,,,,,,,,,,
338,PT10M14.00S,2023-05-22T01:50:34.8Z,3,REGULAR,3pt,Jump Shot,[],1629622,34.11629434954008,42.64705882352941,1610612748,69,51,2023-05-22T01:50:38Z,3210000,False,37.0,268.0,1,left,M. Strus 27' 3PT  (8 PTS) (J. Butler 5 AST),"[1629622, 202710]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,27.07,Made,,,,,8.0,J. Butler,202710.0,5.0,,,,,,,,,,
340,PT10M00.00S,2023-05-22T01:50:51.9Z,3,REGULAR,3pt,Jump Shot,[],201143,74.32654402102497,88.97058823529412,1610612738,69,51,2023-05-22T01:51:11Z,3230000,False,195.0,189.0,1,right,MISS A. Horford 27' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,27.14,Missed,,,,,,,,,,,,,,,,,,
341,PT09M59.00S,2023-05-22T01:50:52.9Z,3,REGULAR,rebound,defensive,[],202710,,,1610612748,69,51,2023-05-22T01:51:11Z,3240000,False,,,0,,J. Butler REBOUND (Off:0 Def:5),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Right Center,,,340.0,5.0,5.0,0.0,,,,,,,,,,,,,,
342,PT09M58.00S,2023-05-22T01:51:50.4Z,3,REGULAR,foul,personal,[],203935,,,1610612748,69,51,2023-05-22T01:53:56Z,3250000,False,,,0,,M. Smart personal FOUL (2 PF),"[203935, 1628997]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,200832.0,2.0,1.0,Martin,1628997.0
345,PT09M58.00S,2023-05-22T01:52:54.4Z,3,REGULAR,substitution,out,[],1628401,,,1610612748,69,51,2023-05-22T01:53:11Z,3280000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
346,PT09M58.00S,2023-05-22T01:52:54.4Z,3,REGULAR,substitution,in,[],1629684,,,1610612748,69,51,2023-05-22T01:53:11Z,3290000,False,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
347,PT09M39.00S,2023-05-22T01:53:41.2Z,3,REGULAR,foul,offensive,[],1628389,,,1610612748,69,51,2023-05-22T01:53:54Z,3300000,False,,,0,,B. Adebayo off-the-ball offensive FOUL (3 PF),"[1628389, 1629684]",1610612748.0,MIA,off-the-ball,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1146.0,3.0,0.0,Williams,1629684.0
349,PT09M39.00S,2023-05-22T01:53:41.2Z,3,REGULAR,turnover,offensive foul,[],1628389,,,1610612748,69,51,2023-05-22T01:53:41Z,3320000,False,,,0,,B. Adebayo offensive foul TURNOVER (3 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,3.0,,,,,1146.0,,,,
350,PT09M28.00S,2023-05-22T01:54:01.4Z,3,REGULAR,foul,offensive,[],201143,,,1610612738,69,51,2023-05-22T01:54:33Z,3330000,False,,,0,,A. Horford off-the-ball offensive FOUL (1 PF),"[201143, 1628389]",1610612738.0,BOS,off-the-ball,,,Horford,A. Horford,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,202041.0,1.0,0.0,Adebayo,1628389.0
352,PT09M28.00S,2023-05-22T01:54:01.4Z,3,REGULAR,turnover,offensive foul,[],201143,,,1610612738,69,51,2023-05-22T01:54:01Z,3350000,False,,,0,,A. Horford offensive foul TURNOVER (1 TO),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1.0,,,,,202041.0,,,,
353,PT09M13.00S,2023-05-22T01:54:29.4Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628389,7.046649145860711,49.26470588235294,1610612748,71,51,2023-05-22T01:54:36Z,3360000,False,4.0,14.0,1,left,B. Adebayo alley-oop DUNK (9 PTS) (M. Strus 1 AST),"[1628389, 1629622]",1610612748.0,MIA,alley-oop,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.42,Made,,,,,9.0,M. Strus,1629622.0,1.0,,,,,,,,,,
355,PT09M05.00S,2023-05-22T01:54:38.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203935,91.72141918528253,55.81724877450981,1610612738,71,51,2023-05-22T01:56:20Z,3380000,False,29.0,25.0,1,right,MISS M. Smart alley-oop Layup,[203935],1610612738.0,BOS,alley-oop,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,3.86,Missed,,,,,,,,,,,,,,,,,,
356,PT09M02.00S,2023-05-22T01:54:41.4Z,3,REGULAR,rebound,defensive,[],1629216,,,1610612748,71,51,2023-05-22T01:55:04Z,3390000,False,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Restricted Area,0-8 Center,,,355.0,1.0,1.0,0.0,,,,,,,,,,,,,,
357,PT08M59.00S,2023-05-22T01:54:44.4Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1629216,34.37910643889619,35.53921568627451,1610612748,74,51,2023-05-22T01:54:53Z,3400000,False,72.0,271.0,1,left,G. Vincent 28' 3PT running pullup (15 PTS),[1629216],1610612748.0,MIA,running pullup,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Center,28.02,Made,,,,,15.0,,,,,,,,,,,,,
