actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
171,PT09M30.00S,2023-04-26T00:09:39.8Z,2,REGULAR,foul,personal,['3freethrow'],203935,,,1610612737,34,36,2023-04-26T00:12:31Z,1680000,False,,,0,,M. Smart shooting personal FOUL (1 PF) (Bogdanovic 3 FT),"[203935, 203992]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,202027.0,,1.0,0.0,Bogdanovic,203992.0,,
173,PT09M30.00S,2023-04-26T00:10:09.6Z,2,REGULAR,freethrow,1 of 3,[],203992,,,1610612737,34,37,2023-04-26T00:12:42Z,1700000,False,,,0,,B. Bogdanovic Free Throw 1 of 3 (4 PTS),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
174,PT09M30.00S,2023-04-26T00:10:09.6Z,2,REGULAR,freethrow,2 of 3,[],203992,,,1610612737,34,38,2023-04-26T00:12:42Z,1710000,False,,,0,,B. Bogdanovic Free Throw 2 of 3 (5 PTS),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
197,PT09M30.00S,2023-04-26T00:10:37.6Z,2,REGULAR,substitution,out,[],1627763,,,1610612737,34,38,2023-04-26T00:14:06Z,1735000,False,,,0,,SUB out: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT09M30.00S,2023-04-26T00:10:37.6Z,2,REGULAR,substitution,out,[],203935,,,1610612737,34,38,2023-04-26T00:14:06Z,1747500,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT09M30.00S,2023-04-26T00:10:37.6Z,2,REGULAR,substitution,in,[],1627759,,,1610612737,34,38,2023-04-26T00:14:06Z,1753750,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT09M30.00S,2023-04-26T00:10:37.6Z,2,REGULAR,substitution,in,[],1628401,,,1610612737,34,38,2023-04-26T00:14:06Z,1756875,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT09M30.00S,2023-04-26T00:10:09.6Z,2,REGULAR,freethrow,3 of 3,[],203992,,,1610612737,34,39,2023-04-26T00:12:42Z,1760000,False,,,0,,B. Bogdanovic Free Throw 3 of 3 (6 PTS),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
180,PT09M18.00S,2023-04-26T00:11:05.6Z,2,REGULAR,3pt,Jump Shot,[],201143,70.30223390275953,76.49356617647058,1610612738,37,39,2023-04-26T00:17:25Z,1770000,False,132.0,227.0,1,right,A. Horford 26' 3PT  (3 PTS) (J. Tatum 4 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,26.26,Made,3.0,,,,,,,J. Tatum,1628369.0,4.0,,,,,,,,
182,PT08M57.00S,2023-04-26T00:11:29.6Z,2,REGULAR,foul,personal,['2freethrow'],201143,,,1610612737,37,39,2023-04-26T00:11:39Z,1790000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Bey 2 FT),"[201143, 1630180]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,2004.0,,1.0,0.0,Bey,1630180.0,,
184,PT08M57.00S,2023-04-26T00:11:53.0Z,2,REGULAR,freethrow,1 of 2,[],1630180,,,1610612737,37,40,2023-04-26T00:11:53Z,1810000,False,,,0,,S. Bey Free Throw 1 of 2 (7 PTS),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
185,PT08M57.00S,2023-04-26T00:12:05.9Z,2,REGULAR,freethrow,2 of 2,[],1630180,,,1610612737,37,41,2023-04-26T00:12:05Z,1820000,False,,,0,,S. Bey Free Throw 2 of 2 (8 PTS),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
186,PT08M41.00S,2023-04-26T00:12:25.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,94.1688567674113,52.20588235294118,1610612738,37,41,2023-04-26T00:17:45Z,1830000,False,11.0,2.0,1,right,MISS J. Tatum cutting Layup,[1628369],1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.12,Missed,,,,,,,,,,,,,,,,,,
187,PT08M40.00S,2023-04-26T00:12:26.4Z,2,REGULAR,rebound,offensive,[],1628369,,,1610612738,37,41,2023-04-26T00:12:33Z,1840000,False,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,186.0,3.0,2.0,1.0,,,,,,,,,,,,,
188,PT08M40.00S,2023-04-26T00:12:29.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,94.40999984741211,50.0,1610612738,37,41,2023-04-26T00:12:29Z,1850000,False,0.0,0.0,1,right,MISS J. Tatum tip Layup,[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
189,PT08M40.00S,2023-04-26T00:12:30.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,37,41,2023-04-26T00:12:30Z,1860000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,8-16 Left,,,,188.0,,,,,,,,,,,,,,,,
190,PT08M40.00S,2023-04-26T00:12:34.6Z,2,REGULAR,foul,personal,[],1630168,,,1610612738,37,41,2023-04-26T00:12:40Z,1870000,False,,,0,,O. Okongwu loose ball personal FOUL (1 PF),"[1630168, 1628369]",1610612737.0,ATL,loose ball,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2004.0,,1.0,0.0,Tatum,1628369.0,,
192,PT08M33.00S,2023-04-26T00:13:03.7Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1627759,89.75032851511169,46.875,1610612738,39,41,2023-04-26T00:20:13Z,1890000,False,-16.0,44.0,1,right,J. Brown turnaround Hook (13 PTS),[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,4.65,Made,13.0,,,,,,,,,,,,,,,,,
193,PT08M16.00S,2023-04-26T00:13:19.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,9.198423127463863,40.06587009803921,1610612737,39,41,2023-04-26T00:20:50Z,1900000,False,50.0,34.0,1,left,MISS J. Johnson 6' driving floating bank Shot,[1630552],1610612737.0,ATL,driving floating bank,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,6.02,Missed,,,,,,,,,,,,,,,,,,
194,PT08M14.00S,2023-04-26T00:13:21.8Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,39,41,2023-04-26T00:13:29Z,1910000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,193.0,1.0,1.0,0.0,,,,,,,,,,,,,
195,PT08M07.00S,2023-04-26T00:13:29.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.38042049934296,47.794117647058826,1610612738,41,41,2023-04-26T00:13:43Z,1920000,False,-11.0,10.0,1,right,J. Brown driving Layup (15 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.47,Made,15.0,,,,,,,,,,,,,,,,,
196,PT08M07.00S,2023-04-26T00:13:33.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,41,41,2023-04-26T00:13:33Z,1930000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M07.00S,2023-04-26T00:16:03.0Z,2,REGULAR,substitution,out,[],1630573,,,1610612737,41,41,2023-04-26T00:17:13Z,1940000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M07.00S,2023-04-26T00:16:03.0Z,2,REGULAR,substitution,out,[],1630552,,,1610612737,41,41,2023-04-26T00:17:13Z,1950000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M07.00S,2023-04-26T00:16:03.0Z,2,REGULAR,substitution,out,[],1628988,,,1610612737,41,41,2023-04-26T00:17:13Z,1960000,False,,,0,,SUB out: A. Holiday,[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M07.00S,2023-04-26T00:16:03.0Z,2,REGULAR,substitution,in,[],1627763,,,1610612737,41,41,2023-04-26T00:17:13Z,1970000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M07.00S,2023-04-26T00:16:03.0Z,2,REGULAR,substitution,in,[],1629027,,,1610612737,41,41,2023-04-26T00:17:13Z,1980000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M07.00S,2023-04-26T00:16:03.0Z,2,REGULAR,substitution,in,[],1629631,,,1610612737,41,41,2023-04-26T00:17:13Z,1990000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT07M47.00S,2023-04-26T00:17:45.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630168,15.456636005256241,38.48039215686275,1610612737,41,41,2023-04-26T00:21:30Z,2010000,False,58.0,93.0,1,left,MISS O. Okongwu 10' turnaround Shot - blocked,"[1630168, 201143]",1610612737.0,ATL,turnaround,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Right,10.92,Missed,,,,,,Horford,201143.0,,,,,,,,,,,
209,PT07M47.00S,2023-04-26T00:17:45.6Z,2,REGULAR,block,,[],201143,,,1610612737,41,41,2023-04-26T00:17:48Z,2020000,False,,,0,,A. Horford BLOCK (2 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
210,PT07M44.00S,2023-04-26T00:17:48.6Z,2,REGULAR,rebound,offensive,[],1630168,,,1610612737,41,41,2023-04-26T00:18:04Z,2030000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Right,,,,208.0,3.0,2.0,1.0,,,,,,,,,,,,,
211,PT07M42.00S,2023-04-26T00:17:50.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629027,31.61957950065703,29.65686274509804,1610612737,41,41,2023-04-26T00:18:07Z,2040000,False,102.0,245.0,1,left,MISS T. Young 26' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,26.5,Missed,,,,,,,,,,,,,,,,,,
212,PT07M40.00S,2023-04-26T00:17:52.7Z,2,REGULAR,rebound,offensive,[],1630180,,,1610612737,41,41,2023-04-26T00:18:07Z,2050000,False,,,0,,S. Bey REBOUND (Off:1 Def:2),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,,,,211.0,3.0,2.0,1.0,,,,,,,,,,,,,
213,PT07M38.00S,2023-04-26T00:17:55.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630180,8.492115637319317,40.44117647058824,1610612737,41,41,2023-04-26T00:18:21Z,2060000,False,48.0,27.0,1,left,MISS S. Bey Layup - blocked,"[1630180, 1628369]",1610612737.0,ATL,,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,5.5,Missed,,,,,,Tatum,1628369.0,,,,,,,,,,,
214,PT07M38.00S,2023-04-26T00:17:55.0Z,2,REGULAR,block,,[],1628369,,,1610612737,41,41,2023-04-26T00:17:59Z,2070000,False,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
218,PT07M38.00S,2023-04-26T00:17:55.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,41,41,2023-04-26T00:18:21Z,2080000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,213.0,,,,,,,,,,,,,,,,
215,PT07M38.00S,2023-04-26T00:18:19.1Z,2,REGULAR,jumpball,recovered,[],1628401,,,1610612738,41,41,2023-04-26T00:22:30Z,2090000,False,,,0,,Jump Ball J. Tatum vs. S. Bey: Tip to D. White,"[1628401, 1628369, 1630180]",1610612738.0,BOS,heldball,D. White,1628401.0,White,D. White,Tatum,1628369.0,Bey,1630180.0,,,,,,,,,,,,,,,,,,,,,,
219,PT07M31.00S,2023-04-26T00:18:23.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],201143,70.64717477003943,22.30392156862745,1610612738,41,41,2023-04-26T00:22:43Z,2120000,False,-138.0,223.0,1,right,MISS A. Horford 26' running 3PT,[201143],1610612738.0,BOS,running,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,26.28,Missed,,,,,,,,,,,,,,,,,,
220,PT07M27.00S,2023-04-26T00:18:27.2Z,2,REGULAR,rebound,defensive,[],203992,,,1610612737,41,41,2023-04-26T00:18:27Z,2130000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,,,,219.0,1.0,1.0,0.0,,,,,,,,,,,,,
222,PT07M23.00S,2023-04-26T00:18:49.2Z,2,REGULAR,substitution,out,[],1628369,,,1610612737,41,41,2023-04-26T00:19:01Z,2150000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M23.00S,2023-04-26T00:18:49.2Z,2,REGULAR,substitution,out,[],203992,,,1610612737,41,41,2023-04-26T00:19:01Z,2160000,False,,,0,,SUB out: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M23.00S,2023-04-26T00:18:49.2Z,2,REGULAR,substitution,in,[],1629057,,,1610612737,41,41,2023-04-26T00:19:01Z,2170000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M23.00S,2023-04-26T00:18:49.2Z,2,REGULAR,substitution,in,[],1628381,,,1610612737,41,41,2023-04-26T00:19:01Z,2180000,False,,,0,,SUB in: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M19.00S,2023-04-26T00:19:17.7Z,2,REGULAR,turnover,traveling,[],1629027,,,1610612737,41,41,2023-04-26T00:19:23Z,2190000,False,,,0,,T. Young traveling TURNOVER (2 TO),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,2004.0,2.0,,,,,,
227,PT07M02.00S,2023-04-26T00:19:43.8Z,2,REGULAR,turnover,lost ball,[],1627759,,,1610612738,41,41,2023-04-26T00:19:51Z,2200000,False,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 1629027]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,,,,,Young,1629027.0
228,PT07M02.00S,2023-04-26T00:19:43.8Z,2,REGULAR,steal,,[],1629027,,,1610612737,41,41,2023-04-26T00:19:45Z,2210000,False,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
229,PT06M56.00S,2023-04-26T00:19:49.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628381,7.178055190538765,59.55882352941176,1610612737,41,41,2023-04-26T00:19:57Z,2220000,False,-48.0,15.0,1,left,MISS J. Collins running Layup - blocked,"[1628381, 201143]",1610612737.0,ATL,running,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,5.01,Missed,,,,,,Horford,201143.0,,,,,,,,,,,
230,PT06M56.00S,2023-04-26T00:19:49.1Z,2,REGULAR,block,,[],201143,,,1610612737,41,41,2023-04-26T00:20:41Z,2230000,False,,,0,,A. Horford BLOCK (3 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
231,PT06M54.00S,2023-04-26T00:19:51.1Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,41,41,2023-04-26T00:29:51Z,2240000,False,,,0,,D. White REBOUND (Off:0 Def:4),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,229.0,4.0,4.0,0.0,,,,,,,,,,,,,
232,PT06M52.00S,2023-04-26T00:19:53.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1627763,67.62483574244416,30.14705882352941,1610612738,44,41,2023-04-26T00:25:32Z,2250000,False,-99.0,252.0,1,right,M. Brogdon 27' 3PT running (5 PTS) (A. Horford 3 AST),"[1627763, 201143]",1610612738.0,BOS,running,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Left Center,27.07,Made,5.0,,,,,,,A. Horford,201143.0,3.0,,,,,,,,
234,PT06M35.00S,2023-04-26T00:20:10.5Z,2,REGULAR,3pt,Jump Shot,[],1628381,32.933639947437584,28.921568627450984,1610612737,44,44,2023-04-26T00:20:16Z,2270000,False,105.0,257.0,1,left,J. Collins 27' 3PT  (8 PTS) (T. Young 5 AST),"[1628381, 1629027]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,27.79,Made,8.0,,,,,,,T. Young,1629027.0,5.0,,,,,,,,
236,PT06M22.00S,2023-04-26T00:20:23.4Z,2,REGULAR,3pt,Jump Shot,[],1627759,67.23061760840999,30.14705882352941,1610612738,47,44,2023-04-26T00:20:28Z,2290000,False,-99.0,256.0,1,right,J. Brown 27' 3PT  (18 PTS) (D. White 3 AST),"[1627759, 1628401]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,27.41,Made,18.0,,,,,,,D. White,1628401.0,3.0,,,,,,,,
238,PT06M05.00S,2023-04-26T00:20:40.3Z,2,REGULAR,3pt,Jump Shot,[],1628381,33.459264126149804,62.254901960784316,1610612737,47,44,2023-04-26T00:20:47Z,2310000,False,-61.0,262.0,1,left,MISS J. Collins 26' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Center,26.91,Missed,,,,,,,,,,,,,,,,,,
239,PT06M02.00S,2023-04-26T00:20:43.3Z,2,REGULAR,rebound,offensive,[],1630180,,,1610612737,47,44,2023-04-26T00:21:01Z,2320000,False,,,0,,S. Bey REBOUND (Off:2 Def:2),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Center,,,,238.0,4.0,2.0,2.0,,,,,,,,,,,,,
240,PT06M00.00S,2023-04-26T00:20:45.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630180,6.915243101182654,50.245098039215684,1610612737,47,46,2023-04-26T00:20:51Z,2330000,False,-1.0,13.0,1,left,S. Bey driving reverse Layup (10 PTS),[1630180],1610612737.0,ATL,driving reverse,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,1.26,Made,10.0,,,,,,,,,,,,,,,,,
241,PT05M47.00S,2023-04-26T00:20:58.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,94.03745072273325,50.98039215686274,1610612738,49,46,2023-04-26T00:21:08Z,2340000,False,5.0,4.0,1,right,M. Brogdon driving Layup (7 PTS),[1627763],1610612738.0,BOS,driving,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,0.6,Made,7.0,,,,,,,,,,,,,,,,,
242,PT05M29.00S,2023-04-26T00:21:18.0Z,2,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,49,46,2023-04-26T00:21:23Z,2350000,False,,,0,,T. Young bad pass out-of-bounds TURNOVER (3 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,201639.0,3.0,,,,,,
243,PT05M29.00S,2023-04-26T00:21:21.7Z,2,REGULAR,substitution,out,[],1630168,,,1610612738,49,46,2023-04-26T00:21:25Z,2360000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT05M29.00S,2023-04-26T00:21:21.7Z,2,REGULAR,substitution,in,[],203991,,,1610612738,49,46,2023-04-26T00:21:25Z,2370000,False,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT05M19.00S,2023-04-26T00:21:38.9Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1627763,77.92378449408672,21.59160539215686,1610612738,51,46,2023-04-26T00:28:31Z,2380000,False,-142.0,155.0,1,right,M. Brogdon 21' pullup Jump Shot (9 PTS),[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,Mid-Range,16-24 Left Center,21.02,Made,9.0,,,,,,,,,,,,,,,,,
246,PT05M04.00S,2023-04-26T00:21:53.7Z,2,REGULAR,3pt,Jump Shot,[],1628381,22.552562417871222,12.009803921568627,1610612737,51,46,2023-04-26T00:21:58Z,2390000,False,190.0,159.0,1,left,MISS J. Collins 24' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,24.81,Missed,,,,,,,,,,,,,,,,,,
247,PT05M02.00S,2023-04-26T00:21:55.7Z,2,REGULAR,rebound,defensive,[],1627763,,,1610612738,51,46,2023-04-26T00:21:58Z,2400000,False,,,0,,M. Brogdon REBOUND (Off:0 Def:3),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Right Center,,,,246.0,3.0,3.0,0.0,,,,,,,,,,,,,
248,PT04M57.00S,2023-04-26T00:22:01.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,88.51839684625493,96.32352941176471,1610612738,54,46,2023-04-26T00:28:57Z,2410000,False,232.0,55.0,1,right,D. White 3PT running (5 PTS) (J. Brown 1 AST),"[1628401, 1627759]",1610612738.0,BOS,running,,,White,D. White,,,,,Right Corner 3,24+ Right,23.81,Made,5.0,,,,,,,J. Brown,1627759.0,1.0,,,,,,,,
250,PT04M56.00S,2023-04-26T00:22:07.9Z,2,REGULAR,timeout,full,['team'],0,,,1610612737,54,46,2023-04-26T00:22:07Z,2430000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT04M41.00S,2023-04-26T00:24:02.5Z,2,REGULAR,2pt,Jump Shot,[],1629631,21.369908015768726,65.68627450980392,1610612737,54,48,2023-04-26T00:29:23Z,2440000,False,-78.0,148.0,1,left,D. Hunter 16' pullup Jump Shot (5 PTS) (T. Young 6 AST),"[1629631, 1629027]",1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Left Center,16.78,Made,5.0,,,,,,,T. Young,1629027.0,6.0,,,,,,,,
253,PT04M32.00S,2023-04-26T00:24:14.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,91.01511169513797,42.15686274509804,1610612738,56,48,2023-04-26T00:24:24Z,2460000,False,-39.0,32.0,1,right,M. Brogdon driving Layup (11 PTS),[1627763],1610612738.0,BOS,driving,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),0-8 Center,5.06,Made,11.0,,,,,,,,,,,,,,,,,
254,PT04M32.00S,2023-04-26T00:24:16.9Z,2,REGULAR,foul,personal,['1freethrow'],1629631,,,1610612738,56,48,2023-04-26T00:24:32Z,2470000,False,,,0,,D. Hunter shooting personal FOUL (1 PF) (Brogdon 1 FT),"[1629631, 1627763]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,201639.0,,1.0,0.0,Brogdon,1627763.0,,
256,PT04M32.00S,2023-04-26T00:24:28.6Z,2,REGULAR,substitution,out,[],1628401,,,1610612738,56,48,2023-04-26T00:25:01Z,2490000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT04M32.00S,2023-04-26T00:24:28.6Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,56,48,2023-04-26T00:25:01Z,2500000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT04M32.00S,2023-04-26T00:24:43.8Z,2,REGULAR,freethrow,1 of 1,[],1627763,,,1610612738,57,48,2023-04-26T00:24:43Z,2510000,False,,,0,,M. Brogdon Free Throw 1 of 1 (12 PTS),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
259,PT04M19.00S,2023-04-26T00:24:58.9Z,2,REGULAR,3pt,Jump Shot,[],1630180,16.90210249671485,6.127450980392156,1610612737,57,48,2023-04-26T00:30:40Z,2520000,False,219.0,106.0,1,left,MISS S. Bey 24' pullup 3PT,[1630180],1610612737.0,ATL,pullup,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,24.38,Missed,,,,,,,,,,,,,,,,,,
