actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
396,PT08M13.00S,2022-10-15T01:05:41.9Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,86.5473061760841,50.98039215686274,1610612761,75,71,2022-10-15T01:05:57Z,3920000,5.0,74.0,1,right,O. Anunoby 7' driving floating Jump Shot (29 PTS) (P. Achiuwa 3 AST),"[1628384, 1630173]",1610612761.0,TOR,driving floating,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,7.42,Made,,,,,29.0,P. Achiuwa,1630173.0,3.0,,,,,,,,,,
398,PT08M13.00S,2022-10-15T01:05:45.9Z,3,REGULAR,foul,personal,['1freethrow'],203935,,,1610612761,75,71,2022-10-15T01:05:51Z,3940000,,,0,,M. Smart shooting personal FOUL (1 PF) (Anunoby 1 FT),"[203935, 1628384]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627524.0,1.0,1.0,Anunoby,1628384.0,,,,,
400,PT08M13.00S,2022-10-15T01:05:57.1Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,75,71,2022-10-15T01:09:06Z,3960000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,PT08M13.00S,2022-10-15T01:09:05.0Z,3,REGULAR,freethrow,1 of 1,[],1628384,,,1610612761,75,71,2022-10-15T01:09:08Z,3970000,,,0,,MISS O. Anunoby Free Throw 1 of 1,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
402,PT08M10.00S,2022-10-15T01:09:08.0Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,75,71,2022-10-15T01:09:08Z,3980000,,,0,,J. Tatum REBOUND (Off:2 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,401.0,7.0,5.0,2.0,,,,,,,,,,,,,,
403,PT07M56.00S,2022-10-15T01:09:20.7Z,3,REGULAR,3pt,Jump Shot,[],201143,29.38567674113009,76.9607843137255,1610612738,75,71,2022-10-15T01:09:24Z,3990000,-135.0,224.0,1,left,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,26.12,Missed,,,,,,,,,,,,,,,,,,
404,PT07M53.00S,2022-10-15T01:09:23.7Z,3,REGULAR,rebound,defensive,[],1628384,,,1610612761,75,71,2022-10-15T01:09:24Z,4000000,,,0,,O. Anunoby REBOUND (Off:3 Def:3),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,403.0,6.0,3.0,3.0,,,,,,,,,,,,,,
405,PT07M41.00S,2022-10-15T01:09:36.9Z,3,REGULAR,turnover,out-of-bounds,[],1627832,,,1610612761,75,71,2022-10-15T01:09:43Z,4010000,,,0,,F. VanVleet bad pass out-of-bounds TURNOVER (5 TO),[1627832],1610612761.0,TOR,bad pass,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,204058.0,,,,,,,5.0,,
406,PT07M31.00S,2022-10-15T01:09:53.7Z,3,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",201143,14.4053876478318,47.30392156862745,1610612738,75,71,2022-10-15T01:09:57Z,4020000,13.0,83.0,1,left,MISS A. Horford 8' Hook,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,8.4,Missed,,,,,,,,,,,,,,,,,,
407,PT07M28.00S,2022-10-15T01:09:56.7Z,3,REGULAR,rebound,defensive,[],203920,,,1610612761,75,71,2022-10-15T01:09:57Z,4030000,,,0,,K. Birch REBOUND (Off:1 Def:2),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,In The Paint (Non-RA),8-16 Center,,,406.0,3.0,2.0,1.0,,,,,,,,,,,,,,
408,PT07M20.00S,2022-10-15T01:10:03.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203920,93.38042049934296,50.245098039215684,1610612761,75,71,2022-10-15T01:10:12Z,4040000,1.0,10.0,1,right,MISS K. Birch alley-oop Layup,[203920],1610612761.0,TOR,alley-oop,,,Birch,K. Birch,,,,,Restricted Area,0-8 Center,0.98,Missed,,,,,,,,,,,,,,,,,,
409,PT07M15.00S,2022-10-15T01:10:08.6Z,3,REGULAR,rebound,offensive,[],203920,,,1610612761,75,71,2022-10-15T01:10:08Z,4050000,,,0,,K. Birch REBOUND (Off:2 Def:2),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,Restricted Area,0-8 Center,,,408.0,4.0,2.0,2.0,,,,,,,,,,,,,,
410,PT07M15.00S,2022-10-15T01:10:08.6Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203920,94.40999984741211,50.0,1610612761,75,71,2022-10-15T01:10:08Z,4060000,0.0,0.0,1,right,MISS K. Birch putback Layup,[203920],1610612761.0,TOR,putback,,,Birch,K. Birch,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
411,PT07M14.00S,2022-10-15T01:10:09.5Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,75,71,2022-10-15T01:10:09Z,4070000,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,8-16 Left,,,410.0,3.0,3.0,0.0,,,,,,,,,,,,,,
412,PT07M10.00S,2022-10-15T01:10:14.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,7.835085413929041,48.77450980392157,1610612738,75,73,2022-10-15T01:10:24Z,4080000,6.0,21.0,1,left,J. Tatum driving Layup (17 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.2,Made,,,,,17.0,,,,,,,,,,,,,
413,PT06M58.00S,2022-10-15T01:10:26.9Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,92.06636005256242,55.88235294117647,1610612761,77,73,2022-10-15T01:10:42Z,4090000,29.0,22.0,1,right,S. Barnes driving bank Hook (16 PTS),[1630567],1610612761.0,TOR,driving bank,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,3.68,Made,,,,,16.0,,,,,,,,,,,,,
414,PT06M58.00S,2022-10-15T01:10:31.9Z,3,REGULAR,foul,personal,['1freethrow'],1627759,,,1610612761,77,73,2022-10-15T01:10:36Z,4100000,,,0,,J. Brown shooting personal FOUL (4 PF) (Barnes 1 FT),"[1627759, 1630567]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204058.0,4.0,0.0,Barnes,1630567.0,,,,,
416,PT06M58.00S,2022-10-15T01:10:56.4Z,3,REGULAR,freethrow,1 of 1,[],1630567,,,1610612761,78,73,2022-10-15T01:10:56Z,4120000,,,0,,S. Barnes Free Throw 1 of 1 (17 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,Made,,,,,17.0,,,,,,,,,,,,,
417,PT06M43.00S,2022-10-15T01:11:16.4Z,3,REGULAR,foul,personal,['2freethrow'],1630173,,,1610612738,78,73,2022-10-15T01:11:22Z,4130000,,,0,,P. Achiuwa shooting personal FOUL (2 PF) (Smart 2 FT),"[1630173, 203935]",1610612761.0,TOR,shooting,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,204058.0,2.0,0.0,Smart,203935.0,,,,,
419,PT06M43.00S,2022-10-15T01:11:48.0Z,3,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,78,74,2022-10-15T01:11:48Z,4150000,,,0,,M. Smart Free Throw 1 of 2 (8 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
420,PT06M43.00S,2022-10-15T01:12:05.2Z,3,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,78,75,2022-10-15T01:12:05Z,4160000,,,0,,M. Smart Free Throw 2 of 2 (9 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
421,PT06M32.00S,2022-10-15T01:12:18.2Z,3,REGULAR,2pt,Jump Shot,[],1630567,73.27529566360053,49.01960784313725,1610612761,80,75,2022-10-15T01:12:24Z,4170000,-5.0,199.0,1,right,S. Barnes 19' step back Jump Shot (19 PTS),[1630567],1610612761.0,TOR,step back,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Center,19.88,Made,,,,,19.0,,,,,,,,,,,,,
422,PT06M14.00S,2022-10-15T01:12:37.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203935,10.463206307490145,38.23529411764706,1610612738,80,77,2022-10-15T01:12:46Z,4180000,59.0,46.0,1,left,M. Smart 7' driving finger roll Layup (11 PTS),[203935],1610612738.0,BOS,driving finger roll,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,7.46,Made,,,,,11.0,,,,,,,,,,,,,
423,PT06M14.00S,2022-10-15T01:12:41.3Z,3,REGULAR,foul,personal,['1freethrow'],1630567,,,1610612738,80,77,2022-10-15T01:12:48Z,4190000,,,0,,S. Barnes shooting personal FOUL (2 PF) (Smart 1 FT),"[1630567, 203935]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1151.0,2.0,0.0,Smart,203935.0,,,,,
425,PT06M14.00S,2022-10-15T01:13:01.7Z,3,REGULAR,freethrow,1 of 1,[],203935,,,1610612738,80,77,2022-10-15T01:13:02Z,4210000,,,0,,MISS M. Smart Free Throw 1 of 1,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
426,PT06M08.00S,2022-10-15T01:13:07.7Z,3,REGULAR,rebound,offensive,[],1628401,,,1610612738,80,77,2022-10-15T01:13:08Z,4220000,,,0,,D. White REBOUND (Off:1 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,425.0,3.0,2.0,1.0,,,,,,,,,,,,,,
427,PT06M08.00S,2022-10-15T01:13:07.0Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628401,5.590000152587891,50.0,1610612738,80,79,2022-10-15T01:13:07Z,4230000,0.0,0.0,1,left,D. White tip Layup (19 PTS),[1628401],1610612738.0,BOS,tip,,,White,D. White,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,19.0,,,,,,,,,,,,,
428,PT05M52.00S,2022-10-15T01:13:22.4Z,3,REGULAR,3pt,Jump Shot,[],1630173,92.85479632063075,96.81372549019608,1610612761,80,79,2022-10-15T01:13:27Z,4240000,234.0,15.0,1,right,MISS P. Achiuwa 3PT,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Right Corner 3,24+ Right,23.46,Missed,,,,,,,,,,,,,,,,,,
429,PT05M50.00S,2022-10-15T01:13:24.4Z,3,REGULAR,rebound,defensive,[],1627759,,,1610612738,80,79,2022-10-15T01:13:27Z,4250000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,,,428.0,3.0,2.0,1.0,,,,,,,,,,,,,,
430,PT05M41.00S,2022-10-15T01:13:33.7Z,3,REGULAR,3pt,Jump Shot,[],1627759,25.312089356110377,90.19607843137256,1610612738,80,82,2022-10-15T01:13:39Z,4260000,-201.0,185.0,1,left,J. Brown 27' 3PT step back (15 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,27.34,Made,,,,,15.0,M. Smart,203935.0,2.0,,,,,,,,,,
432,PT05M29.00S,2022-10-15T01:13:46.4Z,3,REGULAR,2pt,Jump Shot,[],1630567,87.46714848883047,82.35294117647058,1610612761,80,82,2022-10-15T01:13:52Z,4280000,162.0,65.0,1,right,MISS S. Barnes 17' step back Shot,[1630567],1610612761.0,TOR,step back,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right,17.45,Missed,,,,,,,,,,,,,,,,,,
433,PT05M27.00S,2022-10-15T01:13:48.4Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,80,82,2022-10-15T01:13:52Z,4290000,,,0,,J. Tatum REBOUND (Off:2 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right,,,432.0,8.0,6.0,2.0,,,,,,,,,,,,,,
434,PT05M17.00S,2022-10-15T01:14:02.1Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628384,,,1610612738,80,82,2022-10-15T01:14:33Z,4300000,,,0,,O. Anunoby personal FOUL (3 PF) (White 2 FT),"[1628384, 1628401]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Center,,,,,,,,,,,1151.0,3.0,0.0,White,1628401.0,,,,,
436,PT05M17.00S,2022-10-15T01:14:54.6Z,3,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,80,83,2022-10-15T01:14:54Z,4320000,,,0,,D. White Free Throw 1 of 2 (20 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,20.0,,,,,,,,,,,,,
437,PT05M17.00S,2022-10-15T01:14:57.1Z,3,REGULAR,substitution,out,[],1630173,,,1610612738,80,83,2022-10-15T01:15:02Z,4330000,,,0,,SUB out: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
438,PT05M17.00S,2022-10-15T01:14:57.1Z,3,REGULAR,substitution,out,[],203920,,,1610612738,80,83,2022-10-15T01:15:02Z,4340000,,,0,,SUB out: K. Birch,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,,,
439,PT05M17.00S,2022-10-15T01:14:57.1Z,3,REGULAR,substitution,in,[],201152,,,1610612738,80,83,2022-10-15T01:15:02Z,4350000,,,0,,SUB in: T. Young,[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
440,PT05M17.00S,2022-10-15T01:14:57.1Z,3,REGULAR,substitution,in,[],1631132,,,1610612738,80,83,2022-10-15T01:15:02Z,4360000,,,0,,SUB in: C. Koloko,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
441,PT05M17.00S,2022-10-15T01:15:19.5Z,3,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,80,84,2022-10-15T01:15:19Z,4370000,,,0,,D. White Free Throw 2 of 2 (21 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,21.0,,,,,,,,,,,,,
442,PT05M03.00S,2022-10-15T01:15:34.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631132,93.38042049934296,52.69607843137255,1610612761,82,84,2022-10-15T01:15:38Z,4380000,13.0,10.0,1,right,C. Koloko alley-oop Layup (6 PTS) (F. VanVleet 6 AST),"[1631132, 1627832]",1610612761.0,TOR,alley-oop,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,1.66,Made,,,,,6.0,F. VanVleet,1627832.0,6.0,,,,,,,,,,
444,PT04M51.00S,2022-10-15T01:15:48.1Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631132,,,1610612738,82,84,2022-10-15T01:15:56Z,4400000,,,0,,C. Koloko shooting personal FOUL (3 PF) (Tatum 2 FT),"[1631132, 1628369]",1610612761.0,TOR,shooting,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627524.0,3.0,0.0,Tatum,1628369.0,,,,,
446,PT04M51.00S,2022-10-15T01:16:17.0Z,3,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,82,85,2022-10-15T01:16:17Z,4420000,,,0,,J. Tatum Free Throw 1 of 2 (18 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,18.0,,,,,,,,,,,,,
447,PT04M51.00S,2022-10-15T01:16:17.9Z,3,REGULAR,substitution,out,[],1628401,,,1610612738,82,85,2022-10-15T01:16:21Z,4430000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
448,PT04M51.00S,2022-10-15T01:16:17.9Z,3,REGULAR,substitution,in,[],1629684,,,1610612738,82,85,2022-10-15T01:16:21Z,4440000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
449,PT04M51.00S,2022-10-15T01:16:36.6Z,3,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,82,86,2022-10-15T01:16:36Z,4450000,,,0,,J. Tatum Free Throw 2 of 2 (19 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,19.0,,,,,,,,,,,,,
450,PT04M41.00S,2022-10-15T01:16:52.1Z,3,REGULAR,foul,offensive,['inpenalty'],1628384,,,1610612761,82,86,2022-10-15T01:17:02Z,4460000,,,0,,O. Anunoby charge offensive FOUL (4 PF),"[1628384, 203935]",1610612761.0,TOR,charge,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1151.0,4.0,0.0,Smart,203935.0,,,,,
452,PT04M41.00S,2022-10-15T01:16:52.1Z,3,REGULAR,turnover,offensive foul,[],1628384,,,1610612761,82,86,2022-10-15T01:16:52Z,4480000,,,0,,O. Anunoby offensive foul TURNOVER (1 TO),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1151.0,,,,,,,1.0,,
453,PT04M31.00S,2022-10-15T01:17:51.1Z,3,REGULAR,turnover,lost ball,[],1628369,,,1610612738,82,86,2022-10-15T01:17:56Z,4490000,,,0,,J. Tatum lost ball TURNOVER (3 TO),"[1628369, 1631132]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,3.0,Koloko,1631132.0
454,PT04M31.00S,2022-10-15T01:17:51.1Z,3,REGULAR,steal,,[],1631132,,,1610612761,82,86,2022-10-15T01:17:53Z,4500000,,,0,,C. Koloko STEAL (1 STL),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
455,PT04M27.00S,2022-10-15T01:17:54.4Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631132,92.59198423127464,48.77450980392157,1610612761,84,86,2022-10-15T01:18:02Z,4510000,-6.0,17.0,1,right,C. Koloko running DUNK (8 PTS),[1631132],1610612761.0,TOR,running,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,1.82,Made,,,,,8.0,,,,,,,,,,,,,
456,PT04M24.00S,2022-10-15T01:18:08.4Z,3,REGULAR,foul,technical,"['inpenalty', '1freethrow']",1628391,,,1610612738,84,86,2022-10-15T01:26:45Z,4520000,,,0,,D. Wilson technical FOUL (1 Tech),[1628391],1610612761.0,TOR,,,,Wilson,D. Wilson,,,,,,,,,,,,,,,,,1627524.0,0.0,1.0,,,,,,,
457,PT04M24.00S,2022-10-15T01:18:43.5Z,3,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,84,87,2022-10-15T01:18:43Z,4530000,,,0,,J. Brown technical Free Throw 1 of 1 (16 PTS),[1627759],1610612738.0,BOS,technical,,,Brown,J. Brown,,,,,,,,Made,,,,,16.0,,,,,,,,,,,,,
458,PT04M14.00S,2022-10-15T01:19:14.6Z,3,REGULAR,3pt,Jump Shot,[],201143,11.251642575558476,3.431372549019608,1610612738,84,90,2022-10-15T01:19:18Z,4540000,233.0,53.0,1,left,A. Horford 3PT  (7 PTS) (J. Tatum 5 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Right Corner 3,24+ Right,23.88,Made,,,,,7.0,J. Tatum,1628369.0,5.0,,,,,,,,,,
460,PT04M12.00S,2022-10-15T01:19:22.4Z,3,REGULAR,violation,delay-of-game,['team'],0,,,1610612761,84,90,2022-10-15T01:19:30Z,4560000,,,0,,TEAM delay-of-game VIOLATION,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,204058.0,,,,,,,,,
461,PT04M01.00S,2022-10-15T01:19:39.3Z,3,REGULAR,3pt,Jump Shot,[],1628384,68.15045992115637,56.127450980392155,1610612761,84,90,2022-10-15T01:19:43Z,4570000,31.0,247.0,1,right,MISS O. Anunoby 24' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,24.88,Missed,,,,,,,,,,,,,,,,,,
462,PT03M58.00S,2022-10-15T01:19:42.3Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,84,90,2022-10-15T01:19:43Z,4580000,,,0,,J. Tatum REBOUND (Off:2 Def:7),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,461.0,9.0,7.0,2.0,,,,,,,,,,,,,,
463,PT03M50.00S,2022-10-15T01:19:50.7Z,3,REGULAR,3pt,Jump Shot,[],201143,32.933639947437584,63.725490196078425,1610612738,84,90,2022-10-15T01:19:54Z,4590000,-69.0,257.0,1,left,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,26.61,Missed,,,,,,,,,,,,,,,,,,
464,PT03M47.00S,2022-10-15T01:19:53.7Z,3,REGULAR,rebound,defensive,[],201152,,,1610612761,84,90,2022-10-15T01:19:54Z,4600000,,,0,,T. Young REBOUND (Off:0 Def:3),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,463.0,3.0,3.0,0.0,,,,,,,,,,,,,,
465,PT03M37.00S,2022-10-15T01:20:12.0Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628369,,,1610612761,84,90,2022-10-15T01:20:25Z,4610000,,,0,,J. Tatum personal FOUL (3 PF) (Anunoby 2 FT),"[1628369, 1628384]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1151.0,3.0,0.0,Anunoby,1628384.0,,,,,
467,PT03M37.00S,2022-10-15T01:20:27.3Z,3,REGULAR,foul,technical,"['inpenalty', '1freethrow']",1628369,,,1610612761,84,90,2022-10-15T01:20:48Z,4630000,,,0,,J. Tatum technical FOUL (1 Tech),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,204058.0,3.0,1.0,,,,,,,
468,PT03M37.00S,2022-10-15T01:20:49.3Z,3,REGULAR,freethrow,1 of 1,[],1627832,,,1610612761,84,90,2022-10-15T01:20:49Z,4640000,,,0,,MISS F. VanVleet technical Free Throw 1 of 1,[1627832],1610612761.0,TOR,technical,,,VanVleet,F. VanVleet,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
469,PT03M37.00S,2022-10-15T01:20:49.3Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,84,90,2022-10-15T01:20:49Z,4650000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,468.0,,,,,,,,,,,,,,,,,
470,PT03M37.00S,2022-10-15T01:21:15.0Z,3,REGULAR,freethrow,1 of 2,[],1628384,,,1610612761,84,90,2022-10-15T01:21:15Z,4660000,,,0,,MISS O. Anunoby Free Throw 1 of 2,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
471,PT03M37.00S,2022-10-15T01:21:15.0Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,84,90,2022-10-15T01:21:15Z,4670000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,470.0,,,,,,,,,,,,,,,,,
472,PT03M37.00S,2022-10-15T01:21:16.2Z,3,REGULAR,substitution,out,[],1630567,,,1610612761,84,90,2022-10-15T01:21:22Z,4680000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
473,PT03M37.00S,2022-10-15T01:21:16.2Z,3,REGULAR,substitution,out,[],201143,,,1610612761,84,90,2022-10-15T01:21:22Z,4690000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
474,PT03M37.00S,2022-10-15T01:21:16.2Z,3,REGULAR,substitution,in,[],1630625,,,1610612761,84,90,2022-10-15T01:21:22Z,4700000,,,0,,SUB in: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,,
475,PT03M37.00S,2022-10-15T01:21:16.2Z,3,REGULAR,substitution,in,[],201933,,,1610612761,84,90,2022-10-15T01:21:22Z,4710000,,,0,,SUB in: B. Griffin,[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,
476,PT03M37.00S,2022-10-15T01:21:35.9Z,3,REGULAR,freethrow,2 of 2,[],1628384,,,1610612761,85,90,2022-10-15T01:21:36Z,4720000,,,0,,O. Anunoby Free Throw 2 of 2 (30 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,Made,,,,,30.0,,,,,,,,,,,,,
477,PT03M24.00S,2022-10-15T01:21:52.7Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631132,,,1610612738,85,90,2022-10-15T01:22:01Z,4730000,,,0,,C. Koloko shooting personal FOUL (4 PF) (Tatum 2 FT),"[1631132, 1628369]",1610612761.0,TOR,shooting,,,Koloko,C. Koloko,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1151.0,4.0,0.0,Tatum,1628369.0,,,,,
479,PT03M24.00S,2022-10-15T01:22:17.6Z,3,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,85,91,2022-10-15T01:22:17Z,4750000,,,0,,J. Tatum Free Throw 1 of 2 (20 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,20.0,,,,,,,,,,,,,
480,PT03M24.00S,2022-10-15T01:22:37.5Z,3,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,85,92,2022-10-15T01:22:37Z,4760000,,,0,,J. Tatum Free Throw 2 of 2 (21 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,21.0,,,,,,,,,,,,,
